"Backup options","Biztonsági mentés opciók"
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Ebben a mezőben csak betűket (a-z vagy A-Z) vagy számokat (0-9) használhat. Szóköz vagy más karakter nem megengedett."
"Please enter a valid date.","Kérem adjon meg egy érvényes dátumot."
"Make sure the To Date is later than or the same as the From Date.","Győződjön meg róla, hogy a befejezés dátuma későbbi, vagy ugyanaz, mint a kezdés dátuma."
"Please make sure your passwords match.","Ellenőrizze, hogy a jelszavak megegyeznek-e!"
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Adjon meg egy érvényes URL-kulcsot (pl: ""pelda-oldal"", a ""pelda-oldal.html"" vagy a ""masikszint/pelda oldal"")."
"Please enter a valid zip code.","Kérem adjon meg egy érvényes irányítószámot."
"Please select one of the options above.","Jelöljön ki egyet a lehetőségek közül."
"Please select State/Province.","Kérem válasszon államot/megyét."
"Please select a file.","Jelöljön ki egy fájlt."
"The field isn't complete.","A mező nem teljes."
"This is a required field.","Ez egy szükséges mező."
"Please select one of the options.","Jelöljön ki egyet a lehetőségek közül."
"Please enter a value less than or equal to %s.","Adjon meg egy értéket amely kisebb vagy egyenlő mint %s."
"Please enter a value greater than or equal to %s.","Adjon meg egy értéket amely nagyobb vagy egyenlő mint %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Adjon meg érvényes e-mail címeket, vesszővel elválasztva. Például johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Kártyatípus nem illesztkedik a hitelkártya számához."
"Credit card number does not match credit card type.","A hitelkártya száma nem egyezik a hitelkártya típusával."
"Incorrect credit card expiration date.","Helytelen hitelkártya lejárati dátuma."
"Please enter a valid credit card verification number.","Kérem, adjon meg egy érvényes kártyaellenőrző számot."
"Please enter issue number or start date for switch/solo card type.","Kérem adja meg a hibaszámot, vagy a switch/solo kártyatípus kezdő dátumát."
"Please enter less or equal than %1 symbols.","Kérem adjon meg %1 vagy kevesebb szimbólumot."
"Please enter more or equal than %1 symbols.","Kérem adjon meg %1 vagy több szimbólumot."
"Please enter positive number in this field.","Kérem adjon meg egy pozitív számot."
"Please enter a valid value, ex: 10,20,30","Kérem érvényes értéket adjon meg (Pl: 10,20,30)"
"Please enter a valid value from list","Adjon meg egy érvényes értéket a listából"
"Please enter valid SKU key.","Adjon meg egy érvényes cikkszám kulcsot."
"Please enter a valid number.","Adjon meg egy érvényes számot."
"This is required field","Ez a mező kitöltendő"
"Admin is a required field in each row.","Admin egy szükséges mező minden sorban."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","Kérjük javítsa ki ezt a mezőt."
"Please enter a valid email address.","Kérjük, adjon meg egy érvényes email címet."
"Please enter a valid URL.","Adjon meg egy érvényes URL-címet."
"Please enter a valid date (ISO).","Kérem adjon meg egy érvényes dátumot (ISO)."
"Please enter only digits.","Kérjük, csak számjegyeket adjon meg."
"Please enter the same value again.","Kérjük, írja be ismét ugyanazt az értéket."
"Please enter no more than {0} characters.","Kérem maximum {0} karaktert adjon meg."
"Please enter at least {0} characters.","Kérem adjon meg legalább {0} karaktert."
"Please enter a value between {0} and {1} characters long.","Adjon meg egy értéket amely {0} és {1} közötti karakter hossszúságú."
"Please enter a value between {0} and {1}.","Adjon meg {0} és {1} közötti értéket."
"Please enter a value less than or equal to {0}.","Adjon meg egy értéket amely kisebb vagy egyenlő mint {0}."
"Please enter a value greater than or equal to {0}.","Adjon meg egy értéket amely nagyobb vagy egyenlő mint {0}."
"Please specify the quantity of product(s).","Kérjük, adja meg a termék(ek) mennyiségét."
"Please enter a date between %min and %max.","Adjon meg egy dátumot %min és %max között."
"Please enter a valid full date.","Kérem adjon meg egy érvényes dátumot."
"Please enter a valid month (1-12).","Adjon meg egy érvényes hónapot (1 - 12)."
"Please enter a valid year (1900-%1).","Adjon meg egy érvényes évet (1900 - %1)."
"Please enter a valid day (1-%1).","Adjon meg egy érvényes napot (1 - %1)."
"Please enter a date from the past.","Adjon meg egy dátumot a múltból."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Kérem adjon meg egy nullánál nagyobb mennyiséget."
"The fewest you may purchase is %1.","A legkisebb rendelhető mennyiség %1."
"The maximum you may purchase is %1.","A legnagyobb rendelhető mennyiség %1."
"You can buy this product only in quantities of %1 at a time.","Ebből a termékből egyszerre csak %1 darabot vásárolhat."
"Forbidden extensions has been used. Avoid usage of ","Tiltott kiterjesztést használt. Ne használja tovább "
"No marginal white space please","Kérem ne adjon meg szóközöket"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Változó beszúrása"
"Insert Widget","Widget beszúrása"
"The widget %1 is no longer available. Select a different widget.","A %1 widget már nem érhető el. Válasszon másik widgetet."
"First character must be letter.","Az első karakternek betűnek kell lennie."
"The password can't be the same as the email address. Create a new password and try again.","A jelszó nem lehet ugyan az mint az email cím. Kérem használjon másik jelszót, és próbálja meg még egyszer."
