"Backup options","Opcje kopii zapasowej"
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Podaj prawidłową długość CSS (np: 100px, 77pt, 20em, .5ex lub 50%)."
"Please enter a valid number in this field.","Prosimy o wprowadzenie poprawnego numeru w tym polu."
"The value is not within the specified range.","Wartość nie znajduje się w podanym zakresie."
"Please use letters only (a-z or A-Z) in this field.","Prosimy o używanie jedynie liter (a-z lub A-Z) w tym polu."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Prosimy o używanie jedynie liter (a-z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Prosimy o używanie jedynie liter (a-z lub A-Z) lub cyfr (0-9) w tym polu. Spacje i inne znaki nie są dozwolone."
"Please enter a valid date.","Prosimy o wprowadzenie poprawnej daty."
"Make sure the To Date is later than or the same as the From Date.","Upewnij się, że data zakończenia jest późniejsza lub ta sama co data rozpoczęcia."
"Please make sure your passwords match.","Prosimy upewnić się, że podane hasła są identyczne."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Wprowadź prawidłowy klucz URL (np: ""przykład Strona"", ""przykład page.html"" lub ""anotherlevel/przykład Strona"")."
"Please enter a valid zip code.","Prosimy o wprowadzenie poprawnego kodu pocztowego."
"Please select one of the options above.","Proszę wybrać jedną opcje z dostępnych."
"Please select State/Province.","Prosimy o wybór regionu."
"Please select a file.","Proszę wybrać plik."
"The field isn't complete.","Pole nie jest kompletne."
"This is a required field.","To jest wymagane pole."
"Please select one of the options.","Proszę wybrać jedną z opcji."
"Please enter a value less than or equal to %s.","Podaj wartość mniejszą niż lub równą %s."
"Please enter a value greater than or equal to %s.","Podaj wartość większa niż lub równa %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Wpisz prawidłowe adresy e-mail w formacie jan.kowalski@domena.pl, oddzielając je przecinkami."
"Card type does not match credit card number.","Typ karty nie zgadza się z podanym numerem karty."
"Credit card number does not match credit card type.","Numer karty nie zgadza się z podanym typem karty."
"Incorrect credit card expiration date.","Nieprawidłowa data wygaśnięcia karty."
"Please enter a valid credit card verification number.","Prosimy o wprowadzenie poprawnego weryfikacyjnego numeru karty kredytowej."
"Please enter issue number or start date for switch/solo card type.","Prosimy o podanie numeru wydania lub daty rozpoczęcia dla kart typu switch/solo."
"Please enter less or equal than %1 symbols.","Podaj mniej lub dokładnie %1 symboli."
"Please enter more or equal than %1 symbols.","Podaj więcej lub dokładnie %1 symboli."
"Please enter positive number in this field.","Proszę podać dodatnią wartość w tym polu."
"Please enter a valid value, ex: 10,20,30","Prosimy o wprowadzenie poprawnej wartości np. 10,20,30"
"Please enter a valid value from list","Wprowadź prawidłową wartość z listy"
"Please enter valid SKU key.","Proszę wpisać prawidłową nazwę SKU."
"Please enter a valid number.","Proszę wpisać poprawną cyfrę."
"This is required field","To pole jest wymagane"
"Admin is a required field in each row.","Pole ""Admin"" jest wymagane w każdym wierszu."
"Password cannot be the same as email address.","Hasło nie może być takie samo jak adres e-mail."
"Please fix this field.","Popraw to pole."
"Please enter a valid email address.","Prosimy wpisać poprawny adres e-mail"
"Please enter a valid URL.","Wprowadź prawidłowy adres URL."
"Please enter a valid date (ISO).","Wprowadź prawidłową datę (ISO)."
"Please enter only digits.","Wprowadź tylko cyfry."
"Please enter the same value again.","Wpisz ponownie tę samą wartość."
"Please enter no more than {0} characters.","Wprowadź nie więcej niż {0} znaków."
"Please enter at least {0} characters.","Wprowadź przynajmniej {0} znaków."
"Please enter a value between {0} and {1} characters long.","Wprowadź wartość o liczbie znaków pomiędzy {0} a {1}."
"Please enter a value between {0} and {1}.","Wprowadź wartość pomiędzy {0} a {1}."
"Please enter a value less than or equal to {0}.","Wprowadź wartość mniejszą lub równą {0}."
"Please enter a value greater than or equal to {0}.","Wprowadź wartość większą lub równą {0}."
"Please specify the quantity of product(s).","Prosimy sprecyzowac ilość produktu."
"Please enter a date between %min and %max.","Prosimy wprowadzić datę między % min i % max."
"Please enter a valid full date.","Wprowadź prawidłową pełną datę."
"Please enter a valid month (1-12).","Prosimy wpisać poprawny miesiąc (1-12)."
"Please enter a valid year (1900-%1).","Prosimy wpisać poprawny rok (1900-%1)."
"Please enter a valid day (1-%1).","Prosimy wpisać poprawny dzień (1-%1)."
"Please enter a date from the past.","Prosimy wprowadzić datę z przeszłości."
"Maximum length of this field must be equal or less than %1 symbols.","Maksymalna długość pola musi być równa lub mniejsza niż %1 symboli."
"Admin is a required field in the each row.","Pole ""Admin"" jest wymagane w każdym wierszu."
"Please enter a quantity greater than 0.","Wprowadź ilość większą niż 0."
"The fewest you may purchase is %1.","Najmniej, ile możesz zakupić to %1."
"The maximum you may purchase is %1.","Możesz zakupić maksymalnie %1."
"You can buy this product only in quantities of %1 at a time.","Możesz kupić ten produkt tylko w ilościach po %1 na raz."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Prosimy o wprowadzenie 6 lub więcej znaków. Początkowe lub końcowe spacje zostaną zignorowane."
"Enter valid SKU key","Wprowadź poprawny klucz SKU"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Wstaw zmienną"
"Insert Widget","Wstaw widget"
"The widget %1 is no longer available. Select a different widget.","Widget %1 nie jest już dostępny. Wybierz inny widget."
"First character must be letter.","Pierwszy znak musi być literą."
"The password can't be the same as the email address. Create a new password and try again.","Hasło nie może być takie samo jak adres e-mail. Utwórz nowe hasło i spróbuj ponownie."
