"Backup options","Možnosti zálohovania"
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Zadajte platnú CSS dĺžku (Napr: 100px, 77pt, 20em, .5ex alebo 50%)."
"Please enter a valid number in this field.","Prosím v tomto poličku zadajte platné číslo."
"The value is not within the specified range.","Hodnota nie je v danom rozsahu."
"Please use letters only (a-z or A-Z) in this field.","V tomto políčku použite iba malé alebo veľké písmena (a-Z)."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","V tomto políčku použite iba písmená (a-Z) alebo čísla (0-9). Medzery ani žiadne iné znaky niesu povolené."
"Please enter a valid date.","Zadajte správny dátum."
"Make sure the To Date is later than or the same as the From Date.","Uistite sa, že dátum DO je neskorší alebo rovnaký ako dátum OD."
"Please make sure your passwords match.","Prosím, uistite sa, že vaše heslá zhodujú."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Prosím zadajte platný URL kľúč (Napr: ""príklad-stránky"", ""príklad-stranky.html"" alebo ""inystupen/príklad-stránky"")."
"Please enter a valid zip code.","Zadajte platné PSČ."
"Please select one of the options above.","Vyberte prosím jedno z hodnotení vyššie."
"Please select State/Province.","Vyberte štát/provinciu."
"Please select a file.","Zvoľte súbor."
"The field isn't complete.","Pole nie je kompletné."
"This is a required field.","Toto je povinné pole."
"Please select one of the options.","Zvoľte jednu z týchto možností."
"Please enter a value less than or equal to %s.","Zadajte hodnotu menšiu alebo rovnajúcu sa %s."
"Please enter a value greater than or equal to %s.","Zadajte hodnotu väčšiu alebo rovnajúcu sa %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Zadajte platné e-mailové adresy, oddelené čiarkami. Napríklad, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Typ karty nezodpovedná zadanému číslu kreditnej karty."
"Credit card number does not match credit card type.","Číslo karty nezodpovedná zadanému typu kreditnej karty."
"Incorrect credit card expiration date.","Neplatný dátum exspirácie karty."
"Please enter a valid credit card verification number.","Prosím zadajte platné verifikačné číslo karty."
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please enter less or equal than %1 symbols.","Zadajte maximálne %1 symbol (ov)."
"Please enter more or equal than %1 symbols.","Zadajte aspoň %1 symbol (ov)."
"Please enter positive number in this field.","V tomto políčku zadajte kladné číslo."
"Please enter a valid value, ex: 10,20,30","Zadajte platnú hodnotu, napr: 10,20,30"
"Please enter a valid value from list","Zadajte platnú hodnotu zo zoznamu"
"Please enter valid SKU key.","Prosím, zadajte platné SKU číslo."
"Please enter a valid number.","Prosím, zadajte platné číslo."
"This is required field","Toto je povinné pole"
"Admin is a required field in each row.","Admin is a required field in each row."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","Opravte toto pole."
"Please enter a valid email address.","Zadajte platnú e-mailovú adresu."
"Please enter a valid URL.","Prosím uveďte platnú webovú adresu."
"Please enter a valid date (ISO).","Prosím, zadajte platný dátum (ISO)."
"Please enter only digits.","Prosím, zadajte iba čísla."
"Please enter the same value again.","Zadajte rovnakú hodnotu znova."
"Please enter no more than {0} characters.","Zadajte maximálne {0} znakov."
"Please enter at least {0} characters.","Zadajte aspoň {0} znakov."
"Please enter a value between {0} and {1} characters long.","Zadajte hodnotu medzi {0} a {1} znakov."
"Please enter a value between {0} and {1}.","Zadajte hodnotu medzi {0} a {1}."
"Please enter a value less than or equal to {0}.","Zadajte hodnotu menšiu alebo rovnú {0}."
"Please enter a value greater than or equal to {0}.","Zadajte hodnotu väčšiu alebo rovnú {0}."
"Please specify the quantity of product(s).","Uveďte množstvo produktu(ov)."
"Please enter a date between %min and %max.","Zadajte dátum medzi %min a %max."
"Please enter a valid full date.","Zadajte celý dátum."
"Please enter a valid month (1-12).","Prosím, zadajte platný mesiac (1-12)."
"Please enter a valid year (1900-%1).","Zadajte platný rok (1900-%1)."
"Please enter a valid day (1-%1).","Prosím, zadajte platný deň (1-%1)."
"Please enter a date from the past.","Prosím zadajte dátum z minulosti."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","Insert Widget"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
