"Backup options","Varmuuskopioinnin asetukset"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Kirjoita kelvollinen puhelinnumero. Esimerkiksi (123) 456-7890 tai 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Kirjoita kelvollinen faksinumero (Ex: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Ole hyvä ja anna oikea sähköpostiosoite (esim. matti.meikalainen@osoite.fi)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Anna vähintään 6 merkkiä. Välilyöntejä alussa tai lopussa ei lasketa."
"Please enter 7 or more characters, using both numeric and alphabetic.","Anna vähintään 7 merkkiä, käyttäen sekä numeerisia, että aakkosellisia merkkejä."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Kentän vähimmäispituuden on oltava yhtä suuri tai suurempi kuin %1 merkkiä. Välilyöntejä alussa tai lopussa ei huomioida pituuteen."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Salasanan muodostamiseen käytettävien eri merkki-luokkien määrä on vähintaään %1. Merkki-luokkia ovat: isot kirjaimet, pienet kirjaimet, erikoismerkit, numerot."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Kirjoita kelvollinen URL-osoite. Protokolla täytyy lisätä osoitteen alkuun (http://, https:// tai ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Kirjoita kelvollinen URL-osoite. Esimerkiksi http://www.example.com tai www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Kirjoita kelvollinen XML-tunniste (Ex: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Kirjoita kelvollinen sosiaaliturvatunnus (Ex: 123 45 6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Anna kelvollinen postinumero (Ex: 90602 tai 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Käytä päivämäärämuotoa: pp/kk/vvvv. Esimerkiksi 17/03/2006, eli 17. maaliskuuta, 2006."
"Please enter a valid $ amount. For example $100.00.","Kirjoita kelvollinen $ summa. Esimerkiksi 100,00 dollaria."
"Please enter a number 0 or greater in this field.","Syötä tähän kenttää numero, joka on nolla (0) tai sitä suurempi."
"Please enter a number greater than 0 in this field.","Kirjoita tähän kenttää nollaa (0) suurempi numero."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Anna kelvollinen CSS pituus (Ex: 100px, 77pt, 20em, .5ex tai 50 %)."
"Please enter a valid number in this field.","Kirjoita kelvollinen numero tähän kenttään."
"The value is not within the specified range.","Arvo ei ole määritetyissä rajoissa."
"Please use letters only (a-z or A-Z) in this field.","Käytä vain kirjaimia (a-z tai A-Z) tässä kentässä."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Käytä ainoastaan kirjaimia (a–ö tai A-Ö) tai numeroita (0-9) tässä kentässä. Välilyöntejä tai muita merkkejä ei sallita."
"Please enter a valid date.","Anna kelvollinen päivämäärä."
"Make sure the To Date is later than or the same as the From Date.","Varmista, että viimeinen päivämäärä on myöhempi tai sama kuin alkaen-päivämäärä."
"Please make sure your passwords match.","Varmista, että salasanat täsmäävät."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Kirjoita kelvollinen URL-osoite (Esimerkiksi: ”esimerkki-sivu”, ”esimerkki-sivu.html” tai ”toinentaso/esimerkki-sivu”)."
"Please enter a valid zip code.","Anna kelvollinen postinumero."
"Please select one of the options above.","Valitse yksi vaihtoehdoista edellä."
"Please select State/Province.","Valitse osavaltio/provinssi."
"Please select a file.","Valitse tiedosto."
"The field isn't complete.","Kenttään kirjoitettu syöte ei vielä täysin täytä vaatimuksia."
"This is a required field.","Tämä on pakollinen kenttä."
"Please select one of the options.","Valitse yksi vaihtoehdoista."
"Please enter a value less than or equal to %s.","Anna arvo joka on vähemmän tai yhtä suuri kuin %s."
"Please enter a value greater than or equal to %s.","Anna arvo joka on enemmän tai yhtä suuri kuin %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Anna voimassa olevat sähköpostiosoitteet, erotettuina pilkuilla. Esimerkiksi johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Korttityyppi ei vastaa luottokorttinumeroa."
"Credit card number does not match credit card type.","Luottokorttinumero ei vastaa luottokorttityyppi."
"Incorrect credit card expiration date.","Väärä luottokortin vanhentumispäivämäärä."
"Please enter a valid credit card verification number.","Anna kelvollinen luottokortin tarkistenumero."
"Please enter issue number or start date for switch/solo card type.","Kirjoita switch- tai solo -korttityypin julkaisunumero tai aloituspäivämäärä."
"Please enter less or equal than %1 symbols.","Anna %1 merkkiä tai vähemmän."
"Please enter more or equal than %1 symbols.","Anna %1 merkkiä tai enemmän."
"Please enter positive number in this field.","Syötä positiivinen numero tähän kenttään."
"Please enter a valid value, ex: 10,20,30","Kirjoita kelvollinen arvo, esimerkiksi 10,20,30"
"Please enter a valid value from list","Kirjoita kelvollinen arvo luettelosta"
"Please enter valid SKU key.","Kirjoita kelvollinen SKU arvo."
"Please enter a valid number.","Anna kelvollinen luku."
"This is required field","Tämä on pakollinen kenttä"
"Admin is a required field in each row.","Pääkäyttäjä on pakollinen kenttä joka rivillä."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","Korjaa tämä kenttä."
"Please enter a valid email address.","Syötä toimiva sähköpostiosoite."
"Please enter a valid URL.","Kirjoita kelvollinen URL."
"Please enter a valid date (ISO).","Anna kelvollinen päivämäärä (ISO)."
"Please enter only digits.","Kirjoita vain numeroita."
"Please enter the same value again.","Kirjoita sama arvo uudelleen."
"Please enter no more than {0} characters.","Kirjoita enintään {0} merkkiä."
"Please enter at least {0} characters.","Kirjoita vähintään {0} merkkiä."
"Please enter a value between {0} and {1} characters long.","Anna arvo, joka on {0}-{1} merkkiä pitkä."
"Please enter a value between {0} and {1}.","Anna arvo, jonka arvo on välillä {0}-{1}."
"Please enter a value less than or equal to {0}.","Anna arvo joka on vähemmän tai yhtä suuri kuin {0}."
"Please enter a value greater than or equal to {0}.","Anna arvo joka on enemmän tai yhtä suuri kuin {0}."
"Please specify the quantity of product(s).","Määritä tuotteiden määrä."
"Please enter a date between %min and %max.","Kirjoita päivämäärä väliltä %min ja %max."
"Please enter a valid full date.","Anna kelvollinen päivämäärä."
"Please enter a valid month (1-12).","Kirjoita kelvollinen kuukausi (1-12)."
"Please enter a valid year (1900-%1).","Kirjoita kelvollinen vuosi (1900-%1)."
"Please enter a valid day (1-%1).","Kirjoita kelvollinen päivä (1-%1)."
"Please enter a date from the past.","Kirjoita päivämäärä menneisyydestä."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Ole hyvä ja syötä määrä joka on suurempi kuin 0."
"The fewest you may purchase is %1.","Pienin sallittu määrä jonka voit ostaa, on %1."
"The maximum you may purchase is %1.","Suurin sallittu määrä jonka voit ostaa, on %1."
"You can buy this product only in quantities of %1 at a time.","Voit ostaa tämän tuotteen vain määrinä %1 kerrallaan."
"Forbidden extensions has been used. Avoid usage of ","Kiellettyjä laajennuksia on käytetty. Vältä käyttämästä "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Lisää muuttuja"
"Insert Widget","Lisää Widget"
"The widget %1 is no longer available. Select a different widget.","Widget %1 ei ole enää käytettävissä. Valitse toinen widget."
"First character must be letter.","Ensimmäisen merkin on oltava kirjain."
"The password can't be the same as the email address. Create a new password and try again.","Salasana ei voi olla sama kuin sähköpostiosoite. Luo uusi salasana ja yritä uudelleen."
