"Backup options","Pilihan cadangan"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Silakan gunakan hanya huruf (a-z atau A-Z), angka (0-9) atau garis bawah (_) di bidang ini, dan huruf pertama harus berupa huruf."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Silakan gunakan hanya huruf (a-z atau A-Z), angka (0-9), spasi dan ""#"" di bidang ini."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Silahkan masukkan nomor telepon yang benar. Misalnya (123) 456-7890 atau 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Silakan masukkan nomor faks yang valid (Mis: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Silakan masukkan alamat email yang valid (Ex: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Masukkan 6 karakter atau lebih. Leading dan trailing spaces akan diabaikan."
"Please enter 7 or more characters, using both numeric and alphabetic.","Silakan masukkan 7 karakter atau lebih, gunakan angka numerik dan abjad."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Panjang minimum bidang ini harus sama atau lebih besar dari simbol %1. Leading dan trailing spaces akan diabaikan."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimal kelas karakter yang berbeda dalam kata sandi adalah %1. Kelas karakter: Lower Case, Upper Case, Digit, Karakter Khusus."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Masukkan URL yang valid Protokol diperlukan (http://, https:// atau ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Masukkan URL yang valid Misalnya http://www.example.com atau www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Silakan masukkan pengenal XML yang valid (Ex: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Silakan masukkan nomor jaminan sosial yang valid (Mis: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Silakan masukkan kode pos yang valid (Mis: 90602 atau 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Silakan gunakan format tanggal ini: dd/mm/yyyy. Misalnya 17/03/2006 untuk tanggal 17 Maret 2006."
"Please enter a valid $ amount. For example $100.00.","Masukkan jumlah $ yang valid. Misalnya $100.00."
"Please enter a number 0 or greater in this field.","Silakan masukkan angka 0 atau lebih di bidang ini."
"Please enter a number greater than 0 in this field.","Masukkan angka lebih besar dari 0 di bidang ini."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Silakan masukan panjang CSS yang valid (Ex: 100px, 77pt, 20em, .5ex atau 50%)."
"Please enter a valid number in this field.","Masukkan nomor yang valid di bidang ini."
"The value is not within the specified range.","Nilai tidak berada dalam kisaran yang ditentukan."
"Please use letters only (a-z or A-Z) in this field.","Silakan gunakan huruf saja (a-z atau A-Z) di bidang ini."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Silakan gunakan hanya huruf (a-z), angka (0-9) atau garis bawah(_) di bidang ini, karakter pertama harus huruf."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Silakan gunakan hanya huruf (a-z atau A-Z) atau angka (0-9) di bidang ini. Tidak ada spasi atau karakter lain yang diperbolehkan."
"Please enter a valid date.","Silakan masukkan tanggal yang valid."
"Make sure the To Date is later than or the same as the From Date.","Pastikan To Date lebih dari atau sama dengan From Date."
"Please make sure your passwords match.","Pastikan kata sandi Anda cocok."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Masukkan Kunci URL yang valid (Contoh: ""halaman contoh"", ""example-page.html"" atau ""anotherlevel / example-page"")."
"Please enter a valid zip code.","Silakan masukkan kode pos yang valid."
"Please select one of the options above.","Silahkan pilih salah satu pilihan di atas."
"Please select State/Province.","Silahkan pilih State/Province."
"Please select a file.","Silahkan pilih sebuah file."
"The field isn't complete.","Bidangnya tidak lengkap."
"This is a required field.","Ini adalah kolom yang harus diisi."
"Please select one of the options.","Silahkan pilih salah satu pilihannya."
"Please enter a value less than or equal to %s.","Silakan masukkan nilai kurang dari atau sama dengan %s."
"Please enter a value greater than or equal to %s.","Silakan masukkan nilai yang lebih besar dari atau sama dengan %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Silakan masukkan alamat email yang benar, dipisahkan dengan koma. Misalnya, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Jenis kartu tidak cocok dengan nomor kartu kredit."
"Credit card number does not match credit card type.","Nomor kartu kredit tidak cocok dengan jenis kartu kredit."
"Incorrect credit card expiration date.","Tanggal kadaluarsa kartu kredit salah."
"Please enter a valid credit card verification number.","Silakan masukkan nomor verifikasi kartu kredit yang valid."
"Please enter issue number or start date for switch/solo card type.","Silakan masukkan nomor penerbitan atau tanggal mulai beralih/jenis kartu solo."
"Please enter less or equal than %1 symbols.","Silakan masukkan simbol kurang atau sama dari %1."
"Please enter more or equal than %1 symbols.","Silakan masukkan lebih atau sama dengan simbol %1."
"Please enter positive number in this field.","Silakan masukkan angka positif di bidang ini."
"Please enter a valid value, ex: 10,20,30","Silakan masukkan nilai yang valid, misal: 10,20,30"
"Please enter a valid value from list","Silakan masukkan nilai yang valid dari daftar"
"Please enter valid SKU key.","Silakan masukkan kunci SKU yang valid."
"Please enter a valid number.","Masukkan nomor yang valid."
"This is required field","Bidang ini wajib diisi"
"Admin is a required field in each row.","Admin adalah bidang wajib di setiap baris."
"Password cannot be the same as email address.","Password tidak bisa sama dengan alamat email."
"Please fix this field.","Perbaiki bidang ini."
"Please enter a valid email address.","Silakan isi alamat email."
"Please enter a valid URL.","Masukkan URL yang valid."
"Please enter a valid date (ISO).","Silakan masukkan tanggal yang valid (ISO)."
"Please enter only digits.","Silakan masukkan angka saja."
"Please enter the same value again.","Silakan masukkan nilai yang sama lagi."
"Please enter no more than {0} characters.","Silakan masukkan tidak lebih dari {0} karakter."
"Please enter at least {0} characters.","Silakan masukkan setidaknya {0} karakter."
"Please enter a value between {0} and {1} characters long.","Silakan masukkan nilai antara {0} dan {1} panjang karakter."
"Please enter a value between {0} and {1}.","Silakan masukkan nilai antara {0} dan {1}."
"Please enter a value less than or equal to {0}.","Silakan masukkan nilai kurang dari atau sama dengan {0}."
"Please enter a value greater than or equal to {0}.","Silakan masukkan nilai yang lebih besar dari atau sama dengan {0}."
"Please specify the quantity of product(s).","Silakan tentukan jumlah produk(s)."
"Please enter a date between %min and %max.","Silakan masukkan tanggal antara %min dan %max."
"Please enter a valid full date.","Silakan masukkan tanggal berlaku yang valid."
"Please enter a valid month (1-12).","Silakan masukkan bulan yang valid (1-12)."
"Please enter a valid year (1900-%1).","Silakan masukkan tahun yang valid (1900- %1)."
"Please enter a valid day (1-%1).","Silakan masukkan hari yang valid (1-%1)."
"Please enter a date from the past.","Silakan masukkan tanggal dari masa lalu."
"Maximum length of this field must be equal or less than %1 symbols.","Panjang maksimum bidang ini harus sama atau kurang dari simbol %1."
"Admin is a required field in the each row.","Admin adalah bidang wajib di setiap baris."
"Please enter a quantity greater than 0.","Silakan masukkan jumlah yang lebih besar dari 0."
"The fewest you may purchase is %1.","Yang paling sedikit yang dapat Anda beli adalah %1."
"The maximum you may purchase is %1.","Maksimum yang dapat Anda beli adalah% 1."
"You can buy this product only in quantities of %1 at a time.","Maksimum yang dapat Anda beli adalah% 1."
"Forbidden extensions has been used. Avoid usage of ","Anda dapat membeli produk ini hanya dalam jumlah% 1 sekaligus."
"No marginal white space please",""
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","."
"Enter valid SKU key","Masukan kunci SKU yang valid"
"Swatch and Admin are the required fields in the each row.","Swatch dan Admin adalah bidang yang dibutuhkan ditiap row."
"Insert Variable","Masukkan Variabel"
"Insert Widget","Insert Widget"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","Widget% 1 tidak lagi tersedia. Pilih widget lain."
"The password can't be the same as the email address. Create a new password and try again.","."
