"Backup options","ಬ್ಯಾಕಪ್ ಆಯ್ಕೆಗಳು"
"Please enter a valid fax number (Ex: 123-456-7890).","ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ಫ್ಯಾಕ್ಸ್ ಅಂಕೆಯನ್ನು ನಮೂದಿಸಿ: (ಉದಾ: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ (ಉದಾ: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","ದಯವಿಟ್ಟು 6 ಅಥವಾ ಹೆಚ್ಚಿನ ಅಕ್ಷರಗಳನ್ನು ನಮೂದಿಸಿ. ಮುಂದಿನ ಮತ್ತು ಹಿಂದಿನ ಖಾಲಿಜಾಗಗಳನ್ನು ನಿರ್ಲಕ್ಷಿಸಲಾಗುವುದು."
"Please enter 7 or more characters, using both numeric and alphabetic.","ದಯವಿಟ್ಟು ಅಂಕೆ ಮತ್ತು ಅಕ್ಷರ ಎರಡನ್ನೂ ಬಳಸಿ 7 ಅಥವಾ ಹೆಚ್ಚಿನ ಅಕ್ಷರಗಳನ್ನು ನಮೂದಿಸಿ."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","ಈ ವಲಯದ ಕನಿಷ್ಟ ಉದ್ದ %1 ಸಂಕೇತಗಳಿಗೆ ಸಮನಾಗಿ ಅಥವಾ ಹೆಚ್ಚಿನದಾಗಿರಬೇಕು. ಮುಂದಿನ ಮತ್ತು ಹಿಂದಿನ ಖಾಲಿಜಾಗಗಳನ್ನು ನಿರ್ಲಕ್ಷಿಸಲಾಗುವುದು."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","ದಯವಿಟ್ಟು ಸರಿಯಾದ URL ಅನ್ನು ನಮೂದಿಸಿ. (http://, https:// or ftp://) ಪ್ರೋಟೋಕಾಲ್ ನ ಅಗತ್ಯವಿದೆ."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","ದಯವಿಟ್ಟು ಸರಿಯಾದ URL ಅನ್ನು ನಮೂದಿಸಿ. ಉದಾ http://www.example.com or www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","ದಯವಿಟ್ಟು ಸರಿಯಾದ XML-identifier (Ex: something_1, block5, id-4) ಅನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid social security number (Ex: 123-45-6789).","ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ಸಾಮಾಜಿಕ ಸುರಕ್ಷಾ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ: (ಉದಾ: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಪಿನ್ ಕೋಡ್ ಅನ್ನು ನಮೂದಿಸಿ (ಉದಾ: 90602 or 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","ದಯವಿಟ್ಟು ಈ ದಿನಾಂಕದ ಮಾದರಿಯನ್ನು ಬಳಸಿ: dd/mm/yyyy. ಉದಾಹರಣೆಗೆ 17ನೇ ಮಾರ್ಚ್, 2006 ಗೆ 17/03/2006."
"Please enter a valid $ amount. For example $100.00.","ದಯವಿಟ್ಟು ಸರಿಯಾದ $ ಮೊತ್ತವನ್ನು ನಮೂದಿಸಿ. ಉದಾಹರಣೆಗೆ $100.00."
"Please enter a number 0 or greater in this field.","ದಯವಿಟ್ಟು 0 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please enter a number greater than 0 in this field.","ದಯವಿಟ್ಟು 0 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","ದಯವಿಟ್ಟು ಸರಿಯಾದ CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%) ಅನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid number in this field.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"The value is not within the specified range.","ನಮೂದು ಸೂಚಿಸಿದ ವ್ಯಾಪ್ತಿಯೊಳಗಿಲ್ಲ."
"Please use letters only (a-z or A-Z) in this field.","ದಯವಿಟ್ಟು ಅಕ್ಷರ (a-z or A-Z) ಗಳನ್ನು ಮಾತ್ರ ಈ ವಲಯದೊಳಗೆ ಬಳಸಿ."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","ದಯವಿಟ್ಟು ಅಕ್ಷರ (a-z or A-Z) ಗಳನ್ನು ಅಥವಾ ಅಂಕೆಗಳನ್ನು (0-9) ಮಾತ್ರ ಈ ವಲಯದೊಳಗೆ ಬಳಸಿ. ಖಾಲಿಜಾಗೆ ಅಥವಾ ಇತರ ಅಕ್ಷರಗಳನ್ನು ನಿರ್ಬಂಧಿಸಿದೆ."
"Please enter a valid date.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ."
"Make sure the To Date is later than or the same as the From Date.","ವರೆಗೆ ದಿನಾಂಕ ಇಂದ ದಿನಾಂಕಕ್ಕೆ ಸಮನಾಗಿರುವಂತೆ ಅಥವಾ ಅದಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿರುವಂತೆ ಖಾತ್ರಿಪಡಿಸಿಕೊಳ್ಳಿ."
"Please make sure your passwords match.","ದಯವಿಟ್ಟು ನಿಮ್ಮ ಗುಪ್ತಪದಗಳು ಹೊಂದುವಂತೆ ನೋಡಿಕೊಳ್ಳಿ."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","ದಯವಿಟ್ಟು ಸರಿಯಾದ URL ಕೀಯನ್ನು ನಮೂದಿಸಿ (ಉದಾ: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"")."
"Please enter a valid zip code.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಪಿನ್ ಕೋಡ್ ಅನ್ನು ನಮೂದಿಸಿ."
"Please select one of the options above.","ದಯವಿಟ್ಟು ಮೇಲಿನ ಆಯ್ಕೆಗಳಲ್ಲಿ ಒಂದನ್ನು ಆರಿಸಿಕೊಳ್ಳಿ."
"Please select State/Province.","ದಯವಿಟ್ಟು ರಾಜ್ಯ ವನ್ನು ಆರಿಸಿಕೊಳ್ಳಿ."
"Please select a file.","ದಯವಿಟ್ಟು ಒಂದು ಕಡತವನ್ನು ಆಯ್ಕೆ ಮಾಡಿ."
"The field isn't complete.","ಈ ವಲಯ ಪೂರ್ಣವಾಗಿಲ್ಲ."
"This is a required field.","ಇದು ಅಗತ್ಯವಿರುವ ವಲಯ."
"Please select one of the options.","ದಯವಿಟ್ಟು ಈ ಆಯ್ಕೆಗಳಲ್ಲಿ ಒಂದನ್ನು ಆಯ್ಕೆ ಮಾಡಿ."
"Please enter a value less than or equal to %s.","ದಯವಿಟ್ಟು %s ಸಮನಾದ ಅಥವಾ ಅದಕ್ಕಿಂತ ಕಡಿಮೆ ನಮೂದನ್ನು ನಮೂದಿಸಿ."
"Please enter a value greater than or equal to %s.","ದಯವಿಟ್ಟು %s ಸಮನಾದ ಅಥವಾ ಅದಕ್ಕಿಂತ ಹೆಚ್ಚಾದ ನಮೂದನ್ನು ನಮೂದಿಸಿ."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","ದಯವಿಟ್ಟು ಸರಿಯಾದ, ಕಾಮಾದಿಂದ ಪ್ರತ್ಯೇಕಿಸಿದ ಮಿಂಚೆ ವಿಳಾಸಗಳನ್ನು ನಮೂದಿಸಿ ಉದಾಹರಣೆಗೆ, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","ಕಾರ್ಡ್ ವಿಧ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆಗೆ ಹೊಂದುತ್ತಿಲ್ಲ."
"Credit card number does not match credit card type.","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ ಕಾರ್ಡ್ ವಿಧಕ್ಕೆ ಹೊಂದುತ್ತಿಲ್ಲ."
"Incorrect credit card expiration date.","ತಪ್ಪಾದ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಮಾನ್ಯತಾ ದಿನಾಂಕ."
"Please enter a valid credit card verification number.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಪರಿಶೀಲನಾ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ."
"Please enter issue number or start date for switch/solo card type.","Switch/solo ಕಾರ್ಡ್ ವಿಧಕ್ಕಾಗಿ ದಯವಿಟ್ಟು ವಿವಾದಾಂಶ ಸಂಖ್ಯೆ ಅಥವಾ ಪ್ರಾರಂಭದ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ."
"Please enter less or equal than %1 symbols.","ದಯವಿಟ್ಟು %1 ಕ್ಕೆ ಸಮನಾದ ಅಥವಾ ಕಡಿಮೆ ಸಂಕೇತಗಳನ್ನು ನಮೂದಿಸಿ."
"Please enter more or equal than %1 symbols.","ದಯವಿಟ್ಟು %1 ಕ್ಕೆ ಸಮನಾದ ಅಥವಾ ಹೆಚ್ಚಿನ ಸಂಕೇತಗಳನ್ನು ನಮೂದಿಸಿ."
"Please enter positive number in this field.","ದಯವಿಟ್ಟು ಧನಾತ್ಮಕ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please enter a valid value, ex: 10,20,30","ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ಅಂಕೆಯೊಂದನ್ನು ನಮೂದಿಸಿ: ಉದಾ: 10,20,30"
"Please enter a valid value from list","ದಯವಿಟ್ಟು ಪಟ್ಟಿಯಲ್ಲಿನ ಒಂದು ಆಯ್ಕೆಯನ್ನು ಆರಿಸಿ"
"Please enter valid SKU key.","ದಯವಿಟ್ಟು ಸರಿಯಾದ SKU ಕೀಯನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid number.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ."
"This is required field","ಇದು ಅಗತ್ಯವಿರುವ ವಲಯ"
"Admin is a required field in each row.","ಪ್ರತಿಯೊಂದು ಸಾಲಿನಲ್ಲಿ ಅಡ್ಮಿನ್ ಅಗತ್ಯವಿರುವ ವಲಯವಾಗಿದೆ."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","ದಯವಿಟ್ಟು ಈ ವಲಯವನ್ನು ಸರಿಪಡಿಸಿ."
"Please enter a valid email address.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid URL.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಒಂದು URL ಅನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid date (ISO).","ದಯವಿಟ್ಟು ಸರಿಯಾದ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ (ISO)."
"Please enter only digits.","ದಯವಿಟ್ಟು ಕೇವಲ ಅಂಕೆಗಳನ್ನು ಮಾತ್ರ ನಮೂದಿಸಿ."
"Please enter the same value again.","ದಯವಿಟ್ಟು ಅದೇ ಬೆಲೆಯನ್ನು ಮತ್ತೊಮ್ಮೆ ನಮೂದಿಸಿ."
"Please enter no more than {0} characters.","ದಯವಿಟ್ಟು {0} ಕ್ಕಿಂತ ಕಡಿಮೆ ಅಕ್ಷರಗಳನ್ನು ನಮೂದಿಸಿ."
"Please enter at least {0} characters.","ದಯವಿಟ್ಟು ಕನಿಷ್ಟ {0} ಅಕ್ಷರಗಳನ್ನು ನಮೂದಿಸಿ."
"Please enter a value between {0} and {1} characters long.","ದಯವಿಟ್ಟು {0} ಮತ್ತು {1} ನಡುವಿನ ಬೆಲೆಯನ್ನು ನಮೂದಿಸಿ."
"Please enter a value between {0} and {1}.","ದಯವಿಟ್ಟು {0} ಮತ್ತು {1} ನಡುವಿನ ಬೆಲೆಯನ್ನು ನಮೂದಿಸಿ."
"Please enter a value less than or equal to {0}.","ದಯವಿಟ್ಟು {0} ಕ್ಕೆ ಸಮನಾದ ಅಥವಾ ಅದಕ್ಕಿಂತ ಕಡಿಮೆ ನಮೂದನ್ನು ನಮೂದಿಸಿ."
"Please enter a value greater than or equal to {0}.","ದಯವಿಟ್ಟು {0} ಕ್ಕೆ ಸಮನಾದ ಅಥವಾ ಅದಕ್ಕಿಂತ ಹೆಚ್ಚಾದ ನಮೂದನ್ನು ನಮೂದಿಸಿ."
"Please specify the quantity of product(s).","ದಯವಿಟ್ಟು ಉತ್ಪನ್ನದ(ಗಳ) ಪರಿಮಾಣವನ್ನು ಸೂಚಿಸಿ."
"Please enter a date between %min and %max.","ದಯವಿಟ್ಟು %min ಮತ್ತು %max ನಡುವಿನ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid full date.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಪೂರ್ಣ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid month (1-12).","ದಯವಿಟ್ಟು ಸರಿಯಾದ ತಿಂಗಳನ್ನು ನಮೂದಿಸಿ( 1-12)."
"Please enter a valid year (1900-%1).","ದಯವಿಟ್ಟು ಸರಿಯಾದ ವರ್ಷವನ್ನು ನಮೂದಿಸಿ( 1900-%1)."
"Please enter a valid day (1-%1).","ದಯವಿಟ್ಟು ಸರಿಯಾದ ದಿನವನ್ನು ನಮೂದಿಸಿ( 1-%1)."
"Please enter a date from the past.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಹಿಂದಿನ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","ದಯವಿಟ್ಟು 0 ಗಿಂತಾ ಹೆಚ್ಚಿನ ಪರಿಮಾಣವನ್ನು ನಮೂದಿಸಿ."
"The fewest you may purchase is %1.","ನೀವು ಖರೀದಿಸಬಹುದಾದ ಕನಿಷ್ಟ ಸಂಖ್ಯೆ %1."
"The maximum you may purchase is %1.","ನೀವು ಖರೀದಿಸಬಹುದಾದ ಗರಿಷ್ಟ ಸಂಖ್ಯೆ %1."
"You can buy this product only in quantities of %1 at a time.","ನೀವು ಈ ಉತ್ಪನ್ನವನ್ನು ಒಂದು ಬಾರಿಗೆ %1 ರ ಪರಿಮಾಣದಲ್ಲಿ ಮಾತ್ರ ಖರೀದಿಸಬಹುದು."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","ವಿಜೆಟ್ ಅನ್ನು ಸೇರಿಸಿ"
"The widget %1 is no longer available. Select a different widget.","%1 ವಿಜೆಟ್ ಲಭ್ಯವಿರುವುದಿಲ್ಲ. ಬೇರೆಯ ವಿಜೆಟ್ ಅನ್ನು ಆರಿಸಿ."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","ಗುಪ್ತಪದ ಮತ್ತು ಮಿಂಚೆವಿಳಾಸ ಒಂದೇ ಆಗಿರಲು ಸಾದ್ಯವಿಲ್ಲ. ಹೊಸ ಗುಪ್ತಪದವನ್ನು ರಚಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
