"ALL GROUPS","همه‌ گروه‌ ها"
"Notify for Quantity Below","اخطار برای تعداد کمتر از"
"Automatically Return Credit Memo Item to Stock","برگرداندن خودکار محصول برگشتی به موجودی"
"Enable Qty Increments","فعالسازی افزايش تعداد"
"Qty Increments","افزایش تعداد"
"Stock","موجودی"
"Index stock","شاخص موجودی"
"Use Config Settings","استفاده از تنظیمات پیکربندی"
"Qty Uses Decimals","مقدار تعداد از اعشار استفاده می کند"
"Allow Multiple Boxes for Shipping","جعبه های متعدد برای ارسال"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The requested qty is not available","The requested qty is not available"
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
