"ALL GROUPS","TODOS OS GRUPOS"
"Qty Uses Decimals","Qtd Usa Casas Decimais"
"Allow Multiple Boxes for Shipping","Permitir Várias Caixas para o Transporte"
"Display products availability in stock on Storefront.","Produtos de display disponibilidade em estoque na loja."
"Use Deferred Stock Update","Usar Atualização de Estoque Atrasada"
"Changing can take some time due to processing whole catalog.","A mudança pode levar algum tempo devido ao processamento de todo o catálogo."
"The Product stock item is invalid. Verify the stock item and try again.","O item de estoque do produto é inválido. Verifique o item de estoque e tente novamente."
"The stock item was unable to be saved. Please try again.","O produto não pôde ser salvo. Por favor, tente novamente."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","O item de estoque com a identificação ID ""%1"" não existe. Verifique o ID e tente novamente."
"The stock was unable to be saved. Please try again.","O produto não pôde ser salvo. Por favor, tente novamente."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","O item de estoque com a identificação ID ""%1"" não foi encontrado. Verifique o ID e tente novamente."
"The stock status was unable to be saved. Please try again.","O status do estoque não pôde ser salvo. Por favor, tente novamente."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","O valor ""%1"" é inválido para o ID de estoque. Introduza um estoque com um valor padrão de %2 para tentar de novo."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","O valor ""%1"" é inválido para o ID do item de estoque. Digite zero ou outro número para tentar novamente."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","O valor ""%1"" é inválido para o ID do item de estoque. Use o valor ""%2"" atribuído ao ID do item em estoque e tente novamente."
"The Product with the ""%1"" SKU doesn't exist.","O produto com ""%1"" SKU não existe."
"The requested qty is not available","A quantidade solicitada não está disponível"
"Quantity increments can't use decimals. Enter a new increment and try again.","Os incrementos de quantidade não podem usar decimais. Digite um novo incremento e tente novamente."
