"ALL GROUPS","جميع المجموعات"
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","حالة المخزن"
"Quantity","الكمية"
"Advanced Inventory","المخزون المتقدم"
"%1 is available to buy in increments of %2","%1 متاحة للشراء بزيادة بالمقدار %2"
"Only %1 left","متوفر %1 فقط"
"Product availability","توافر المنتج"
"Product Name","اسم المنتج"
"Qty","الكميّة"
"Inventory Section","قسم المخزن"
"Inventory","المخزون"
"Stock Options","خيارات المخزون"
"Decrease Stock When Order is Placed","ازل من المخزون عند استلام الطلب الجديد"
"Set Items' Status to be In Stock When Order is Cancelled","ضع العناصر في حالة مخزون عندما يتم إلغاء الطلب"
"Display Out of Stock Products","عرض المنتجات الغير متوفرة بالمخزن"
"Products will still be shown by direct product URLs.","سوف يستمر عرض المنتجات بالرابط المباشر URL للمنتج."
"Only X left Threshold","المتبقي فقط هو الحد"
"Display Products Availability in Stock on Storefront","إعرض المنتجات المتوفرة في المخزن على واجهة المتجر"
"Product Stock Options","خيارات المنتج المخزون"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","الرجاء ملاحظة أن سيتم تطبيق هذه الإعدادات على العناصر الفردية في السلة، لا محتويات السلة كاملة."
"Manage Stock","إدارة المخزون"
"Backorders","طلبات لمنتجات غير متوفرة"
"Maximum Qty Allowed in Shopping Cart","الكمية القصوى المسموح بها في سلة التسوق"
"Out-of-Stock Threshold","حدود انتهاء المخزون"
"Minimum Qty Allowed in Shopping Cart","الكمية الدنيا المسموح بها في سلة التسوق"
"Notify for Quantity Below","اخطار لكمية ادناه"
"Automatically Return Credit Memo Item to Stock","إعادة مذكرة بطاقة الائتمان تلقائياً المخزن"
"Enable Qty Increments","تمكين زيادة الكميات"
"Qty Increments","زيادة الكميات"
"Stock","المخزون"
"Index stock","مؤشر المخزون"
"Use Config Settings","استخدام اعداد الاعدادات"
"Qty Uses Decimals","كمية تستخدم ارقام عشرية"
"Allow Multiple Boxes for Shipping","السماح بصناديق متعددة للشحن"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The requested qty is not available","The requested qty is not available"
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
