"ALL GROUPS","ALLE GRUPPEN"
"Use Deferred Stock Update","Zurückgestellte Lager-Aktualisierung verwenden"
"Changing can take some time due to processing whole catalog.","Die Änderung kann einige Zeit dauern, da der gesamte Katalog verarbeitet wird."
"The Product stock item is invalid. Verify the stock item and try again.","Der Lagerartikel ist ungültig. Überprüfen Sie den Lagerartikel und versuchen Sie es erneut."
"The stock item was unable to be saved. Please try again.","Der Artikelbestand konnte nicht gespeichert werden. Bitte versuchen Sie es erneut."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","Der Lagerartikel mit der ID ""%1"" wurde nicht gefunden. Überprüfen Sie die ID und versuchen Sie es erneut."
"The stock was unable to be saved. Please try again.","Der Bestand konnte nicht gespeichert werden. Bitte versuchen Sie es erneut."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","Der Lagerbestand mit der ID ""%1"" wurde nicht gefunden. Überprüfen Sie die ID und versuchen Sie es erneut."
"The stock status was unable to be saved. Please try again.","Der Lagerstatus konnte nicht gespeichert werden. Bitte versuchen Sie es erneut."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","Der Wert ""%1"" ist für die Lagernummer ungültig. Geben Sie einen Lagerbestand mit dem Standardwert %2 ein, um es erneut zu versuchen."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","Der Wert ""%1"" für die Lagerbestands-ID ist ungültig. Geben Sie entweder Null ein oder eine Zahl größer als Null ein, um es erneut zu versuchen."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","Der Wert ""%1"" für die Lagerbestands-ID ist ungültig. Benutzen Sie Lagerbestands-IDs die den Wert ""%2"" zugewiesenen haben und versuchen Sie es erneut."
"The Product with the ""%1"" SKU doesn't exist.","Das Produkt mit der Artikelnummer ""%1"" existiert nicht."
"The requested qty is not available","Die gewünschte Menge ist nicht verfügbar"
"Quantity increments can't use decimals. Enter a new increment and try again.","Mengenschritte können keine Dezimalzahlen sein. Geben Sie eine neue Menge ein und versuchen Sie es erneut."
