"ALL GROUPS","සියලුම කණ්ඩායම්"
"Display Products Availability in Stock on Storefront","වෙළඳසැල් ඉදිරිපිට තොගයේ නිෂ්පාදන තිබෙන බව පෙන්වන්න"
"Product Stock Options","නිෂ්පාදන කොටස් විකල්ප"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","මෙම සැකසීම් සම්පූර්ණ කරත්තයට නොව කරත්තයේ ඇති තනි අයිතමවලට අදාළ වන බව කරුණාවෙන් සලකන්න."
"Manage Stock","කොටස් කළමනාකරණය කරන්න"
"Backorders","පසුපෙළ"
"Maximum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ උපරිම ප්‍රමාණයට අවසර ඇත"
"Out-of-Stock Threshold","තොගයෙන් පිටත එළිපත්ත"
"Minimum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ අවම ප්‍රමාණයට අවසර ඇත"
"Notify for Quantity Below","පහත ප්‍රමාණය සඳහා දැනුම් දෙන්න"
"Automatically Return Credit Memo Item to Stock","ණය මතක අයිතමය තොගයට ස්වයංක්‍රීයව ආපසු ලබා දෙන්න"
"Enable Qty Increments","Qty වැඩිවීම් සබල කරන්න"
"Qty Increments","Qty වර්ධක"
"Stock","කොටස්"
"Index stock","දර්ශක කොටස්"
"Use Config Settings","වින්‍යාස සැකසුම් භාවිතා කරන්න"
"Qty Uses Decimals","Qty දශම භාවිතා කරයි"
"Allow Multiple Boxes for Shipping","නැව්ගත කිරීම සඳහා බහු පෙට්ටිවලට ඉඩ දෙන්න"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","සම්පූර්ණ නාමාවලිය සැකසීම නිසා වෙනස් කිරීමට යම් කාලයක් ගත විය හැක."
"The Product stock item is invalid. Verify the stock item and try again.","නිෂ්පාදන තොග අයිතමය වලංගු නොවේ. කොටස් අයිතමය තහවුරු කර නැවත උත්සාහ කරන්න."
"The stock item was unable to be saved. Please try again.","කොටස් අයිතමය සුරැකීමට නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","""%1"" හැඳුනුම්පත සහිත කොටස් අයිතමය හමු නොවීය. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The stock was unable to be saved. Please try again.","තොගය සුරැකීමට නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","""%1"" හැඳුනුම්පත සහිත තොගය හමු නොවිණි. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The stock status was unable to be saved. Please try again.","කොටස් තත්ත්වය සුරැකීමට නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","තොග හැඳුනුම්පත සඳහා ""%1"" අගය වලංගු නොවේ. නැවත උත්සාහ කිරීමට පෙරනිමි අගය %2 සමඟ කොටස් ඇතුළු කරන්න."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","තොග අයිතම හැඳුනුම්පත සඳහා ""%1"" අගය වලංගු නොවේ. නැවත උත්සාහ කිරීමට ශුන්‍ය හෝ ශුන්‍යයට වඩා සංඛ්‍යාවක් ඇතුළු කරන්න."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","තොග අයිතම හැඳුනුම්පත සඳහා ""%1"" අගය වලංගු නොවේ. කොටස් අයිතම හැඳුනුම්පතේ පවරන ලද ""%2"" අගය භාවිතා කර නැවත උත්සාහ කරන්න."
"The Product with the ""%1"" SKU doesn't exist.","""%1"" SKU සහිත නිෂ්පාදනය නොපවතී."
"The requested qty is not available","ඉල්ලූ qty ලබා ගත නොහැක"
"Quantity increments can't use decimals. Enter a new increment and try again.","ප්‍රමාණ වර්ධකවලට දශම භාවිතා කළ නොහැක. නව වර්ධකයක් ඇතුළත් කර නැවත උත්සාහ කරන්න."
