"ALL GROUPS","ΟΛΕΣ ΟΙ ΟΜΑΔΕΣ"
"Only X left Threshold","Όριο για Μόνο X απόμειναν"
"Display Products Availability in Stock on Storefront","Εμφάνιση διαθεσιμότητας των προϊόντων σε απόθεμα στην βιτρίνα καταστήματος"
"Product Stock Options","Επιλογές Αποθέματος Προϊόντων"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Παρακαλείστε να σημειώσετε ότι αυτές οι ρυθμίσεις ισχύουν για μεμονωμένα αντικείμενα στο καλάθι, όχι για ολοκληρο το καλάθι."
"Manage Stock","Διαχείριση Αποθεμάτων"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"Backorders","Προπαραγγελίες"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Out-of-Stock Threshold","Όριο εκτός αποθέματος"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Notify for Quantity Below","Ειδοποίηση για ποσότητα κάτω από"
"Automatically Return Credit Memo Item to Stock","Αυτόματη επιστροφή στοιχείου πιστωτικού υπομνήματος στο απόθεμα"
"Enable Qty Increments","Ενεργοποίηση Προσαυξήσεις Ποσ"
"Qty Increments","Προσαυξήσεις Ποσ."
"Stock","Απόθεμα"
"Index stock","Δείκτης Αποθέματος"
"Done","Ολοκληρώθηκε"
"Use Config Settings","Χρήση Ρυθμίσεων Παραμέτρων"
"Qty Uses Decimals","Η Ποσ. χρησιμοποιεί δεκαδικά ψηφία"
"Allow Multiple Boxes for Shipping","Επιτρέπονται Πολλαπλά Πλαίσια για τη Αποστολή"
