"Default Config","පෙරනිමි වින්‍යාසය"
"test2","පරීක්ෂණය2"
"Add after","පසුව එකතු කරන්න"
"Delete","මකන්න"
"Current Configuration Scope:","වත්මන් වින්යාස විෂය පථය:"
"Stores","ගබඩා"
"Group Label","කණ්ඩායම් ලේබලය"
"Some Label","සමහර ලේබල්"
"Tab Label","ටැබ් ලේබලය"
"Allow everything","සියල්ලට ඉඩ දෙන්න"
"Magento Admin","Magento පරිපාලක"
"Dashboard","උපකරණ පුවරුව"
"Manage Stores","ගබඩා කළමනාකරණය කරන්න"
"Field 2","ක්ෂේත්රය 2"
"Field 3","ක්ෂේත්‍ර 3"
"Field 3.1","ක්ෂේත්ර 3.1"
"Field 3.1.1","ක්ෂේත්ර 3.1.1"
"Field 4","ක්ෂේත්‍ර 4"
"Advanced Section","උසස් අංශය"
"Advanced Admin Section","උසස් පරිපාලක අංශය"
"Design Section","නිර්මාණ අංශය"
"General Section","සාමාන්ය අංශය"
"System Section","පද්ධති අංශය"
"Currency Setup Section","මුදල් සැකසුම් අංශය"
"Developer Section","සංවර්ධක අංශය"
"Web Section","වෙබ් අංශය"
"Store Email Addresses Section","ගබඩා ඊමේල් ලිපින අංශය"
"Email to a Friend","මිතුරෙකුට ඊමේල් කරන්න"
"Action","කටයුතු"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","""%1"" වර්ගය සඳහා පන්තිය ප්‍රකාශ කර නැත. පන්තියට ඇතුළු වී නැවත උත්සාහ කරන්න."
"The ""%1"" email address is incorrect. Verify the email address and try again.","""%1"" ඊමේල් ලිපිනය වැරදියි. ඊමේල් ලිපිනය තහවුරු කර නැවත උත්සාහ කරන්න."
"The time zone is incorrect. Verify the time zone and try again.","වේලා කලාපය වැරදියි. වේලා කලාපය තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" file doesn't exist.","""%1"" ගොනුව නොපවතී."
"The ""%1"" path doesn't exist. Verify and try again.","""%1"" මාර්ගය නොපවතී. තහවුරු කර නැවත උත්සාහ කරන්න."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'%1"" ගොනුවේ XML වලංගු නොවේ:' . ""\n%2\nXML සත්‍යාපනය කර නැවත උත්සාහ කරන්න."""
