"Default Config","ડિફaultલ્ટ રૂપરેખા"
"Display default currency","ડિફ defaultલ્ટ ચલણ દર્શાવો"
"website(%1) scope","વેબસાઇટ (%1) અવકાશ"
"store(%1) scope","સ્ટોર (%1) અવકાશ"
"Currency ""%1"" is used as %2 in %3.","ચલણ ""%1"" %2 માં %3 તરીકે વપરાય છે."
"Please correct the timezone.","કૃપા કરી ટાઇમઝોન સુધારો."
"The file ""%1"" does not exist","ફાઇલ ""%1"" અસ્તિત્વમાં નથી"
"The ""%1"" path does not exist","""%1"" પાથ અસ્તિત્વમાં નથી"
"Always (during development)","હંમેશા (વિકાસ દરમિયાન)"
"Only Once (version upgrade)","ફક્ત એકવાર (સંસ્કરણ અપગ્રેડ)"
"Never (production)","ક્યારેય નહીં (ઉત્પાદન)"
"Bcc","બીસીસી"
"Separate Email","અલગ ઇમેઇલ"
"%1 (Default)","%1 (ડિફોલ્ટ)"
"title","શીર્ષક"
"No","ના"
"Optional","વૈકલ્પિક"
"Required","જરૂરી"
"Website","વેબસાઇટ"
"Store","દુકાન"
"Store View","દુકાન દૃશ્ય"
"HTTP (unsecure)","HTTP (અસુરક્ષિત)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","હા (302 મળી)"
"Yes (301 Moved Permanently)","હા (301 કાયમી ધોરણે ખસેડવામાં આવ્યો)"
"Yes","હા"
"Specified","સ્પષ્ટ"
"Visible section not found.","દૃશ્યમાન વિભાગ મળ્યો નથી."
"Config form fieldset clone model required to be able to clone fields","ક્ષેત્રો ક્લોન કરવા માટે સક્ષમ થવા માટે રૂપરેખા ફોર્મ ફીલ્ડસેટ ક્લોન મોડેલ આવશ્યક છે"
"%1: Instance of %2 is expected, got %3 instead","%1:%2 ના દાખલાની અપેક્ષા છે, તેના બદલે%3 મળ્યો"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'ત્યાં કોઈ નિર્ધારિત પ્રકાર નથી'."
"'Object is not instance of ' .","'Jectબ્જેક્ટ દાખલો નથી'."
"Filesystem is not writable.","ફાઇલસિસ્ટમ લખી શકાય તેવું નથી."
"Some error","થોડી ભૂલ"
"Some message","કેટલાક સંદેશ"
"You cannot run this command because the Magento application is not installed.","તમે આ આદેશ ચલાવી શકતા નથી કારણ કે મેજેન્ટો એપ્લિકેશન ઇન્સ્ટોલ કરેલી નથી."
"This command is unavailable right now.","આ આદેશ હમણાં ઉપલબ્ધ નથી."
"The ""test/test/test"" path does not exists","""પરીક્ષણ / પરીક્ષણ / પરીક્ષણ"" પાથ અસ્તિત્વમાં નથી"
"error message","ક્ષતી સંદેશ"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","કેટલાક ઉપસર્ગ"
"element label","તત્વ લેબલ"
"element hint","તત્વ સંકેત"
"element comment","તત્વ ટિપ્પણી"
"element tooltip","તત્વ આપેલું"
"test","પરીક્ષણ"
"test2","પરીક્ષણ 2"
"Add after","પછી ઉમેરો"
"Delete","કાઢી નાખો"
"Current Configuration Scope:","વર્તમાન રૂપરેખાંકન અવકાશ:"
"Stores","સ્ટોર્સ"
"Group Label","ગ્રુપ લેબલ"
"Some Label","કેટલાક લેબલ"
"Tab Label","ટ Tabબ લેબલ"
"Allow everything","દરેક વસ્તુને મંજૂરી આપો"
"Magento Admin","મેજેન્ટો એડમિન"
"Dashboard","ડેશબોર્ડ"
"Manage Stores","સ્ટોર્સ મેનેજ કરો"
"Field 2","ક્ષેત્ર 2"
"Field 3","ક્ષેત્ર 3"
"Field 3.1","ક્ષેત્ર 3.1"
"Field 3.1.1","ક્ષેત્ર 3.1.1"
"Field 4","ક્ષેત્ર 4"
"Advanced Section","અદ્યતન વિભાગ"
"Advanced Admin Section","ઉન્નત સંચાલન વિભાગ"
"Design Section","ડિઝાઇન વિભાગ"
"General Section","સામાન્ય વિભાગ"
"System Section","સિસ્ટમ વિભાગ"
"Currency Setup Section","કરન્સી સેટઅપ સેક્શન"
"Developer Section","વિકાસકર્તા વિભાગ"
"Web Section","વેબ વિભાગ"
"Store Email Addresses Section","સ્ટોર ઇમેઇલ સરનામાંઓ વિભાગ"
"Email to a Friend","મિત્રને ઇમેઇલ કરો"
"Action","ક્રિયા"
"'The specified image adapter cannot be used because of: ' .","'ઉલ્લેખિત ઇમેજ એડેપ્ટર આના કારણે ઉપયોગ કરી શકાતું નથી:'."
"The file ""' . . '"" does not exist","ફાઇલ ""'..'"" અસ્તિત્વમાં નથી"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","""%1"" પ્રકાર માટેનો વર્ગ જાહેર કરાયો ન હતો. વર્ગ દાખલ કરો અને ફરીથી પ્રયાસ કરો."
"The ""%1"" email address is incorrect. Verify the email address and try again.","""%1"" ઇમેઇલ સરનામું ખોટું છે. ઇમેઇલ સરનામું ચકાસો અને ફરીથી પ્રયાસ કરો."
"The time zone is incorrect. Verify the time zone and try again.","સમય ઝોન ખોટો છે. ટાઇમ ઝોનને ચકાસી લો અને ફરી પ્રયાસ કરો."
"The ""%1"" file doesn't exist.","""%1"" ફાઇલ અસ્તિત્વમાં નથી."
"The ""%1"" path doesn't exist. Verify and try again.","""%1"" પાથ અસ્તિત્વમાં નથી. ચકાસો અને ફરીથી પ્રયાસ કરો."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
