"Default Config","默认配置"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","是的 (302 发现)"
"Yes (301 Moved Permanently)","是的 (301 永久移动)"
"Yes","是"
"Specified","指定"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","配置表单fieldset克隆模型，以便能够克隆字段"
"%1: Instance of %2 is expected, got %3 instead","%1:%2的实例，得到%3"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","。"
"'There is no defined type ' .","那里是没有定义的类型。"
"'Object is not instance of ' .","' 对象不是实例的 '。"
"Filesystem is not writable.","文件系统不是可写的。"
"Some error","某些错误"
"Some message","一些消息"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","现在，此命令将不可用。"
"The ""test/test/test"" path does not exists","""测试/测试""路径不存在"
"error message","错误消息"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","一些前缀"
"element label","元素标签"
"element hint","元素的提示"
"element comment","元素的评论"
"element tooltip","元素的工具提示"
"test","测试"
"test2","test2"
"Add after","添加后"
"Delete","删除"
"Current Configuration Scope:","当前的配置作用域:"
"Stores","商店"
"Group Label","组标签"
"Some Label","有些标签"
"Tab Label","选项卡标签"
"Allow everything","允许所有"
"Magento Admin","Magento 管理员"
"Dashboard","控制面板"
"Manage Stores","管理存储"
"Field 2","字段 2"
"Field 3","字段 3"
"Field 3.1","字段 3.1"
"Field 3.1.1","3.1.1 字段"
"Field 4","字段 4"
"Advanced Section","高级部分"
"Advanced Admin Section","高级管理部分"
"Design Section","设计节"
"General Section","基础部分"
"System Section","系统部分"
"Currency Setup Section","货币设置部分"
"Developer Section","开发人员部分"
"Web Section","WEB部分"
"Store Email Addresses Section","存储电子邮件地址部分"
"Email to a Friend","推荐给朋友"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
