"Default Config","Προεπιλεγμένη Ρύθμιση"
"Bcc","""Ιδιαίτ."""
"Separate Email","Ξεχωριστό Email"
"%1 (Default)","%1 (προεπιλογή)"
"title","τίτλος"
"No","Όχι"
"Optional","Προαιρετικό"
"Required","Απαιτείται"
"Website","Ιστοσελίδα"
"Store","Κατάστημα"
"Store View","Προβολή Καταστήματος"
"HTTP (unsecure)","HTTP (μη ασφαλές)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Ναι (βρέθηκαν 302)"
"Yes (301 Moved Permanently)","Ναι (301 μεταφέρονται οριστικά)"
"Yes","Ναί"
"Specified","Καθορίστηκαν"
"Visible section not found.","Ορατό τμήμα δεν βρέθηκε."
"Config form fieldset clone model required to be able to clone fields","Το μοντέλο κλόνου συνόλου πεδίων ρυθμίσεων απαιτείται για να κλωνοποιήσετε τα πεδία"
"%1: Instance of %2 is expected, got %3 instead","%1: Αναμένεται η εμφάνιση του %2, αντί του ληφθέντος %3"
"Invalid XML in file %1:\n%2","Μη έγκυρο XML στο αρχείο %1:\n%2"
".","."
"'There is no defined type ' .","'Δεν υπάρχει καθορισμένος τύπος '."
"'Object is not instance of ' .","'Το αντικείμενο δεν είναι παρουσία του ' ."
"Filesystem is not writable.","Filesystem is not writable."
"Some error","Κάποιο λάθος"
"Some message","Κάποιο μήνυμα"
"You cannot run this command because the Magento application is not installed.","Δεν μπορείτε να εκτελέσετε αυτήν την εντολή, επειδή δεν έχει εγκατασταθεί η εφαρμογή Magento."
"This command is unavailable right now.","Η εντολή δεν είναι διαθέσιμη αυτή τη στιγμή."
"The ""test/test/test"" path does not exists","Η διαδρομή ""test/test/test"" δεν υπάρχει"
"error message","μήνυμα σφάλματος"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","κάποιο πρόθεμα"
"element label","ετικέτα στοιχείου"
"element hint","υπόδειξη στοιχείου"
"element comment","σχόλιο στοιχείου"
"element tooltip","επεξήγηση στοιχείου"
"test","δοκιμή"
"test2","δοκιμή2"
"Add after","Προσθήκη μετά"
"Delete","Διαγραφή"
"Current Configuration Scope:","Τρέχον πεδίο ρύθμισης παραμέτρων:"
"Stores","Καταστήματα"
"Group Label","Ετικέτα Ομάδας"
"Some Label","Κάποια ετικέτα"
"Tab Label","Ετικέτα Καρτέλας"
"Allow everything","Επιτρέψτε τα πάντα"
"Magento Admin","Διαχειριστής Magento"
"Dashboard","Πίνακας Ελέγχου"
"Manage Stores","Διαχείριση Καταστημάτων"
"Field 2","Πεδίο 2"
"Field 3","Πεδίο 3"
"Field 3.1","Πεδίο 3.1"
"Field 3.1.1","Πεδίο 3.1.1"
"Field 4","Πεδίο 4"
"Advanced Section","Ενότητα για προχωρημένους"
"Advanced Admin Section","Ενότητα για Προχωρημένους Διαχειριστές"
"Design Section","Σχεδιαστήριο"
"General Section","Γενικό Τμήμα"
"System Section","Τμήμα συστήματος"
"Currency Setup Section","Ενότητα Διαμόρφωσης Νομίσματος"
"Developer Section","Ενότητα Προγραμματιστή"
"Web Section","Τμήμα Web"
"Store Email Addresses Section","Ενότητα Διευθύνσεων Email Καταστήματος"
"Email to a Friend","Αποστολή σε έναν φίλο"
"Action","Ενέργεια"
"'The specified image adapter cannot be used because of: ' .","'Ο καθορισμένος προσαρμογέας εικόνας δεν μπορεί να χρησιμοποιηθεί λόγω της: ' ."
"The file ""' . . '"" does not exist","Δεν υπάρχει το αρχείο ""' . . '"""
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Η κλάση για το τύπο ""%1"" δεν δηλώθηκε. Εισάγετε την κλάση και δοκιμάστε ξανά."
"The ""%1"" email address is incorrect. Verify the email address and try again.","Η διεύθυνση email ""%1"" δεν είναι έγκυρη. Επιβεβαιώστε την διεύθυνση email και δοκιμάστε ξανά."
"The time zone is incorrect. Verify the time zone and try again.","Η ζώνη ώρας είναι εσφαλμένη. Επαληθεύστε τη ζώνη ώρας και προσπαθήστε ξανά."
"The ""%1"" file doesn't exist.","Το αρχείο ""%1"" δεν υπάρχει."
"The ""%1"" path doesn't exist. Verify and try again.","Η διαδρομή ""%1"" δεν υπάρχει. Επαληθεύστε και δοκιμάστε ξανά."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","""Το XML στο αρχείο ""%1"" δεν είναι έγκυρο:'. ""\n%2\nΕλέγξτε το XML και δοκιμάστε ξανά."""
