"Default Config","標準の設定"
"You cannot run this command because the Magento application is not installed.","Magentoアプリケーションがインストールされていないため、このコマンドを実行することができません。"
"This command is unavailable right now.","このコマンドはまだ利用できません"
"The ""test/test/test"" path does not exists","""test/test/test"" のパスが存在しません"
"error message","エラーメッセージ"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","いくつかの接頭辞"
"element label","要素ラベル"
"element hint","要素ヒント"
"element comment","要素コメント"
"element tooltip","要素ヒント"
"test","テスト"
"test2","テスト2"
"Add after","追加後"
"Delete","削除"
"Current Configuration Scope:","現在の設定スコープ:"
"Stores","店舗"
"Group Label","グループレーベル"
"Some Label","あるレーベル"
"Tab Label","タブレーベル"
"Allow everything","すべてを許可する"
"Magento Admin","Magento管理者"
"Dashboard","ダッシュボード"
"Manage Stores","ストア管理"
"Field 2","フィールド 2"
"Field 3","フィールド 3"
"Field 3.1","フィールド 3.1"
"Field 3.1.1","フィールド 3.1.1"
"Field 4","フィールド 4"
"Advanced Section","高度なセクション"
"Advanced Admin Section","高度な管理セクション"
"Design Section","デザインセクション"
"General Section","一般セクション"
"System Section","システムセクション"
"Currency Setup Section","通貨設定セクション"
"Developer Section","開発者セクション"
"Web Section","ウェブセクション"
"Store Email Addresses Section","店舗電子メールアドレスセクション"
"Email to a Friend","友達にメールを送る"
"Action","アクション"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","""%1"" タイプのクラスが宣言されていません。クラスを入力し、再度お試し下さい。"
"The ""%1"" email address is incorrect. Verify the email address and try again.","メールアドレス ""%1"" が正しくありません。メールアドレスを確認して再度お試し下さい。"
"The time zone is incorrect. Verify the time zone and try again.","タイムゾーンが正しくありません。タイムゾーンを確認して再度お試し下さい。"
"The ""%1"" file doesn't exist.","ファイル ""%1"" が存在しません。"
"The ""%1"" path doesn't exist. Verify and try again.","パス ""%1""が存在しません。確認してから再度お試し下さい。"
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'ファイル ""%1"" のXMLが無効です:' ""\n%2\n XMLを有効にして再度お試し下さい。"""
