"Default Config","پیکربندی پیش فرض"
"HTTP (unsecure)","HTTP (ناامن)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","بله (302 Found)"
"Yes (301 Moved Permanently)","بله (301 Moved Permanently)"
"Yes","بله"
"Specified","مشخص شده"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","پیکربندی ایجاد کننده مدل مشابه fieldset نیاز به کپی کردن فیلدها دارد"
"%1: Instance of %2 is expected, got %3 instead","%1: نمونه ای از %2 به جای %3 انتظار می رود"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'نوع تعریف شده ای وجود ندارد'."
"'Object is not instance of ' .","'شیء نمونه نیست'."
"Filesystem is not writable.","فایل سیستم قابل نوشتن نیست."
"Some error","چند خطا"
"Some message","چند پیغام"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","این دستور در حال حاضر در دسترس نیست."
"The ""test/test/test"" path does not exists","مسیر ""test / test / test"" وجود ندارد"
"error message","پیغام خطا"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","چند پیشوند"
"element label","برچسب المان"
"element hint","راهنمای المان"
"element comment","نظر المان"
"element tooltip","راهنمای المان"
"test","تست"
"test2","test2"
"Add after","افزودن پس از"
"Delete","حذف"
"Current Configuration Scope:","محدوده پیکربندی فعلی:"
"Stores","فروشگاه‌ها"
"Group Label","برچسب گروه"
"Some Label","چند برچسب"
"Tab Label","برچسب زیر برگه"
"Allow everything","اجازه کامل"
"Magento Admin","مدیر مجنتو"
"Dashboard","داشبورد"
"Manage Stores","مدیریت فروشگاه‌ ها"
"Field 2","فیلد 2"
"Field 3","فیلد 3"
"Field 3.1","فیلد 3.1"
"Field 3.1.1","فیلد 3.1.1"
"Field 4","فیلد 4"
"Advanced Section","بخش پیشرفته"
"Advanced Admin Section","بخش مدیریت پیشرفته"
"Design Section","بخش طراحی"
"General Section","بخش عمومی"
"System Section","بخش سیستم"
"Currency Setup Section","بخش تنظیمات ارز"
"Developer Section","بخش توسعه دهنده"
"Web Section","بخش وب"
"Store Email Addresses Section","بخش آدرس‌ های ایمیل فروشگاه"
"Email to a Friend","ایمیل به یک دوست"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
