"Default Config","Конфигурация по подразбиране"
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Файлът, който качвате надвишава ограничението за размер на сървъра на %1 килобайта."
"The base directory to upload file is not specified.","Базовата директория за качване на файл не е указан."
"The specified image adapter cannot be used because of: %1","На указаното изображение адаптер не може да се използва защото на: %1"
"Default scope","Обхват по подразбиране"
"Base currency","Основна валута"
"Display default currency","Показване на валутата по подразбиране"
"website(%1) scope","website(%1) обхват"
"store(%1) scope","store(%1) обхват"
"Currency ""%1"" is used as %2 in %3.","Валута ""%1"" се използва като %2 в %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Винаги (по време на развитието)"
"Only Once (version upgrade)","Само веднъж (версия ъпгрейд)"
"Never (production)","Никога не (производство)"
"Bcc","Bcc"
"Separate Email","Отделно имейл"
"%1 (Default)","%1 (По подразбиране)"
"title","заглавие"
"No","Не"
"Optional","По избор"
"Required","Изискван"
"Website","Уебсайт"
"Store","Магазин"
"Store View","Изглед на магазина"
"HTTP (unsecure)","HTTP (незащитени)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Да (302 намерени)"
"Yes (301 Moved Permanently)","Да (301 преместена за постоянно)"
"Yes","Да"
"Specified","Зададен"
"Visible section not found.","Видимата секция не е намерена."
"Config form fieldset clone model required to be able to clone fields","Конфигурационен модел за клониране на полета е необходим за клониране на полета"
"%1: Instance of %2 is expected, got %3 instead","%1: екземпляр на %2 се очаква, имам %3 вместо"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","""Не е определен тип""."
"'Object is not instance of ' .","""Обект не е инстанция на""."
"Filesystem is not writable.","Файловата система не е записваем."
"Some error","Някаква грешка"
"Some message","Някакво съобщение"
"You cannot run this command because the Magento application is not installed.","Не може да изпълните тази команда, защото Magento не е инсталирано."
"This command is unavailable right now.","Тази команда е недостъпна в момента."
"The ""test/test/test"" path does not exists","""Тест/тест/тест"" Пътят не съществува"
"error message","съобщение за грешка"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","some prefix"
"element label","етикет на елемент"
"element hint","подсказка за елемент"
"element comment","коментар за елемент"
"element tooltip","балон за елемент"
"test","тест"
"test2","test2"
"Add after","Добави след"
"Delete","Изтрий"
"Current Configuration Scope:","Текущата конфигурация на обхват:"
"Stores","Магазини"
"Group Label","Групов етикет"
"Some Label","Някакъв етикет"
"Tab Label","Етикет на таб"
"Allow everything","Разреши всичко"
"Magento Admin","Magento администрация"
"Dashboard","Табло"
"Manage Stores","Управление на магазини"
"Field 2","Поле 2"
"Field 3","Поле 3"
"Field 3.1","Поле 3.1"
"Field 3.1.1","Поле 3.1.1"
"Field 4","Поле 4"
"Advanced Section","Разширени настройки"
"Advanced Admin Section","Разширени настройки администрация"
"Design Section","Дизайн"
"General Section","Основни настройки"
"System Section","Система"
"Currency Setup Section","Настройка на валути"
"Developer Section","Разработчик"
"Web Section","Уеб"
"Store Email Addresses Section","Email адреси на магазина"
"Email to a Friend","Изпрати email на приятел"
"Action","Действие"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Не е деклариран клас за ""%1"". Въведете клас и опитайте пак."
"The ""%1"" email address is incorrect. Verify the email address and try again.","Имейл адресът ""%1"" е некоректен. Проверете имейл адреса и опитайте пак."
"The time zone is incorrect. Verify the time zone and try again.","Часовият пояс е некоректен. Проверете часовият пояс и опитайте отново."
"The ""%1"" file doesn't exist.","Файл ""%1"" не съществува."
"The ""%1"" path doesn't exist. Verify and try again.","Директория ""%1"" не съществува. Проверете и опитайте отново."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'XML във файл ""%1"" е невалиден:' . ""\n%2\nПроверете XML и опитайте отново."""
