"Default Config","Configuration par défaut"
"Sorry, we haven't installed the default display currency you selected.","Désolé, nous n'avons pas installé la devise par défaut que vous avez sélectionné."
"Sorry, the default display currency you selected is not available in allowed currencies.","Désolé, la devise par défaut sélectionnée n'est pas disponible dans les devises autorisées."
"Please correct the email address: ""%1"".","Veuillez corriger l'adresse email : ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Le nom de l'expéditeur ""%1"" n'est pas valide. Veuillez utiliser seulement des espaces et des caractères visibles."
"Maximum sender name length is 255. Please correct your settings.","La longueur maxi du nom d'expéditeur est 255. Merci de modifier vos paramètres."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Le fichier que vous téléchargez dépasse la taille limite du serveur de %1 kilo-octets."
"The base directory to upload file is not specified.","Le répertoire de base pour uploader l'image n'est pas spécifié."
"The specified image adapter cannot be used because of: %1","L'adaptateur d'image spécifiée ne peut être utilisé en raison de : %1"
"Default scope","Portée par défaut"
"Base currency","Devise de base"
"Display default currency","Afficher la devise par défaut"
"website(%1) scope","périmètre du site web (%1)"
"store(%1) scope","périmètre du magasin (%1)"
"Currency ""%1"" is used as %2 in %3.","La devise ""%1"" est utilisée comme %2 dans %3."
"Please correct the timezone.","Veuillez corriger le fuseau horaire."
"The file ""%1"" does not exist","Le fichier ""%1"" n'existe pas"
"The ""%1"" path does not exist","Le chemin ""%1"" n'existe pas"
"Always (during development)","Toujours (pendant le developpement)"
"Only Once (version upgrade)","Une fois seulement (mise à jour de version)"
"Never (production)","Jamais (en production)"
"Bcc","Bcc"
"Separate Email","Email séparé"
"%1 (Default)","%1 (par défaut)"
"title","titre"
"No","Non"
"Optional","Facultatif"
"Required","Obligatoire"
"Website","Site web"
"Store","Magasin"
"Store View","Vue magasin"
"HTTP (unsecure)","HTTP (non sécurisé)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Oui (302 Document déplacé de façon temporaire)"
"Yes (301 Moved Permanently)","Oui (301 Document déplacé de façon permanente)"
"Yes","Oui"
"Specified","Spécifié"
"Visible section not found.","Section visible introuvable."
"Config form fieldset clone model required to be able to clone fields","Un modèle de clone de champs de formulaire de configuration est nécessaire pour pouvoir cloner les champs"
"%1: Instance of %2 is expected, got %3 instead","%1: une instance de %2 est attendue, nous avons reçu %3 à la place"
"Invalid XML in file %1:\n%2","XML non valide dans le fichier %1 : \n%2"
"."," ."
"'There is no defined type ' .","'Il n'y a pas de type défini ' ."
"'Object is not instance of ' .","'L'objet n'est pas une instance de ' ."
"Filesystem is not writable.","Le système de fichier n'accepte pas d'écrire dedans."
"Some error","Une erreur"
"Some message","Certain message"
"You cannot run this command because the Magento application is not installed.","Vous ne pouvez pas exécuter cette commande car l'application Magento n'est pas installée."
"This command is unavailable right now.","Cette commande est indisponible pour le moment."
"The ""test/test/test"" path does not exists","Le chemin ""test/test/test"" n'existe pas"
"error message","message d’erreur"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","un préfixe"
"element label","nom de l'élément"
"element hint","indice de l'élément"
"element comment","commentaire de l'élément"
"element tooltip","aide de l' élément"
"test","test"
"test2","test2"
"Add after","Ajoutez après"
"Delete","Supprimer"
"Current Configuration Scope:","Portée de la configuration courante :"
"Stores","Magasins"
"Group Label","Libellé du groupe"
"Some Label","Libellé"
"Tab Label","Libellé de l'onglet"
"Allow everything","Tout autoriser"
"Magento Admin","Admin Magento"
"Dashboard","Tableau de bord"
"Manage Stores","Gestion des magasins"
"Field 2","Champ 2"
"Field 3","Champ 3"
"Field 3.1","Champ 3.1"
"Field 3.1.1","Champ 3.1.1"
"Field 4","Champ 4"
"Advanced Section","Section avancée"
"Advanced Admin Section","Section avancée d'administration"
"Design Section","Section design"
"General Section","Section générale"
"System Section","Section système"
"Currency Setup Section","Section d'installation de devises"
"Developer Section","Section développeur"
"Web Section","Section web"
"Store Email Addresses Section","Section d'adresses email du magasin"
"Email to a Friend","Envoyer à un ami"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'L'adaptateur d'image spécifié ne peut pas être utilisé à cause de : ' ."
"The file ""' . . '"" does not exist","Le fichier ""' . . . '"" n'existe pas"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","La classe pour le type ""%1"" n'a pas été déclarée. Entrez la classe et réessayez."
"The ""%1"" email address is incorrect. Verify the email address and try again.","L'adresse e-mail ""%1"" est incorrecte. Vérifiez l'adresse e-mail et réessayez."
"The time zone is incorrect. Verify the time zone and try again.","Le fuseau horaire est incorrect. Vérifiez le fuseau horaire et réessayez."
"The ""%1"" file doesn't exist.","Le fichier ""%1"" n'existe pas."
"The ""%1"" path doesn't exist. Verify and try again.","Le chemin ""%1"" n'existe pas. Vérifiez et réessayez."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'Le XML dans le fichier ""%1"" est non valide :' . ""\n%2\nVérifiez le XML et réessayez."""
