"Default Config","תצורת ברירת מחדל"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","תמיד (במהלך פיתוח)"
"Only Once (version upgrade)","רק פעם אחת (גירסת שדרוג)"
"Never (production)","לעולם לא (ייצור)"
"Bcc","עותק מוסתר"
"Separate Email","הפרדת דואר אלקטרוני"
"%1 (Default)","%1 (ברירת מחדל)"
"title","כותרת"
"No","לא"
"Optional","אופציונלי"
"Required","נדרש"
"Website","אתר"
"Store","חנות"
"Store View","תצוגת חנות"
"HTTP (unsecure)","HTTP (לא מאובטח)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","כן (נמצא 302)"
"Yes (301 Moved Permanently)","כן (301 הועבר לצמיתות)"
"Yes","כן"
"Specified","צוין"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","הגדרות לטופס שדות דגם משוכפלים הנדרשים כדי שניתן יהיה לשכפל שדות"
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'There is no defined type ' ."
"'Object is not instance of ' .","'Object is not instance of ' ."
"Filesystem is not writable.","Filesystem is not writable."
"Some error","תקלה"
"Some message","Some message"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","פקודה זו אינה זמינה כעת."
"The ""test/test/test"" path does not exists","The ""test/test/test"" path does not exists"
"error message","הודעת שגיאה"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","איזו קידומת"
"element label","רכיב תווית"
"element hint","רכיב רמז"
"element comment","רכיב תגובה"
"element tooltip","תיאור רכיב"
"test","בדיקה"
"test2","test2"
"Add after","להוסיף לאחר"
"Delete","מחק"
"Current Configuration Scope:","טווח ההגדרות הנוכחי:"
"Stores","חנויות"
"Group Label","תווית קבוצה"
"Some Label","התווית"
"Tab Label","כרטיסיית התווית"
"Allow everything","אפשר הכל"
"Magento Admin","מנהל מערכת מג'נטו"
"Dashboard","לוח בקרה"
"Manage Stores","ניהול חנויות"
"Field 2","שדה 2"
"Field 3","שדה 3"
"Field 3.1","שדה 3.1"
"Field 3.1.1","שדה 3.1.1"
"Field 4","שדה 4"
"Advanced Section","אגף מתקדם"
"Advanced Admin Section","אזור ניהול מתקדם"
"Design Section","אזור העיצוב"
"General Section","סעיף כללי"
"System Section","אזור מערכת"
"Currency Setup Section","אזור הגדרת מטבע"
"Developer Section","אזור מפתחים"
"Web Section","אזור אינטרנט"
"Store Email Addresses Section","אזור כתובות דואר אלקטרוני של החנות"
"Email to a Friend","דואר אלקטרוני לחבר"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
