"Default Config","Standardkonfiguration"
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Der Absendername ""%1"" ist ungültig. Bitte benutzen Sie ausschließlich sichtbare Zeichen und Leerzeichen."
"Maximum sender name length is 255. Please correct your settings.","Die maximale Länge des Absendernamens beträgt 255 Zeichen. Bitte korrigieren Sie Ihre Einstellungen."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Die Datei, die Sie hochgeladen haben überschreitet das Serverlimit von %1 Kilobytes."
"The base directory to upload file is not specified.","Das Basis-Verzeichnis für Datei-Uploads ist nicht angegeben."
"The specified image adapter cannot be used because of: %1","Der angegebene Bild-Adapter kann nicht nicht verwendet werden: %1"
"Default scope","Standardbereich"
"Base currency","Basiswährung"
"Display default currency","Standardwährung anzeigen"
"website(%1) scope","Website(%1)-Bereich"
"store(%1) scope","Shop(%1)-Bereich"
"Currency ""%1"" is used as %2 in %3.","Währung ""%1"" dient als %2 in %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Immer (während der Entwicklung)"
"Only Once (version upgrade)","Nur einmal (Versions-Upgrade)"
"Never (production)","Niemals (Produktion)"
"Bcc","Bcc"
"Separate Email","Separate E-Mail"
"%1 (Default)","%1 (Standard)"
"title","Titel"
"No","Nein"
"Optional","Optional"
"Required","Erforderlich"
"Website","Webseite"
"Store","Shop"
"Store View","Store View"
"HTTP (unsecure)","HTTP (unsicher)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Ja (302 Found)"
"Yes (301 Moved Permanently)","Ja (301 Moved Permanently)"
"Yes","Ja"
"Specified","festgelegt"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Um Felder zu klonen ist eine Konfiguration des ""fieldset clone model"" erforderlich."
"%1: Instance of %2 is expected, got %3 instead","%1: Instanz von %2 wird erwartet, stattdessen %3 erhalten"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'Es gibt keinen definierten Typ ' ."
"'Object is not instance of ' .","'Objekt ist keine Instanz von ' ."
"Filesystem is not writable.","Dateisystem ist schreibgeschützt."
"Some error","Ein Fehler"
"Some message","Eine Nachricht"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","Dieses Kommando ist momentan nicht verfügbar."
"The ""test/test/test"" path does not exists","Der ""test/test/test"" Pfad existiert nicht"
"error message","Fehlermeldung"
"some_label","ein_label"
"some_comment","ein_kommentar"
"some prefix","Ein Präfix"
"element label","Elementbezeichnung"
"element hint","Elementhinweis"
"element comment","Elementkommentar"
"element tooltip","Element-QuickInfo"
"test","Test"
"test2","test2"
"Add after","Einfügen nach"
"Delete","Löschen"
"Current Configuration Scope:","Aktueller Konfigurationsbereich:"
"Stores","Shops"
"Group Label","Gruppenbezeichnung"
"Some Label","Eine Bezeichnung"
"Tab Label","Registerbezeichnung"
"Allow everything","Alles erlauben"
"Magento Admin","Magento Administration"
"Dashboard","Übersicht"
"Manage Stores","Stores verwalten"
"Field 2","Feld 2"
"Field 3","Feld 3"
"Field 3.1","Feld 3.1"
"Field 3.1.1","Feld 3.1.1"
"Field 4","Feld 4"
"Advanced Section","Fortgeschritten"
"Advanced Admin Section","Erweiterte Administration"
"Design Section","Design"
"General Section","Allgemein"
"System Section","System"
"Currency Setup Section","Währungseinstellungen"
"Developer Section","Entwickler"
"Web Section","Web"
"Store Email Addresses Section","Shop-E-Mail-Adressen"
"Email to a Friend","E-Mail an einen Freund"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
