"Default Config","Vaikeseaded"
"Config form fieldset clone model required to be able to clone fields","Config form fieldset clone model required to be able to clone fields"
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'There is no defined type ' ."
"'Object is not instance of ' .","'Object is not instance of ' ."
"Filesystem is not writable.","Filesystem is not writable."
"Some error","Some error"
"Some message","Some message"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","This command is unavailable right now."
"The ""test/test/test"" path does not exists","The ""test/test/test"" path does not exists"
"error message","error message"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","some prefix"
"element label","element label"
"element hint","element hint"
"element comment","elemendi kommentaar"
"element tooltip","element tooltip"
"test","test"
"test2","test2"
"Add after","Lisa peale"
"Delete","Kustuta"
"Current Configuration Scope:","Konfiguratsiooniskoop:"
"Stores","Poed"
"Group Label","Grupi silt"
"Some Label","Mingi silt"
"Tab Label","Vahekaardi silt"
"Allow everything","Luba kõik"
"Magento Admin","Magento Haldus"
"Dashboard","Töölaud"
"Manage Stores","Halda poode"
"Field 2","Väli 2"
"Field 3","Väli 3"
"Field 3.1","Väli 3.1"
"Field 3.1.1","Väli 3.1.1"
"Field 4","Väli 4"
"Advanced Section","Täpsemad seaded"
"Advanced Admin Section","Admini täpsemad seaded"
"Design Section","Kujundus"
"General Section","Üldine"
"System Section","Süsteem"
"Currency Setup Section","Valuuta seaded"
"Developer Section","Arendaja"
"Web Section","Veeb"
"Store Email Addresses Section","Poe e-posti aadressid"
"Email to a Friend","Saada sõbrale"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
