"Default Config","Cấu hình mặc định"
"element label","nhãn hiệu nguyên tố"
"element hint","yếu tố gợi ý"
"element comment","nguyên tố bình luận"
"element tooltip","yếu tố tooltip"
"test","thử nghiệm"
"test2","test2"
"Add after","Thêm sau"
"Delete","Xóa bỏ"
"Current Configuration Scope:","Phạm vi cấu hình hiện tại:"
"Stores","Cửa hàng"
"Group Label","Nhãn hiệu nhóm"
"Some Label","Một số nhãn hiệu"
"Tab Label","Tab nhãn hiệu"
"Allow everything","Allow everything"
"Magento Admin","Magento Admin"
"Dashboard","Bảng điều khiển"
"Manage Stores","Quản lý cửa hàng"
"Field 2","Trường 2"
"Field 3","Trường 3"
"Field 3.1","Trường 3.1"
"Field 3.1.1","Trường 3.1.1"
"Field 4","Trường 4"
"Advanced Section","Phần Nâng cao"
"Advanced Admin Section","Phần quản trị nâng cao"
"Design Section","Phần Thiết kế"
"General Section","Phần Tổng hợp"
"System Section","Phần Hệ thống"
"Currency Setup Section","Phần thiết lập tiền tệ"
"Developer Section","Phần Nhà phát triển"
"Web Section","Phần web"
"Store Email Addresses Section","Phần địa chỉ Email Cửa hàng"
"Email to a Friend","Email cho bạn bè"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
