"AVS result code","کد نتیجه AVS"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","ناسازگاری اینترنتی. آدرس IP و دامنه ایمیل با آدرس صورتحساب سازگار نیست"
"Nonsensical input. The customer name and address fields contain meaningless words or language","ورودی اشتباه. نام مشتری و فیلد آدرس شامل کلمات یا زبان بی معنی است"
"Obscenities. The customer’s input contains obscene words","فحاشی. ورودی شامل کلمات ناخوشایند است"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","شبیه سازی هویت. مقادیر چندگانه یک المان هویت با مقدار یک عنصر هویت متفاوت مرتبط است. به عنوان مثال، شماره تلفن های متعدد به یک شماره حساب واحد مرتبط است"
"Phone inconsistencies. The customer’s phone number is suspicious","ناسازگاری تلفن. شماره تلفن مشتری مشکوک است"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","سفارش خطرناک. اطلاعات تراکنش، مشتری و فروشنده نشان دهنده چندین ارتباط با ریسک بالا است"
"Time hedge. The customer is attempting a purchase outside of the expected hours","مانع زمان. مشتری در حال تلاش برای خرید خارج از ساعت های مورد نظر است"
"Unverifiable address. The billing or shipping address cannot be verified","آدرس غیرقابل تأیید. آدرس صورتحساب یا ارسال را نمی توان تأیید کرد"
"Velocity. The account number was use  many times in the past 15 minutes","سرعت. شماره حساب در 15 دقیقه گذشته بارها استفاده شده است"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","به عنوان مورد مشکوک علامتگذاری شد. آدرس صورتحساب یا ارسال مانند یک آدرس مشکوک قبلا ثبت شده در سیستم است"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","سفارش هدیه. کشور، استان یا شهرستان، شهر و یا خیابان آدرس های صورتحساب و ارسال به هم مرتبط نیستند"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","مقدار نامعتبر. از آنجا که درخواست شامل یک مقدار غیر منتظره است، به جای آن یک مقدار پیش فرض جایگزین شد. اگرچه تراکنش همچنان می تواند پردازش شود، برای رفع اختلالات سفارش، درخواست را با دقت بررسی کنید"
"Unknown factor. Please contact Cybersource customer service","عامل ناشناس. لطفا با خدمات مشتری Cybersource تماس بگیرید"
"Payment Token Build Error.","خطای ساخت رمز پرداخت."
"Your payment has been declined. Please try again.","پرداخت شما لغو شده است لطفا دوباره تلاش کنید."
"CC type field should be provided","زمینه نوع CC باید ارائه شود"
"Gateway validation error","خطای تأیید اعتبار دروازه"
"Authorize","احراز هویت"
"Authorize and Capture","احراز هویت و ضبط"
"Risk Factor Q","عامل خطر Q"
"Risk Factor V","عامل خطر V"
"Place Order","ایجاد سفارش"
"Cybersource","Cybersource"
"Enabled","فعال"
"Payment Action","عمل پرداخت"
"Title","عنوان"
"Merchant ID","شناسه‌ فروشنده"
"Transaction Key","كليد تراكنش"
"Profile ID","شناسه پروفایل"
"Access Key","کلید دسترسی"
"Secret Key","کلید رمز"
"New Order Status","وضعيت سفارش جديد"
"Test Mode","حالت آزمایشی"
"Debug","اشکال زدايي کردن"
"Credit Card Types","انواع كارت بانکی"
"Payment from Applicable Countries","پرداخت از کشورهای قابل قبول"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Minimum Order Total","مجموع حداقل تعداد سفارش"
"Maximum Order Total","مجموع حداکثر تعداد سفارش"
"Sort Order","ترتيب سفارش"
"Authorize Only","فقط مجاز"
"Webhook URL","آدرس Webhook"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL should be set in your Cybersource account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
