"AVS result code","AVS ප්‍රතිඵල කේතය"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","වලංගු නොවන අගයක්. ඉල්ලීමෙහි අනපේක්ෂිත අගයක් අඩංගු බැවින්, පෙරනිමි අගයක් ආදේශ කරන ලදී. ගනුදෙනුව තවමත් ක්‍රියාත්මක කළ හැකි වුවද, ඇණවුමේ අසාමාන්‍යතා සඳහා ඉල්ලීම ප්‍රවේශමෙන් පරීක්ෂා කරන්න"
"Unknown factor. Please contact Cybersource customer service","නොදන්නා සාධකය. කරුණාකර Cybersource පාරිභෝගික සේවාව අමතන්න"
"Payment Token Build Error.","ගෙවීම් ටෝකන් ගොඩනැගීමේ දෝෂය."
"Your payment has been declined. Please try again.","ඔබේ ගෙවීම ප්‍රතික්ෂේප කර ඇත. කරුණාකර නැවත උත්සාහ කරන්න."
"CC type field should be provided","CC වර්ගයේ ක්ෂේත්‍රයක් සැපයිය යුතුය"
"Gateway validation error","ද්වාර වලංගු කිරීමේ දෝෂයකි"
"Authorize","අවසරලත්"
"Authorize and Capture","අවසර දීම සහ අල්ලා ගැනීම"
"Risk Factor Q","අවදානම් සාධකය Q"
"Risk Factor V","අවදානම් සාධකය V"
"Place Order","ඇනවුම කරන්න"
"Cybersource","සයිබර් මූලාශ්රය"
"Enabled","සබල කර ඇත"
"Payment Action","ගෙවීම් ක්‍රියාව"
"Title","ශීර්ෂය"
"Merchant ID","වෙළඳ හැඳුනුම්පත"
"Transaction Key","ගනුදෙනු යතුර"
"Profile ID","පැතිකඩ හැඳුනුම්පත"
"Access Key","ප්රවේශ යතුර"
"Secret Key","රහස් යතුර"
"New Order Status","නව ඇණවුම් තත්ත්වය"
"Test Mode","පරීක්ෂණ මාදිලිය"
"Debug","දෝෂහරණය කරන්න"
"Credit Card Types","ක්රෙඩිට් කාඩ් වර්ග"
"Payment from Applicable Countries","අදාළ රටවලින් ගෙවීම්"
"Payment from Specific Countries","විශේෂිත රටවලින් ගෙවීම්"
"Minimum Order Total","අවම ඇණවුම මුළු"
"Maximum Order Total","උපරිම ඇණවුම මුළු"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Authorize Only","අවසර දීම පමණි"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL එක ඔබේ Cybersource ගිණුමේ ගනුදෙනු ප්‍රතිචාර පිටුව ලෙස සැකසිය යුතුය."
"Is admin panel works on the different domain?","පරිපාලක පැනලය විවිධ වසම් මත ක්‍රියා කරයිද?"
"Admin Profile ID","පරිපාලක පැතිකඩ ID"
"Admin Access Key","පරිපාලක ප්රවේශ යතුර"
"Admin Secret Key","පරිපාලක රහස් යතුර"
"Admin Webhook URL","පරිපාලක Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","ක්‍රෙඩිට් කාඩ් වර්ගයේ ක්ෂේත්‍රය සැපයිය යුතුය. ක්ෂේත්‍රය තෝරා නැවත උත්සාහ කරන්න."
