"AVS result code","Kết quả mã AVS"
"Unknown factor. Please contact Cybersource customer service","Yếu tố chưa được xác định. Xin vui lòng liên hệ với dịch vụ khách hàng Cybersource"
"Payment Token Build Error.","Hệ thống mã thanh toán thông báo lỗi."
"Your payment has been declined. Please try again.","Thanh toán của bạn đã bị từ chối. Xin vui lòng thử lại."
"CC type field should be provided","Loại CC cần được cung cấp"
"Gateway validation error","Lỗi soát hợp thức đường vào"
"Authorize","Ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"Risk Factor Q","Yếu tố nguy hiểm Q"
"Risk Factor V","Yếu tố nguy hiểm V"
"Place Order","Đặt hàng"
"Cybersource","Cybersource"
"Enabled","Cho phép"
"Payment Action","Hành động thanh toán"
"Title","Tiêu đề"
"Merchant ID","Mã Nhận Diện Người Bán"
"Transaction Key","Mã Giao Dịch"
"Profile ID","ID cấu hình"
"Access Key","Chìa khóa truy cập"
"Secret Key","Chìa khóa bí mật"
"New Order Status","Trạng thái đơn hàng mới"
"Test Mode","Chế độ dùng thử"
"Debug","Sửa Lỗi"
"Credit Card Types","Các Loại Thẻ Tín Dụng"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Minimum Order Total","Giá Trị Đơn Hàng Tối Thiểu"
"Maximum Order Total","Giá Trị Đơn Hàng Tối Đa"
"Sort Order","Thứ tự sắp xếp"
"Authorize Only","Chỉ ủy quyền"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL should be set in your Cybersource account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
