"AVS result code","AVS-Ergebniscode"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Zeitabsicherung. Der Kunde versucht außerhalb der erwarteten Stunden einzukaufen."
"Unverifiable address. The billing or shipping address cannot be verified","Nicht verifizierbare Adresse. Die Rechnungs- oder Versandadresse kann nicht verifiziert werden."
"Velocity. The account number was use  many times in the past 15 minutes","Geschwindigkeit. Die Kontonummer wurde mehrfach in den letzen 15 Minuten benutzt."
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Als verdächtig markiert. Die Rechnungs- oder Versandadresse ähnelt einer kürzlich als verdächtig markierten Adresse."
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Geschenkbestellung. Adresse, Stadt, Bundesland oder Land der Rechnungs- und Versandadressen hängen nicht zusammen."
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Ungültiger Wert. Da die Anfrage einen unerwarteten Wert enthält, wurde er durch einen Standardwert ersetzt. Obwohl die Transaktion noch verarbeitet werden kann, prüfen Sie die Anfrage sorgfältig nach Auffälligkeiten in der Bestellung"
"Unknown factor. Please contact Cybersource customer service","Unbekannter Faktor. Bitte kontaktieren Sie den Cybersource Kundenservice."
"Payment Token Build Error.","Zahlungstoken-Buildfehler"
"Your payment has been declined. Please try again.","Ihre Zahlung wurde abgelehnt. Bitte versuchen Sie es erneut."
"CC type field should be provided","Kreditkartentyp sollte angegeben werden."
"Gateway validation error","Gateway-Validierungsfehler"
"Authorize","Autorisieren"
"Authorize and Capture","Autorisieren und Zahlungseinzug"
"Risk Factor Q","Risikofaktor Q"
"Risk Factor V","Risikofaktor V"
"Place Order","Jetzt kaufen"
"Cybersource","Cybersource"
"Enabled","Aktiviert"
"Payment Action","Zahlungsvorgang"
"Title","Titel"
"Merchant ID","Verkäufer ID"
"Transaction Key","Transaktionsschlüssel"
"Profile ID","Profil-ID"
"Access Key","Zugriffsschlüssel"
"Secret Key","Geheimschlüssel"
"New Order Status","Neuer Bestellstatus"
"Test Mode","Test Modus"
"Debug","Debuggen"
"Credit Card Types","Kreditkartentypen"
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"Maximum Order Total","Maximalwert für Gesamtbestellung"
"Sort Order","Sortierreihenfolge"
"Authorize Only","Nur autorisieren"
"Webhook URL","Webhook-URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Der Webhook-URL sollte in Ihrem Cybersource-Konto als Transaktions-Response-Seite gesetzt werden."
"Is admin panel works on the different domain?","Ist das Admin Panel auf der anderen Domain?"
"Admin Profile ID","Admin-Profil-ID"
"Admin Access Key","Admin-Zugangsschlüssel"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook-URL"
"The credit card type field needs to be provided. Select the field and try again.","Das Feld für den Kreditkartentyp muss angegeben werden. Wählen Sie das Feld aus und versuchen Sie es erneut."
