"System Backup","સિસ્ટમ બેકઅપ"
"The backup file does not exist.","બેકઅપ ફાઇલ અસ્તિત્વમાં નથી."
"The backup file path was not specified.","બેકઅપ ફાઇલ પાથ ઉલ્લેખિત નથી."
"The backup file ""%1"" does not exist.","બેકઅપ ફાઇલ ""% 1"" અસ્તિત્વમાં નથી."
"Sorry, but we cannot read from or write to backup file ""%1"".","માફ કરશો, પરંતુ અમે બૅકઅપ ફાઇલ ""% 1"" થી વાંચી અથવા લખી શકતા નથી."
"The backup file handler was unspecified.","બેકઅપ ફાઇલ હેન્ડલર અનિશ્ચિત હતું."
"Something went wrong while writing to the backup file ""%1"".","બેકઅપ ફાઇલ ""% 1"" પર લખતી વખતે કંઈક ખોટું થયું."
"We can't save the Cron expression.","આપણે ક્રોન અભિવ્યક્તિને બચાવી શકતા નથી."
"You will lose any data created since the backup was made, including admin users, customers and orders.","એડમિન વપરાશકર્તાઓ, ગ્રાહકો અને ઑર્ડર્સ સહિત બેકઅપ બનાવવામાં આવ્યા પછી તમે બનાવેલ કોઈપણ ડેટા ગુમાવશો."
"Are you sure you want to continue?","શું તમે ખરેખર ચાલુ રાખવા માંગો છો?"
"This may take a few moments.","આમાં થોડો સમય લાગી શકે છે."
"Be sure your store is in maintenance mode during backup.","બેકઅપ દરમિયાન તમારું સ્ટોર જાળવણી મોડમાં છે તેની ખાતરી કરો."
"Backup Name","બેકઅપ નામ"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","કૃપા કરીને આ ક્ષેત્રમાં ફક્ત અક્ષરો (a-z અથવા A-Z), નંબર્સ (0-9) અથવા સ્થાનોનો ઉપયોગ કરો."
"Maintenance mode","જાળવણી સ્થિતિ"
"Please put your store into maintenance mode during backup.","કૃપા કરીને બેકઅપ દરમિયાન તમારા સ્ટોરને જાળવણી મોડમાં મૂકો."
"Exclude","બાકાત"
"Exclude media folder from backup","બેકઅપ માંથી મીડિયા ફોલ્ડર બાકાત"
"Please enter the password to confirm rollback.","રોલબેકની પુષ્ટિ કરવા માટે કૃપા કરીને પાસવર્ડ દાખલ કરો."
"This action cannot be undone.","આ ક્રિયા પૂર્વવત્ કરી શકાતી નથી."
"User Password","વપરાશકર્તા પાસવર્ડ"
"Please put your store into maintenance mode during rollback processing.","રોલબેક પ્રક્રિયા દરમિયાન કૃપા કરીને તમારા સ્ટોરને જાળવણી મોડમાં મૂકો."
"FTP","FTP"
"Use FTP Connection","FTP કનેક્શનનો ઉપયોગ કરો"
"FTP credentials","FTP પ્રમાણપત્રો"
"FTP Host","FTP યજમાન"
"FTP Login","FTP પ્રવેશ"
"FTP Password","FTP પાસવર્ડ"
"Magento root directory","Magento રુટ ડિરેક્ટરી"
"Create Backup","બૅકઅપ બનાવો"
"Rollback","રોલબેક"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","શેડ્યૂલ કરેલ બેકઅપ સક્ષમ કરો"
"Backup Type","Backup Type"
"Start Time","પ્રારંભ સમય"
"Frequency","આવર્તન"
"Maintenance Mode","જાળવણી સ્થિતિ"
"Delete","કાઢી નાખો"
"Are you sure you want to delete the selected backup(s)?","શું તમે ખરેખર પસંદ કરેલા બેકઅપને કાઢી નાખવા માંગો છો?"
"Time","સમય"
"Name","નામ"
"Size(bytes)","કદ (બાઇટ્સ)"
"Type","લખો"
"Download","ડાઉનલોડ કરો"
"Action","ક્રિયા"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
