"System Backup","ವ್ಯವಸ್ಥೆ ಬ್ಯಾಕಪ್"
"Please correct the password.","ಗುಪ್ತಪದವನ್ನು ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions."
"We can't find the backup file.","ಬ್ಯಾಕಪ್ ಕಡತ ನಮಗೆ ಕಂಡುಬಂದಿಲ್ಲ."
"We can't connect to the FTP right now.","We can't connect to the FTP right now."
"Failed to validate FTP.","Failed to validate FTP."
"You need more permissions to perform a rollback.","You need more permissions to perform a rollback."
"Failed to rollback.","Failed to rollback."
"Database","ಡೇಟಾಬೇಸ್"
"Database and Media","ಡೇಟಾಬೇಸ್ ಮತ್ತು ಮಾಧ್ಯಮ"
"System (excluding Media)","ವ್ಯವಸ್ಥೆ (ಮಾಧ್ಯಮ ರಹಿತ)"
"You created the system backup.","You created the system backup."
"You created the system backup (excluding media).","You created the system backup (excluding media)."
"You created the database and media backup.","You created the database and media backup."
"You created the database backup.","ನೀವು ಡೇಟಾಬೇಸ್ ಬ್ಯಾಕಪ್ ಅನ್ನು ರಚಿಸಿದ್ದೀರಿ."
"Please correct the order of creation for a new backup.","Please correct the order of creation for a new backup."
"The backup file does not exist.","ಬ್ಯಾಕಪ್ ಕಡತ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"The backup file path was not specified.","The backup file path was not specified."
"The backup file ""%1"" does not exist.","ಬ್ಯಾಕಪ್ ಕಡತ ""%1"" ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"Sorry, but we cannot read from or write to backup file ""%1"".","Sorry, but we cannot read from or write to backup file ""%1""."
"The backup file handler was unspecified.","The backup file handler was unspecified."
"Something went wrong while writing to the backup file ""%1"".","Something went wrong while writing to the backup file ""%1""."
"We can't save the Cron expression.","We can't save the Cron expression."
"You will lose any data created since the backup was made, including admin users, customers and orders.","You will lose any data created since the backup was made, including admin users, customers and orders."
"Are you sure you want to continue?","ಮುಂದುವರೆಯಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"This may take a few moments.","ಇದಕ್ಕೆ ಕೆಲವು ನಿಮಷಗಳು ಹಿಡಿಯಬಹುದು."
"Be sure your store is in maintenance mode during backup.","Be sure your store is in maintenance mode during backup."
"Backup Name","ಬ್ಯಾಕಪ್ ಹೆಸರು"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","ದಯವಿಟ್ಟು ಅಕ್ಷರಗಳು(a-z or A-Z), ಅಂಕೆಗಳು(0-9) ಅಥವಾ ಖಾಲಿಜಾಗಗಳನ್ನು ಮಾತ್ರ ಈ ವಲಯದಲ್ಲಿ ಬಳಸಿ."
"Maintenance mode","ನಿರ್ವಹಣಾ ವಿಧಾನ"
"Please put your store into maintenance mode during backup.","Please put your store into maintenance mode during backup."
"Exclude","ಹೊರತುಪಡಿಸಿ"
"Exclude media folder from backup","ಬ್ಯಾಕಪ್‍ನಿಂದ ಮಾಧ್ಯಮ ಫೋಲ್ಡರ್ ಅನ್ನು ಹೊರಗಿಡಿ"
"Please enter the password to confirm rollback.","Please enter the password to confirm rollback."
"This action cannot be undone.","ಈ ಕಾರ್ಯವನ್ನು ರದ್ದುಗೊಳಿಸಲು ಸಾಧ್ಯವಿರುವುದಿಲ್ಲ."
"User Password","ಬಳಕೆದಾರರ ಗುಪ್ತಪದ"
"Please put your store into maintenance mode during rollback processing.","Please put your store into maintenance mode during rollback processing."
"FTP","FTP"
"Use FTP Connection","FTP ಸಂಪರ್ಕ ಬಳಸಿ"
"FTP credentials","FTP credentials"
"FTP Host","FTP Host"
"FTP Login","FTP ಲಾಗಿನ್"
"FTP Password","FTP ಗುಪ್ತಪದ"
"Magento root directory","Magento root directory"
"Create Backup","ಬ್ಯಾಕಪ್ ರಚಿಸಿ"
"Rollback","Rollback"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","ನಿಗದಿತ ಬ್ಯಾಕಪ್ ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Backup Type","Backup Type"
"Start Time","ಪ್ರಾರಂಭದ ಸಮಯ"
"Frequency","ಆವರ್ತನ"
"Maintenance Mode","ನಿರ್ವಹಣಾ ವಿಧಾನ"
"Delete","ಅಳಿಸಿ"
"Are you sure you want to delete the selected backup(s)?","ಆಯ್ಕೆಮಾಡಿದ ಬ್ಯಾಕಪ್‍ಗಳನ್ನು ಅಳಿಸಲು ಬಯಸುವಿರಾ?"
"Time","ಸಮಯ"
"Name","ಹೆಸರು"
"Size(bytes)","ಗಾತ್ರ(ಬೈಟ್‍ಗಳು)"
"Type","ವಿಧ"
"Download","ಡೌನ್‍ಲೋಡ್"
"Action","ಕ್ರಿಯೆ"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","ಬ್ಯಾಕಪ್ ಸಂಯೋಜನೆಗಳು"
"Enable Backup","ಬ್ಯಾಕಪ್ ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Scheduled Backup Type","ನಿಗದಿತ ಬ್ಯಾಕಪ್ ವಿಧ"
"Disabled by default for security reasons","Disabled by default for security reasons"
