"System Backup","پشتیبان سیستم"
"System (excluding Media)","سیستم (به جز رسانه)"
"You created the system backup.","شما پشتیبان سیستم را ایجاد کردید."
"You created the system backup (excluding media).","شما پشتیبان سیستم را ایجاد کردید.(به جز رسانه)"
"You created the database and media backup.","شما پشتیبان پایگاه داده و رسانه را ایجاد کرده اید."
"You created the database backup.","پشتیبان پایگاه داده را ایجاد کرده اید."
"Please correct the order of creation for a new backup.","لطفا دستور ایجاد یک پشتیبان جدید را اصلاح کنید."
"The backup file does not exist.","فایل پشتیبان وجود ندارد."
"The backup file path was not specified.","مسیر فایل پشتیبان مشخص نشده است."
"The backup file ""%1"" does not exist.","فایل پشتیبان ""%1"" وجود ندارد."
"Sorry, but we cannot read from or write to backup file ""%1"".","با عرض پوزش، اما ما نمی توانیم فایل پشتیبان ""%1"" را بخوانیم و یا روی آن بنویسیم."
"The backup file handler was unspecified.","دستیار فایل پشتیبان مشخص نشده است."
"Something went wrong while writing to the backup file ""%1"".","هنگام نوشتن روی فایل پشتیبان ""%1"" اشتباهی رخ داده است."
"We can't save the Cron expression.","ما نمی توانیم عبارت Cron را ذخیره کنیم."
"You will lose any data created since the backup was made, including admin users, customers and orders.","هر گونه اطلاعات ایجاد شده از زمان تهیه پشتیبان، از جمله کاربران مدیر، مشتریان و سفارشات را از دست خواهید داد."
"Are you sure you want to continue?","آیا مطمئن هستید که میخواهید ادامه دهید؟"
"This may take a few moments.","ممکن است چند ثانیه طول بکشد."
"Be sure your store is in maintenance mode during backup.","اطمینان حاصل کنید که فروشگاه شما در طول پشتیبان گیری در حالت تعمیر و نگهداری است."
"Backup Name","نام پشتيبان"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","لطفا فقط از حروف (a-z یا A-Z), اعداد (0-9) یا فاصله در این فیلد استفاده کنید."
"Maintenance mode","حالت تعمیر و نگهداری"
"Please put your store into maintenance mode during backup.","لطفا در هنگام تهیه پشتیبان، فروشگاه خود را در حالت تعمیر و نگهداری قرار دهید."
"Exclude","استثنا"
"Exclude media folder from backup","پشتیبان گیری بدون پوشه media"
"Please enter the password to confirm rollback.","لطفا رمز عبور را وارد کنید تا بازگردانی تأیید شود."
"This action cannot be undone.","این دستور قابل بازگشت نیست."
"User Password","رمز عبور کاربر"
"Please put your store into maintenance mode during rollback processing.","لطفا در هنگام بازگردانی، فروشگاه خود را در حالت تعمیر و نگهداری قرار دهید."
"FTP","FTP"
"Use FTP Connection","استفاده از اتصال FTP"
"FTP credentials","FTP credentials"
"FTP Host","هاست FTP"
"FTP Login","FTP Login"
"FTP Password","رمزعبور FTP"
"Magento root directory","دایرکتوری اصلی مجنتو"
"Create Backup","ايجاد پشتيبان"
"Rollback","عقبگرد"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","تهيه نسخه پشتيبان برنامه ريزی شده را فعال کنيد"
"Backup Type","Backup Type"
"Start Time","زمان شروع"
"Frequency","میزان تکرار"
"Maintenance Mode","حالت تعمیر و نگهداری"
"Delete","حذف"
"Are you sure you want to delete the selected backup(s)?","آيا مطمئن هستيد كه مي خواهيد نسخه پشتيبان(ها) را حذف كنيد؟"
"Time","زمان"
"Name","نام"
"Size(bytes)","سایز(بایت)"
"Type","نوع"
"Download","دانلود"
"Action","اقدام"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
