"System Backup","نظام النسخ الاحتياطي"
"Are you sure you want to delete the selected backup(s)?","هل أنت متأكد من أنك تريد حذف النسخة أو النسخ الاحتياطية المحددة؟"
"Time","الزمن"
"Name","اسم"
"Size(bytes)","الحجم(بايت)"
"Type","النوع"
"Download","تحميل"
"Action","إجراء"
"Backup functionality is disabled","تم تعطيل النسخ الاحتياطي"
"Backup Settings","إعدادات النسخ الاحتياطي"
"Enable Backup","تفعيل النسخ الاحتياطي"
"Scheduled Backup Type","نسخ احتياطي مُجدول"
"Disabled by default for security reasons","معطل لأسباب امنية"
