"Gift Card Accounts","තෑගි කාඩ්පත් ගිණුම්"
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"Please select a gift card account(s)","කරුණාකර තෑගි කාඩ්පත් ගිණුමක් තෝරන්න"
"You deleted a total of %1 records.","ඔබ සම්පූර්ණ වාර්තා %1 ක් මකා ඇත."
"You saved the gift card account.","ඔබ තෑගි කාඩ්පත් ගිණුම සුරකින ලදී."
"An email was not sent because the gift card account is not active.","තෑගි කාඩ්පත් ගිණුම සක්‍රිය නැති නිසා විද්‍යුත් තැපෑලක් යවා නැත."
"You saved the gift card account, but an email was not sent.","ඔබ තෑගි කාඩ්පත් ගිණුම සුරකින ලද නමුත් විද්‍යුත් තැපෑලක් යවා නැත."
"We will refund the gift card amount to your customer’s store credit","අපි තෑගි කාඩ්පත් මුදල ඔබේ පාරිභෝගිකයාගේ ගබඩා ණය වෙත ආපසු දෙන්නෙමු"
"Please enable Store Credit to refund the gift card amount to your customer","ඔබේ පාරිභෝගිකයාට තෑගි කාඩ්පත් මුදල ආපසු ගෙවීමට කරුණාකර Store Credit සබල කරන්න"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","තෑගි කාඩ්පත ""%1"" එකතු කරන ලදී."
"We cannot apply this gift card.","අපට මෙම තෑගි කාඩ්පත යෙදිය නොහැක."
"Gift Card ""%1"" was removed.","තෑගි කාඩ්පත ""%1"" ඉවත් කරන ලදී."
"You can't remove this gift card.","ඔබට මෙම තෑගි කාඩ්පත ඉවත් කළ නොහැක."
"You can't redeem a gift card now.","ඔබට දැන් තෑගි කාඩ්පතක් මුදවා ගත නොහැක."
"Gift Card ""%1"" was redeemed.","තෑගි කාඩ්පත ""%1"" මුදා හරින ලදී."
"We cannot redeem this gift card.","අපට මෙම තෑගි කාඩ්පත මුදවා ගත නොහැක."
"Gift Card","තෑගි කාඩ්පත"
"By admin: %1.","පරිපාලක විසින්: %1."
"Could not save the gift card account.","තෑගි කාඩ්පත් ගිණුම සුරැකීමට නොහැකි විය."
"Could not delete the gift card account.","තෑගි කාඩ්පත් ගිණුම මැකීමට නොහැකි විය."
"The expiration date must be set in the future.","කල් ඉකුත් වීමේ දිනය අනාගතයේදී සැකසිය යුතුය."
"The balance cannot be less than zero.","ශේෂය බිංදුවට වඩා අඩු විය නොහැක."
"This gift card account is already in the quote.","මෙම තෑගි කාඩ්පත් ගිණුම දැනටමත් උද්ධෘතයේ ඇත."
"Please correct the gift card account code: ""%1"".","කරුණාකර තෑගි කාඩ්පත් ගිණුම් කේතය නිවැරදි කරන්න: ""%1""."
"This gift card account wasn't found in the quote.","මෙම ත්‍යාග කාඩ්පත් ගිණුම උද්ධෘතයේ හමු නොවීය."
"Please correct the gift card account ID. Requested code: ""%1""","කරුණාකර තෑගි කාඩ්පත් ගිණුම් හැඳුනුම්පත නිවැරදි කරන්න. ඉල්ලුම් කළ කේතය: ""%1"""
"Please correct the gift card account website: %1.","කරුණාකර තෑගි කාඩ්පත් ගිණුම් වෙබ් අඩවිය නිවැරදි කරන්න: %1."
"Gift card account %1 is not enabled.","තෑගි කාඩ්පත් ගිණුම %1 සබල කර නැත."
"Gift card account %1 is expired.","තෑගි කාඩ්පත් ගිණුම %1 කල් ඉකුත් වී ඇත."
"Gift card account %1 has a zero balance.","තෑගි කාඩ්පත් ගිණුම %1 හි ශුන්‍ය ශේෂයක් ඇත."
"Gift card account %1 balance is lower than the charged amount.","තෑගි කාඩ්පත් ගිණුමේ %1 ශේෂය අය කළ මුදලට වඩා අඩුය."
"Available","පවතින"
"Used","පාවිච්චි කළා"
"Redeemed","මුදවා ගන්නා ලදී"
"Expired","කල් ඉකුත් වී ඇත"
"Please enter a valid customer ID.","කරුණාකර වලංගු පාරිභෝගික හැඳුනුම්පතක් ඇතුළත් කරන්න."
"Gift Card Redeemed: %1. For customer #%2.","තෑගි කාඩ්පත මුදා ගන්නා ලදී: %1. පාරිභෝගික #%2සඳහා ."
"Created","නිර්මාණය කළා"
"Updated","යාවත්කාලීන කරන ලදී"
"Sent","යවා ඇත"
"Order #%1.","ඇණවුම #%1."
"Recipient: %1.","ලබන්නා: %1."
"Customer #%1.","පාරිභෝගික #%1."
"Please assign a gift card account.","කරුණාකර තෑගි කාඩ්පත් ගිණුමක් පවරන්න."
"Unknown history action.","නොදන්නා ඉතිහාස ක්‍රියාව."
"We were unable to create full code pool size. Please check settings and try again.","අපට සම්පූර්ණ කේත සංචිත ප්‍රමාණය සෑදීමට නොහැකි විය. කරුණාකර සැකසීම් පරීක්ෂා කර නැවත උත්සාහ කරන්න."
"No codes left in the pool.","සංචිතයේ කේත කිසිවක් ඉතිරි නොවේ."
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Could not delete gift card from quote","Could not delete gift card from quote"
"Could not add gift card code","Could not add gift card code"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"Alphanumeric","අක්ෂරාංක"
"Alphabetical","අකාරාදී"
"Numeric","සංඛ්යාත්මක"
"The maximum generated code length is 255. Please correct your settings.","උත්පාදනය කරන ලද උපරිම කේත දිග 255 වේ. කරුණාකර ඔබගේ සැකසීම් නිවැරදි කරන්න."
"Gift Cards","තෑගි කාඩ්පත්"
"test message","පරීක්ෂණ පණිවිඩය"
"Generate","උත්පාදනය කරන්න"
"Code Pool used: ","භාවිත කේත සංචිතය: "
" (free "," (නිදහස් "
" of "," වල "
" total)."," සමස්ත)."
"Are you sure you want to continue without saving your changes?","ඔබගේ වෙනස්කම් සුරැකීමෙන් තොරව ඉදිරියට යාමට අවශ්‍ය බව ඔබට විශ්වාසද?"
"Refund Gift Cards to Store Credit","ගබඩා ණය වෙත තෑගි කාඩ්පත් ආපසු ගෙවන්න"
"Add Gift Card","තෑගි කාඩ්පත එකතු කරන්න"
"Remove","ඉවත් කරන්න"
"Gift Card (%1)","තෑගි කාඩ්පත (%1)"
"This won't take long . . .","මෙය වැඩි කාලයක් ගත නොවනු ඇත. . ."
"Enter gift card code","තෑගි කාඩ්පත් කේතය ඇතුළත් කරන්න"
"Redeem Gift Card","තෑගි කාඩ්පත මුදා ගන්න"
"Check status and balance","තත්ත්වය සහ ශේෂය පරීක්ෂා කරන්න"
"Have a gift card? ","තෑගි කාඩ්පතක් තිබේද? "
"Click here","මෙහි ක්ලික් කරන්න"
" to redeem it."," එය මුදවා ගැනීමට."
"Enter the gift card code","තෑගි කාඩ්පත් කේතය ඇතුළත් කරන්න"
"Check Gift Card status and balance","තෑගි කාඩ්පත් තත්ත්වය සහ ශේෂය පරීක්ෂා කරන්න"
"Gift Card: ","තෑගි කාඩ්පත: "
"Current Balance: ","වත්මන් ශේෂය: "
"Expires: ","කල් ඉකුත් වේ: "
"Please enter a valid gift card code.","කරුණාකර වලංගු තෑගි කාඩ්පත් කේතයක් ඇතුළත් කරන්න."
"Add or remove gift cards","තෑගි කාඩ්පත් එකතු කිරීම හෝ ඉවත් කිරීම"
"Gift Card amount applied to order:","ඇණවුම සඳහා තෑගි කාඩ්පත් මුදල යොදනු ලැබේ:"
"You've been sent a gift from %store_name","ඔබට %store_name වෙතින් තෑග්ගක් එවා ඇත"
"%name,","%nam,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","ඔබට %store_name හි භාවිතය සඳහා තෑගි කාඩ්පතක් යවා ඇති අතර එය දැන් මිලදී ගැනීම් සඳහා භාවිතා කිරීමට සූදානම්ය."
"Gift Card Code: %code","තෑගි කාඩ්පත් කේතය: %code"
"The card has a balance of %balance and can be used at ","කාඩ්පතෙහි ශේෂය %bක් වන අතර එය භාවිතා කළ හැක "
"%store_name","%store_name"
"Apply Gift Card","තෑගි කාඩ්පත අයදුම් කරන්න"
"Gift Card:","තෑගි කාඩ්පත:"
"Apply","අයදුම් කරන්න"
"See Balance","ශේෂය බලන්න"
"Gift Card amount applied to order: ","ඇණවුම සඳහා තෑගි කාඩ්පත් මුදල යොදනු ලැබේ: "
"Email Sent from Gift Card Account Management","තෑගි කාඩ්පත් ගිණුම් කළමනාකරණයෙන් එවන ලද විද්‍යුත් තැපෑල"
"Gift Card Email Sender","තෑගි කාඩ්පත් ඊමේල් යවන්නා"
"Gift Card Template","තෑගි කාඩ්පත් ආකෘතිය"
"Gift Card Account General Settings","තෑගි කාඩ්පත් ගිණුම් පොදු සැකසුම්"
"Code Length","කේත දිග"
"Excluding prefix, suffix and separators.","උපසර්ගය, උපසර්ගය සහ බෙදුම්කරුවන් හැර."
"Code Format","කේත ආකෘතිය"
"Code Prefix","කේත උපසර්ගය"
"Code Suffix","කේත උපසර්ගය"
"Dash Every X Characters","සෑම X අක්ෂරයකටම ඩෑෂ් කරන්න"
"if empty no separation","හිස් නම් වෙන්වීමක් නැත"
"New Pool Size","නව තටාකයේ ප්‍රමාණය"
"Low Code Pool Threshold","අඩු කේත සංචිත සීමාව"
"IMPORTANT: Be sure to save your configuration before running generation process.","වැදගත්: උත්පාදන ක්‍රියාවලිය ක්‍රියාත්මක කිරීමට පෙර ඔබේ වින්‍යාසය සුරැකීමට වග බලා ගන්න."
"CSV","CSV"
"Excel XML","එක්සෙල් XML"
"Are you sure you want to delete these gift card accounts?","ඔබට මෙම තෑගි කාඩ්පත් ගිණුම් මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Code","කේතය"
"End","අවසානය"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Request","වලංගු නොවන ඉල්ලීමක්"
"Incorrect CAPTCHA","වැරදි CAPTCHA"
"Too many attempts, please try again later.","බොහෝ උත්සාහයන්, කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Amount can be returned to Store Credit.","Store Credit වෙත මුදල ආපසු ලබා දිය හැක."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","භාවිත කේත සංචිතය: <b>%1%</b> (මුළු <b>%3</b> හි <b>%2</b> නොමිලේ). නව කේත සංචිතය <a href=""#"" data-post=""%4"">මෙහි</a>ජනනය කරන්න."
"The ""%1"" Cart doesn't contain products.","""%1"" කරත්තයේ නිෂ්පාදන අඩංගු නොවේ."
"The gift card couldn't be deleted from the quote.","තෑගි කාඩ්පත උද්ධෘතයෙන් මැකිය නොහැකි විය."
"Requiring a composite gift card account.","සංයුක්ත තෑගි කාඩ්පත් ගිණුමක් අවශ්‍ය වේ."
"The gift card code couldn't be added. Verify your information and try again.","තෑගි කාඩ්පත් කේතය එක් කළ නොහැකි විය. ඔබගේ තොරතුරු තහවුරු කර නැවත උත්සාහ කරන්න."
"The gift card code is either incorrect or expired. Verify and try again.","තෑගි කාඩ්පත් කේතය වැරදි හෝ කල් ඉකුත් වී ඇත. තහවුරු කර නැවත උත්සාහ කරන්න."
"Gift Card %1 was removed.","තෑගි කාඩ්පත %1 ඉවත් කරන ලදී."
"Gift card not found","තෑගි කාඩ්පත හමු නොවීය"
"Gift card account is not redeemable.","තෑගි කාඩ්පත් ගිණුම මුදවා ගත නොහැක."
"Cannot find the customer to update balance","ශේෂය යාවත්කාලීන කිරීමට පාරිභෝගිකයා සොයා ගත නොහැක"
