"Gift Card Accounts","Konta Gift Card"
"Email Sent from Gift Card Account Management","E-mail wysłany z zarządzania kontem karty prezent"
"Gift Card Email Sender","Nadawcy wiadomości E-mail karty upominkowej"
"Gift Card Template","Szablonu karty upominkowej"
"Gift Card Account General Settings","Konto karty upominkowej ogólne ustawienia"
"Code Length","Długość kodu"
"Excluding prefix, suffix and separators.","Bez prefiksu, sufiksu i separatorów."
"Code Format","Format kodu"
"Code Prefix","Prefiks kodu"
"Code Suffix","Sufiks kodu"
"Dash Every X Characters","Kreska co każde X znaków"
"if empty no separation","brak oddzielenia jeśli puste"
"New Pool Size","Nowy rozmiar puli"
"Low Code Pool Threshold","Low Code Pool Threshold"
"IMPORTANT: Be sure to save your configuration before running generation process.","Ważne: Pamiętaj zapisać konfigurację przed uruchomieniem procesu generowania."
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","Czy na pewno chcesz usunąć te konta kart upominkowych?"
"Code","Kod"
"End","Koniec"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Request","Nieprawidłowe zapytanie"
"Incorrect CAPTCHA","Niepoprawna CAPTCHA"
"Too many attempts, please try again later.","Zbyt wiele prób, spróbuj ponownie później."
"Amount can be returned to Store Credit.","Amount can be returned to Store Credit."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>."
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"The gift card couldn't be deleted from the quote.","The gift card couldn't be deleted from the quote."
"Requiring a composite gift card account.","Requiring a composite gift card account."
"The gift card code couldn't be added. Verify your information and try again.","The gift card code couldn't be added. Verify your information and try again."
"The gift card code is either incorrect or expired. Verify and try again.","The gift card code is either incorrect or expired. Verify and try again."
"Gift Card %1 was removed.","Karta podarunkowa %1 została usunięta."
"Gift card not found","Karta podarunkowa nie została znaleziona"
"Gift card account is not redeemable.","Gift card account is not redeemable."
"Cannot find the customer to update balance","Cannot find the customer to update balance"
