"Gift Card Accounts","Kinkekaardi kontod"
"Gift card account %1 has a zero balance.","Gift card account %1 has a zero balance."
"Gift card account %1 balance is lower than the charged amount.","Gift card account %1 balance is lower than the charged amount."
"Available","Saadaval"
"Used","Kasutatud"
"Redeemed","Lunastatud"
"Expired","Aegunud"
"Please enter a valid customer ID.","Please enter a valid customer ID."
"Gift Card Redeemed: %1. For customer #%2.","Gift Card Redeemed: %1. For customer #%2."
"Created","Loodud"
"Updated","Uuendatud"
"Sent","Saadetud"
"Order #%1.","Tellimus #%1."
"Recipient: %1.","Recipient: %1."
"Customer #%1.","Klient #%1."
"Please assign a gift card account.","Please assign a gift card account."
"Unknown history action.","Unknown history action."
"We were unable to create full code pool size. Please check settings and try again.","We were unable to create full code pool size. Please check settings and try again."
"No codes left in the pool.","No codes left in the pool."
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Could not delete gift card from quote","Could not delete gift card from quote"
"Could not add gift card code","Could not add gift card code"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"Alphanumeric","Numbrid ja tähed"
"Alphabetical","Alphabetical"
"Numeric","Numeric"
"The maximum generated code length is 255. Please correct your settings.","The maximum generated code length is 255. Please correct your settings."
"Gift Cards","Kinkekaardid"
"test message","test message"
"Generate","Generate"
"Code Pool used: ","Code Pool used: "
" (free "," (free "
" of "," of "
" total)."," total)."
"Are you sure you want to continue without saving your changes?","Are you sure you want to continue without saving your changes?"
"Refund Gift Cards to Store Credit","Refund Gift Cards to Store Credit"
"Add Gift Card","Lisa kinkekaart"
"Remove","Eemalda"
"Gift Card (%1)","Gift Card (%1)"
"This won't take long . . .","This won't take long . . ."
"Enter gift card code","Sisesta kinkekaardi kood"
"Redeem Gift Card","Lunasta kinkekaart"
"Check status and balance","Check status and balance"
"Have a gift card? ","Have a gift card? "
"Click here","Click here"
" to redeem it."," to redeem it."
"Enter the gift card code","Sisesta kinkekaardi kood"
"Check Gift Card status and balance","Check Gift Card status and balance"
"Gift Card: ","Gift Card: "
"Current Balance: ","Current Balance: "
"Expires: ","Expires: "
"Please enter a valid gift card code.","Please enter a valid gift card code."
"Add or remove gift cards","Add or remove gift cards"
"Gift Card amount applied to order:","Gift Card amount applied to order:"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","You've been sent a gift card for use at %store_name and it is now ready to be used for purchases."
"Gift Card Code: %code","Gift Card Code: %code"
"The card has a balance of %balance and can be used at ","The card has a balance of %balance and can be used at "
"%store_name","%store_name"
"Apply Gift Card","Apply Gift Card"
"Gift Card:","Gift Card:"
"Apply","Rakenda"
"See Balance","See Balance"
"Gift Card amount applied to order: ","Gift Card amount applied to order: "
"Email Sent from Gift Card Account Management","Email Sent from Gift Card Account Management"
"Gift Card Email Sender","Gift Card Email Sender"
"Gift Card Template","Kinkekaardi põhi"
"Gift Card Account General Settings","Gift Card Account General Settings"
"Code Length","Koodi pikkus"
"Excluding prefix, suffix and separators.","Ilma ees- ja järeliite ning eraldussümboliteta."
"Code Format","Koodi ülesehitus"
"Code Prefix","Koodi eesliides"
"Code Suffix","Koodi järelliides"
"Dash Every X Characters","Dash Every X Characters"
"if empty no separation","if empty no separation"
"New Pool Size","New Pool Size"
"Low Code Pool Threshold","Low Code Pool Threshold"
"IMPORTANT: Be sure to save your configuration before running generation process.","IMPORTANT: Be sure to save your configuration before running generation process."
"CSV","CSV"
"Excel XML","Exceli XML"
"Are you sure you want to delete these gift card accounts?","Are you sure you want to delete these gift card accounts?"
"Code","Kood"
"End","Lõpp"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Request","Invalid Request"
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Too many attempts, please try again later.","Too many attempts, please try again later."
"Amount can be returned to Store Credit.","Amount can be returned to Store Credit."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>."
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"The gift card couldn't be deleted from the quote.","The gift card couldn't be deleted from the quote."
"Requiring a composite gift card account.","Requiring a composite gift card account."
"The gift card code couldn't be added. Verify your information and try again.","The gift card code couldn't be added. Verify your information and try again."
"The gift card code is either incorrect or expired. Verify and try again.","The gift card code is either incorrect or expired. Verify and try again."
"Gift Card %1 was removed.","Gift Card %1 was removed."
"Gift card not found","Gift card not found"
"Gift card account is not redeemable.","Gift card account is not redeemable."
"Cannot find the customer to update balance","Cannot find the customer to update balance"
