"First-Class Mail Large Envelope","Amplop Kelas Satu Besar"
"Priority Mail Small Flat Rate Box Hold For Pickup","Prioritas Kotak Kecil Datar menilai Tahan Untuk Pickup"
"Priority Mail Flat Rate Envelope Hold For Pickup","Amplop Lebar surat Prioritas Tahan Untuk Pickup"
"Priority Mail Gift Card Flat Rate Envelope","Amplop Kartu Ucapan alamat Prioritas"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Prioritas Kartu ucapan Amplop Lebar Tahan Untuk Pickup"
"Priority Mail Window Flat Rate Envelope","Prioritas Email Window Flat Rate Envelope"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Prioritas Window Flat Rate Envelope Tahan Untuk Pickup"
"Priority Mail Small Flat Rate Envelope","Amplop Alamat Prioritas Rata-rata"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Amplop Alamat Prioritas Kecil Tahan Untuk Pickup"
"Priority Mail Legal Flat Rate Envelope","Amplop Lebar Data Prioritas Alamat"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Surat Utang Lebar Data Prioritas Prioritas Menahan Pickup"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Amplop Isi Prioritas Amplop Prioritas Tahan Untuk Pickup"
"Priority Mail Regional Rate Box A","Kotak Surat Regional Tingkat Prioritas A"
"Priority Mail Regional Rate Box A Hold For Pickup","Priorotas Alamat Regional Nila Kotak C Memegang Pickup"
"Priority Mail Regional Rate Box B","Kotak Surat Regional Tingkat Prioritas B"
"Priority Mail Regional Rate Box B Hold For Pickup","Prioritas Regional Nilai Kotak B Menahan Pickup"
"First-Class Package Service Hold For Pickup","Layanan Paket Kelas Satu Tahan Untuk Pickup"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Alamat Prioritas Pengiriman Cepat Kotak datar Minggu/liburan"
"Priority Mail Regional Rate Box C","Kotak Surat Regional Tingkat Prioritas C"
"Priority Mail Regional Rate Box C Hold For Pickup","Priorotas Alamat Regional Nila Kotak C Memegang Pickup"
"First-Class Package Service","Layanan Paket Kelas Pertama"
"Priority Mail Express Padded Flat Rate Envelope","Amplop Prioritas Pesan Ekspres Resmi Menilai Datar"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Amplop Prioritas Resmi Menilai Datar Tahan Untuk Memilih"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Prioritas Surat Cepat Hari Minggu/Libur Pengiriman Amplop tarif rata-rata"
"Priority Mail Express International","Prioritas Pesan Cepat Internasional"
"Priority Mail International","Prioritas Pesan Internasional"
"Global Express Guaranteed (GXG)","Global Cepat Dokumen Terjamin (GXG)"
"Global Express Guaranteed Document","Global Cepat Dokumen Terjamin"
"Global Express Guaranteed Non-Document Rectangular","Rectangular Ekspres Ekspres Global Express"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Dijamin Non-Dokumen Non-Rectangular"
"Priority Mail International Flat Rate Envelope","Amplop Prioritas Pesan Internasional Rating Rendah"
"Priority Mail International Medium Flat Rate Box","Amplop Prioritas Pesan Internasional Rating Menengah"
"Priority Mail Express International Flat Rate Envelope","Amplop Prioritas Pesan Cepat Internasional Rating Rendah"
"Priority Mail International Large Flat Rate Box","Kotak Besar Prioritas Pesan Internasional Rating Rendah"
"USPS GXG Envelopes","Amplop USPS GXG"
"First-Class Mail International Letter","Surat Internasional Surat Kelas Pertama"
"First-Class Mail International Large Envelope","Amplop Luar Kelas Internasional Kelas Satu"
"First-Class Package International Service","Paket Layanan Internasional Kelas Satu"
"Priority Mail International Small Flat Rate Box","Kotak Kecil Prioritas Pesan Internasional Rating Rendah"
"Priority Mail Express International Legal Flat Rate Envelope","Amplop Prioritas Pesan Cepat Resmi Internasional Tingkat Rendah"
"Priority Mail International Gift Card Flat Rate Envelope","Amplop Priority Mail International Small Flat Rate"
"Priority Mail International Window Flat Rate Envelope","Amplop Priority Mail High Padded Line"
"Priority Mail International Small Flat Rate Envelope","Surat Utang Standar Prioritas Surat Utang Internasional"
"First-Class Mail International Postcard","Kartu Pos Internasional Kelas Satu"
"Priority Mail International Legal Flat Rate Envelope","Surat Utang Standar Prioritas Surat Utang Internasional"
"Priority Mail International Padded Flat Rate Envelope","Surat Utang Standar Prioritas Surat Utang Internasional"
"Priority Mail International DVD Flat Rate priced box","Kotak surat Prioritas DVD Internasional dengan harga diskon"
"Priority Mail International Large Video Flat Rate priced box","Kotak surat prioritas internasional dengan harga rata-rata"
"Priority Mail Express International Padded Flat Rate Envelope","Amplop Prioritas Pesan Cepat Internasional Rating Rendah"
"Letter","Surat"
"Flat","Datar"
"Parcel","Paket"
"Variable","Variabel"
"Small Flat-Rate Box","Kotak datar-bernilai Kecil"
"Medium Flat-Rate Box","Kotak datar-bernilai Kecil"
"Large Flat-Rate Box","Kotak datar-bernilai Besar"
"Flat-Rate Envelope","Amplop rata-rata"
"Small Flat-Rate Envelope","Amplop rata-rata datar"
"Window Flat-Rate Envelope","Rating Amplop Jendela Kecil"
"Gift Card Flat-Rate Envelope","Tingkat Amplop Hadiah Kartu Flat"
"Legal Flat-Rate Envelope","Amplop Resmi Tingkat Flat"
"Padded Flat-Rate Envelope","Amplop Rating Tingkat Empuk"
"Rectangular","Persegi panjang"
"Non-rectangular","Tidak-persegi empat"
"Regular","Reguler"
"Large","Besar"
"Yes","Ya"
"No","Tidak"
"Not Required","Tidak dibutuhkan"
"Required","Wajib"
"For some reason we can't retrieve tracking info right now.","Untuk beberapa alasan kami tidak dapat mengambil info pelacakan sekarang."
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Maaf, ada yang tidak beres. Silakan coba lagi atau hubungi kami dan kami akan mencoba membantu."
"track_summary","jalur_ringkasan"
"Empty response","Respon kosong"
"Service type does not match","Jenis layanan tidak cocok"
"Merchandise","Barang dagangan"
"Sample","Mencicipi"
"Gift","Beri"
"Documents","Dokumen"
"Return","Pengembalian"
"Other","Lain"
"None","Tidak ada"
"Field ","Bidang "
" is required."," dibutuhkan."
"USPS","USPS"
"Enabled for Checkout","Diaktifkan untuk Checkout"
"Gateway URL","URL Gateway"
"Secure Gateway URL","URL pintu masuk Aman"
"Title","Judul"
"User ID","Identitas pengguna"
"Password","Kata sandi"
"Mode","Mode"
"Packages Request Type","Jenis Permintaan Paket"
"Container","Wadah"
"Size","Ukuran"
"Width","Lebar"
"Length","Panjangnya"
"Height","Tinggi"
"Girth","Ketebalan"
"Machinable","Machinable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Berat Paket Maksimum (Silakan berkonsultasi dengan operator pengiriman Anda untuk berat pengiriman maksimum yang didukung)"
"Calculate Handling Fee","Hitung Biaya Penanganan"
"Handling Applied","Penanganan Terapan"
"Handling Fee","Biaya penanganan"
"Allowed Methods","Metode yang Diizinkan"
"Free Method","Metode gratis"
"Enable Free Shipping Threshold","Aktifkan Ambang Batas Pengiriman Gratis"
"Free Shipping Amount Threshold","Ambang Batas Pengiriman Gratis"
"Displayed Error Message","Muncul pesan galat"
"Ship to Applicable Countries","Kirimkan ke Negara yang Berlaku"
"Ship to Specific Countries","Kirimkan ke Negara-negara Tertentu"
"Debug","Debugging"
"Show Method if Not Applicable","Tampilkan Metode jika Tidak Berlaku"
"Sort Order","Pengurutan"
"First-Class Mail Parcel","First-Class Mail Parcel"
"Flat-Rate Box","Flat-Rate Box"
"Standard Post","Standard Post"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes Hold For Pickup"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxes"
