"First-Class Mail Large Envelope","First-Class Mail（普通邮件）大信封"
"Mode","模式"
"Packages Request Type","包请求类型"
"Container","货箱"
"Size","尺寸"
"Width","宽"
"Length","长度"
"Height","宽度"
"Girth","长度"
"Machinable","可加工"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大包装重量（请参阅您的航运承运人最大支持重量） "
"Calculate Handling Fee","显示不适用的方法"
"Handling Applied","处理的应用"
"Handling Fee","处理费"
"Allowed Methods","允许的方法"
"Free Method","免费的方法"
"Enable Free Shipping Threshold","启用免费送货阈值"
"Free Shipping Amount Threshold","免运费金额门槛"
"Displayed Error Message","显示的错误消息"
"Ship to Applicable Countries","船舶适用的国家"
"Ship to Specific Countries","运到特定国家"
"Debug","调试"
"Show Method if Not Applicable","Show 方法不适用"
"Sort Order","排序"
"First-Class Mail Parcel","First-Class Mail Parcel"
"Flat-Rate Box","Flat-Rate Box"
"Standard Post","Standard Post"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes Hold For Pickup"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxes"
