"First-Class Mail Large Envelope","Amplop Kelas Satu Besar"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Prioritas Surat Medium Tarif Datar Kotak Tahan Untuk Pickup"
"Priority Mail Small Flat Rate Box Hold For Pickup","Prioritas Kotak Kecil Tarif Datar Tahan Untuk Pickup"
"Priority Mail Flat Rate Envelope Hold For Pickup","Amplop Lebar Surat Prioritas Tahan Untuk Pickup"
"Priority Mail Gift Card Flat Rate Envelope","Amplop Datar Surat Prioritas Kartu Hadiah"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Amplop Lebar Prioritas Surat Kartu Hadiah Tahan Untuk Pickup"
"Priority Mail Window Flat Rate Envelope","Amplop Datar Prioritas Surat Jendela"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Amplop Datar Prioritas Jendela Tahan Untuk Pickup"
"Priority Mail Small Flat Rate Envelope","Amplop Datar Prioritas Surat Kecil"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Amplop Datar Prioritas Surat Kecil Tahan Untuk Pickup"
"Priority Mail Legal Flat Rate Envelope","Amplop Datar Prioritas Surat Legal"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Amplop Datar Prioritas Surat Legal Tahan Untuk Pickup"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Amplop Datar Prioritas Surat Empuk Tahan Untuk Pickup"
"Priority Mail Regional Rate Box A","Kotak Prioritas Surat Regional Tingkat A"
"Priority Mail Regional Rate Box A Hold For Pickup","Kotak Prioritas Surat Regional Tingkat A Tahan Untuk Pickup"
"Priority Mail Regional Rate Box B","Kotak Prioritas Surat Regional Tingkat B"
"Priority Mail Regional Rate Box B Hold For Pickup","Kotak Prioritas Surat Regional Tingkat B Tahan Untuk Pickup"
"First-Class Package Service Hold For Pickup","Layanan Paket Kelas Satu Tahan Untuk Pickup"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Kotak Datar Prioritas Surat Cepat Minggu/Libur"
"Priority Mail Regional Rate Box C","Kotak Prioritas Surat Regional Tingkat C"
"Priority Mail Regional Rate Box C Hold For Pickup","Kotak Prioritas Surat Regional Tingkat C Tahan Untuk Pickup"
"First-Class Package Service","Layanan Paket Kelas Pertama"
"Priority Mail Express Padded Flat Rate Envelope","Amplop Datar Prioritas Surat Cepat Empuk"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Amplop Datar Prioritas Surat Cepat Empuk Tahan Untuk Pickup"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Amplop Datar Prioritas Surat Cepat Empuk Minggu/Libur Pengiriman"
"Priority Mail Express International","Prioritas Pesan Cepat Internasional"
"Priority Mail International","Prioritas Surat Internasional"
"Global Express Guaranteed (GXG)","Terjamin Global Cepat (GXG)"
"Global Express Guaranteed Document","Dokumen Global Cepat Terjamin"
"Global Express Guaranteed Non-Document Rectangular","Global Cepat Terjamin Bukan Dokumen Segi Empat"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Cepat Dijamin Bukan Dokumen Yang Persegi Panjang"
"Priority Mail International Flat Rate Envelope","Amplop Datar Prioritas Surat Internasional"
"Priority Mail International Medium Flat Rate Box","Kotak Datar Sedang Prioritas Surat Internasional"
"Priority Mail Express International Flat Rate Envelope","Amplop Datar Prioritas Surat Cepat Internasional"
"Priority Mail International Large Flat Rate Box","Kotak Datar Besar Prioritas Surat Internasional"
"USPS GXG Envelopes","Amplop USPS GXG"
"First-Class Mail International Letter","Surat Kelas Pertama Surat Internsional"
"First-Class Mail International Large Envelope","Amplop Besar Kelas Pertama Surat Internasional"
"First-Class Package International Service","Paket Layanan Kelas Pertama Internasional"
"Priority Mail International Small Flat Rate Box","Kotak Datar Kecil Prioritas Surat Internasional"
"Priority Mail Express International Legal Flat Rate Envelope","Amplop Datar Resmi Prioritas Surat Cepat Internasional"
"Priority Mail International Gift Card Flat Rate Envelope","Amplop Datar Kartu Hadiah Prioritas Surat Internasional"
"Priority Mail International Window Flat Rate Envelope","Amplop Datar Jendela Prioritas Surat Internasional"
"Priority Mail International Small Flat Rate Envelope","Amplop Datar Kecil Prioritas Surat Internasional"
"First-Class Mail International Postcard","Kartu Pos Kelas Pertama Surat Internsional"
"Priority Mail International Legal Flat Rate Envelope","Amplop Datar Resmi Prioritas Surat Internasional"
"Priority Mail International Padded Flat Rate Envelope","Amplop Datar Empuk Prioritas Surat Internasional"
"Priority Mail International DVD Flat Rate priced box","Kotak Datar Harga DVD Prioritas Surat Internasional"
"Priority Mail International Large Video Flat Rate priced box","Kotak Datar Besar Harga Vidio Prioritas Surat Internasional"
"Priority Mail Express International Padded Flat Rate Envelope","Amplop Datar Empuk Prioritas Surat Internasional"
"Letter","Surat"
"Flat","Datar"
"Parcel","Paket"
"Variable","Variabel"
"Small Flat-Rate Box","Kotak Datar-Bernilai Kecil"
"Medium Flat-Rate Box","Kotak Datar-Bernilai Sedang"
"Large Flat-Rate Box","Kotar Datar-Bernilai Besar"
"Flat-Rate Envelope","Amplop Datar"
"Small Flat-Rate Envelope","Amplop Datar Kecil"
"Window Flat-Rate Envelope","Amplop Datar Jendela"
"Gift Card Flat-Rate Envelope","Amplop Datar Kartu Hadiah"
"Legal Flat-Rate Envelope","Amplop Datar Resmi"
"Padded Flat-Rate Envelope","Amplop Datar Empuk"
"Rectangular","Persegi Panjang"
"Non-rectangular","Bukan-Persegi Empat"
"Regular","Reguler"
"Large","Besar"
"Yes","Ya"
"No","Tidak"
"Not Required","Tidak Diperlukan"
"Required","Wajib"
"For some reason we can't retrieve tracking info right now.","For some reason we can't retrieve tracking info right now."
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Sorry, something went wrong. Please try again or contact us and we'll try to help."
"track_summary","jalur_ringkasan"
"Empty response","Respon kosong"
"Service type does not match","Jenis layanan tidak cocok"
"Merchandise","Barang Dagangan"
"Sample","Mencicipi"
"Gift","Hadiah"
"Documents","Dokumen"
"Return","Kembali"
"Other","Lain"
"None","Kosong"
"Field ","Bidang "
" is required."," di perlukan."
"USPS","USPS"
"Enabled for Checkout","Diaktifkan untuk Periksa"
"Gateway URL","Pintu Masuk URL"
"Secure Gateway URL","Pintu Masuk URL Aman"
"Title","Judul"
"User ID","ID Pengguna"
"Password","Sandi"
"Mode","Mode"
"Packages Request Type","Jenis Permintaan Paket"
"Container","Wadah"
"Size","Ukuran"
"Width","Lebar"
"Length","Panjang"
"Height","Tinggi"
"Girth","Ketebalan"
"Machinable","Machinable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksimum Berat Paket (Silahkan konsultasikan dengan operator pelayaran untuk maksimum didukung berat pengiriman)"
"Calculate Handling Fee","Menghitung biaya penanganan"
"Handling Applied","Penanganan terapan"
"Handling Fee","Biaya penanganan"
"Allowed Methods","Metode yang diizinkan"
"Free Method","Cara bebas"
"Enable Free Shipping Threshold","Aktifkan ambang batas untuk pengiriman gratis"
"Free Shipping Amount Threshold","Ambang batas pengiriman gratis"
"Displayed Error Message","Tampilkan pesan kesalahan"
"Ship to Applicable Countries","Kirim ke Negara yang Berlaku"
"Ship to Specific Countries","Kirim ke Negara Tertentu"
"Debug","Menulusuri"
"Show Method if Not Applicable","Tampilkan metode jika tidak diberlakukan"
"Sort Order","Urutan"
"First-Class Mail Parcel","First-Class Mail Parcel"
"Flat-Rate Box","Flat-Rate Box"
"Standard Post","Standard Post"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes Hold For Pickup"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxes"
