"First-Class Mail Large Envelope","ファーストクラス郵便 封筒大"
"Legal Flat-Rate Envelope","法定定額封筒"
"Padded Flat-Rate Envelope","パッド付き定額封筒"
"Rectangular","長方形"
"Non-rectangular","非長方形の"
"Regular","普通配達"
"Large","ラージ"
"Yes","Yes"
"No","No"
"Not Required","必須ではない"
"Required","必須"
"For some reason we can't retrieve tracking info right now.","何らかの理由で現在配送情報を取り出すことができません。"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","問題が発生しました。 再度お試しになるか我々に連絡をいただければ解決のお手伝いをします。"
"track_summary","追跡のサマリ"
"Empty response","空の返信"
"Service type does not match","サービスタイプが一致しません"
"Merchandise","物品"
"Sample","サンプル"
"Gift","ギフト"
"Documents","ドキュメント"
"Return","返品"
"Other","その他"
"None","なし"
"Field ","フィールド "
" is required."," は必須です。"
"USPS","USPS"
"Enabled for Checkout","有効"
"Gateway URL","ゲートウェイURL"
"Secure Gateway URL","安全なGateway URL"
"Title","タイトル"
"User ID","ユーザーID"
"Password","パスワード"
"Mode","モード"
"Packages Request Type","パッケージリクエストタイプ"
"Container","梱包"
"Size","サイズ"
"Width","幅"
"Length","長さ"
"Height","高さ"
"Girth","寸法"
"Machinable","マシンナブル"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大積載重量(配送業者にお問い合わせください)"
"Calculate Handling Fee","手数料を計算"
"Handling Applied","手数料適用済み"
"Handling Fee","手数料"
"Allowed Methods","許可する配送方法"
"Free Method","フリーメソッド"
"Enable Free Shipping Threshold","送料無料のしきい値を有効にする"
"Free Shipping Amount Threshold","送料無料額限界値"
"Displayed Error Message","エラーメッセージ表示"
"Ship to Applicable Countries","利用可能な国にのみ配送する"
"Ship to Specific Countries","特定の国にのみ配送する"
"Debug","デバッグ"
"Show Method if Not Applicable","配送方法が利用できない場合でも表示する"
"Sort Order","表示順"
"First-Class Mail Parcel","ファーストクラス郵便 小包"
"Flat-Rate Box","定額小包"
"Standard Post","Standard Post"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express フラットレートボックス"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express フラットレートボックス Hold For Pickup"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express 国際フラットレートボックス"
