"Integrations","Integrações"
"Token is already being used","O token já está a ser usado"
"Cannot get access token because consumer token is not a request token","Não foi possível obter o token de acesso porque o token do consumidor não é um token de pedido"
"Token is not associated with the specified consumer","O token não está associado ao consumidor especificado"
"Token is not an access token","O token não é um token de acesso"
"Access token has been revoked","O token de acesso foi revogado"
"Consumer key is not the correct length","A chave de consumidor não tem o comprimento correto"
"A consumer having the specified key does not exist","Não existe nenhum cliente com a chave especificada"
"Verifier is invalid","O verificador é inválido"
"Verifier is not the correct length","O verificador não tem o comprimento correto"
"Token verifier and verifier token do not match","O verificador de tokens e o token verificador não coincidem"
"A consumer with the ID %1 does not exist","Não existe um consumidor com ID %1"
"Token is not the correct length","Token is not the correct length"
"Specified token does not exist","O token especificado não existe"
"A token with consumer ID %1 does not exist","Não existe um token com ID de consumidor %1"
"Unexpected error. Unable to create oAuth consumer account.","Unexpected error. Unable to create oAuth consumer account."
"Unexpected error. Unable to load oAuth consumer account.","Unexpected error. Unable to load oAuth consumer account."
"Unable to post data to consumer due to an unexpected error","Unable to post data to consumer due to an unexpected error"
"Consumer with ID '%1' does not exist.","Consumer with ID '%1' does not exist."
"Invalid token to except","Token inválido exceto"
"Integration with ID '%1' doesn't exist.","Integration with ID '%1' doesn't exist."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"A token with consumer ID 0 does not exist","Não existe um token com ID de consumidor 0"
"The integration you selected asks you to approve access to the following:","A integração que selecionou pede-lhe para aprovar o acesso a:"
"No permissions requested","Não são precisas permissões"
"Are you sure ?","Are you sure ?"
"Are you sure you want to delete this integration? You can't undo this action.","Tem certeza que deseja eliminar esta integração? Esta ação não pode ser revertida."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Por favor configure ou inicie sessão na sua conta de terceiros para concluir a instalação desta integração."
"Available APIs","APIs Disponíveis"
"Resource Access","Acesso a Recursos"
"Custom","Personalizado"
"All","Todos"
"Resources","Recursos"
"Sorry, something went wrong. Please try again later.","Pedimos desculpa, algo correu mal. Por favor tente novamente mais tarde."
"Popup Blocker is enabled! Please add this site to your exception list.","O Bloqueador de Pop-up está ativo! Por favor adicione este site à sua lista de exceções."
"Allow","Autorizar"
"Done","Concluído"
"System Extensions","System Extensions"
"System Integrations","System Integrations"
"Extensions","Extensões"
"OAuth","OAuth"
"Access Token Expiration","Expiração de Token de acesso"
"Customer Token Lifetime (hours)","Prazo de validade do Token do cliente (horas)"
"Admin Token Lifetime (hours)","Prazo de validade do Token do cliente (horas)"
"Cleanup Settings","Definições de Limpeza"
"Cleanup Probability","Probabilidade de Limpeza"
"Expiration Period","Período de Expiração"
"Consumer Settings","Definições do Consumidor"
"OAuth consumer credentials HTTP Post maxredirects","Maxredirects de pedidos HTTP Post com as credenciais do consumidor OAuth"
"OAuth consumer credentials HTTP Post timeout","Timeout dos pedidos HTTP Post com as credenciais do consumidor OAuth"
"Authentication Locks","Bloqueios de autenticação"
"Maximum Login Failures to Lock Out Account","Número Máximo de Tentativas Falhadas de Login para Bloquear Conta"
"Lockout Time (seconds)","Tempo de Bloqueio (segundos)"
"Integrations Configuration","Configuração de Integrações"
"Integration configuration file","Ficheiro de configuração de integração"
"Integrations API Configuration","Configuração da API das Integrações"
"Integrations API configuration file","Ficheiro de configuração da API das integrações"
"We couldn't find any records.","Não encontrámos nenhum registo."
"Status","Estado"
"Integration configuration file.","Integration configuration file."
"Integrations API configuration file.","Integrations API configuration file."
"No Integrations Found","No Integrations Found"
"Are you sure?","Tem a certeza?"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","An error occurred during the attempt to grant permissions. For details, see the exceptions log."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The integration with name ""%1"" exists.","The integration with name ""%1"" exists."
"The integration with ID ""%1"" doesn't exist.","The integration with ID ""%1"" doesn't exist."
"The token length is invalid. Check the length and try again.","The token length is invalid. Check the length and try again."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be created due to an unexpected error. Please try again later."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","The attempt to post data to consumer failed due to an unexpected error. Please try again later."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","A consumer with ID ""%1"" doesn't exist. Verify the ID and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
