"Integrations","Integrationen"
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Entschuldigung, beim Löschen der Rollen und Berechtigungen ist ein Fehler aufgetreten. Sie können im Ausnahme-Protokoll mehr erfahren."
"%fieldName is a required field.","%fieldName ist ein Pflichtfeld."
"This customer has no tokens.","Dieser Kunde hat keine Token."
"Inactive","Inaktiv"
"Active","Aktiv"
"Reset","Zurücksetzen"
"Integration with name '%1' exists.","Die Integration mit dem Namen '%1' existiert schon."
"Integration with ID '%1' does not exist.","Integration mit der ID '%1' existiert nicht."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Eine oder mehrere <a href=""%1"">Integrationen</a> wurden aufgrund einer Änderung ihrer xml-Konfigurationen zurückgesetzt."
"Invalid Callback URL","Ungültige Callback-URL zurückgewiesen"
"Invalid Rejected Callback URL","Ungültige Callback-URL zurückgewiesen"
"Incorrect timestamp value in the oauth_timestamp parameter","Falscher Zeitstempelwert im oauth_timestamp-Parameter"
"The nonce is already being used by the consumer with ID %1","Der Einmalwert wird bereits durch den Verbraucher mit der ID %1 verwendet"
"An error occurred validating the nonce","Bei der Validierung des Einmalswerts ist ein Fehler aufgetreten."
"Cannot convert to access token due to token is not request type","Kann nicht zu einem Zugangstoken konvertiert werden, da das Token nicht der angeforderte Typ ist"
"Consumer key has expired","Verbraucherschlüssel abgelaufen"
"Cannot create request token because consumer token is not a verifier token","Angefordertes Token kann nicht erstellt werden, weil Verbraucher-Token kein Prüf-Token ist"
"Request token is not associated with the specified consumer","Angefragtes Token ist dem angegeben Verbraucher nicht zugeordnet"
"Token is already being used","Token wird bereits verwendet"
"Cannot get access token because consumer token is not a request token","Kann Zugriffstoken nicht erhalten, weil Verbraucher-Token kein angefordertes Token ist"
"Token is not associated with the specified consumer","Token ist nicht dem angegebenen Verbraucher zugeordnet"
"Token is not an access token","Token ist kein Zugriffstoken"
"Access token has been revoked","Zugriffstoken wurde widerrufen"
"Consumer key is not the correct length","Benutzerschlüssel hat nicht die korrekte Länge"
"A consumer having the specified key does not exist","Ein Verbraucher mit dem angegebenen Schlüssel ist nicht vorhanden"
"Verifier is invalid","Prüfer ist ungültig"
"Verifier is not the correct length","Prüfer hat nicht die richtige Länge"
"Token verifier and verifier token do not match","Token-Prüfer und Prüf-Token stimmen nicht überein"
"A consumer with the ID %1 does not exist","Ein Verbraucher mit der ID %1 existiert nicht"
"Token is not the correct length","Token hat nicht die korrekte Länge"
"Specified token does not exist","Angegebenes Token existiert nicht"
"A token with consumer ID %1 does not exist","Ein Token mit der Benutzer-ID %1 existiert nicht"
"Unexpected error. Unable to create oAuth consumer account.","Unerwarteter Fehler. Nicht in der Lage, OAuth-Verbraucher-Konto zu erstellen."
"Unexpected error. Unable to load oAuth consumer account.","Unerwarteter Fehler. Nicht in der Lage, OAuth-Verbraucher-Konto zu laden."
"Unable to post data to consumer due to an unexpected error","Aufgrund eines unerwarteten Fehlers nicht in der Lage, Daten an Verbraucher zu schreiben"
"Consumer with ID '%1' does not exist.","Der Benutzer mit der ID '%1' existiert nicht."
"Invalid token to except","Ungültiges Token als Ausnahme"
"Integration with ID '%1' doesn't exist.","Integration mit ID '%1' existiert nicht."
"Your account is temporarily disabled.","Ihr Konto wurde vorübergehend gesperrt."
"You have entered an invalid password for current user.","Sie haben ein ungültiges Kennwort für den aktuellen Benutzer eingegeben."
"A token with consumer ID 0 does not exist","Ein Token mit der Benutzer-ID 0 existiert nicht"
"The integration you selected asks you to approve access to the following:","Die ausgewählte Integration fordert Sie auf, den Zugang zu Folgendem zu genehmigen:"
"No permissions requested","Keine Berechtigungen angefordert"
"Are you sure ?","Sind Sie sicher?"
"Are you sure you want to delete this integration? You can't undo this action.","Sind Sie sicher, dass Sie diese Integration löschen wollen? Sie können diese Aktion nicht rückgängig machen."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Bitte melden Sie sich in Ihrem Third-Party-Konto an oder richten es ein, um das Setup dieser Integration abzuschließen."
"Available APIs","Verfügbare APIs"
"Resource Access","Zugriffsrechte"
"Custom","Benutzerdefiniert"
"All","Alle"
"Resources","Ressourcen"
"Sorry, something went wrong. Please try again later.","Entschuldigung, es ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"Popup Blocker is enabled! Please add this site to your exception list.","Ein Popup Blocker ist aktiviert! Bitte fügen sie diese Site der Ausnahmeliste hinzu."
"Allow","Erlauben"
"Done","Fertig"
"System Extensions","Systemerweiterungen"
"System Integrations","Systemintegrationen"
"Extensions","Erweiterungen"
"OAuth","OAuth"
"Access Token Expiration","Zugriffs-Token-Ablaufdatum"
"Customer Token Lifetime (hours)","Kunden-Token Lebenszeit (Stunden)"
"Admin Token Lifetime (hours)","Admin-Token Lebenszeit (Stunden)"
"Cleanup Settings","Cleanup-Einstellungen"
"Cleanup Probability","Cleanup-Wahrscheinlichkeit"
"Expiration Period","Ablaufzeitraum"
"Consumer Settings","Benutzereinstellungen"
"OAuth consumer credentials HTTP Post maxredirects","OAuth-Kundenanmeldedaten HTTP Post-Maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth-Kundenanmeldedaten HTTP Post-Timeout"
"Authentication Locks","Authentifizierungs-Locks"
"Maximum Login Failures to Lock Out Account","Maximale Anmeldefehler zum Sperren des Kontos"
"Lockout Time (seconds)","Sperrzeit (Sekunden)"
"Integrations Configuration","Integrations-Konfiguration"
"Integration configuration file","Integration-Konfigurationsdatei."
"Integrations API Configuration","Integrationen-API-Konfiguration"
"Integrations API configuration file","Integrations-API-Konfigurationsdatei"
"We couldn't find any records.","Wir konnten keine Einträge finden."
"Status","Status"
"Integration configuration file.","Integrationskonfigurationsdatei."
"Integrations API configuration file.","Integrationen-API-Konfigurationsdatei."
"No Integrations Found","Keine Integrationen gefunden"
"Are you sure?","Sind Sie sicher?"
"We will disable this feature if the value is empty.","Diese Funktion wird deaktiviert, wenn der Wert leer ist."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Startet Bereinigung nach X OAuth Anfragen. 0 (nicht empfohlen) - deaktiviert Bereinigung"
"Cleanup entries older than X minutes.","Bereinigung von Einträgen, die älter als X Minuten sind."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Verbraucher Schlüssel/Geheimnis verfallen, wenn sie nicht innerhalb von X Sekunden nach dem Beginn des Oauth-Token-Austauschs verwendet werden."
"Number of maximum redirects for OAuth consumer credentials Post request.","Maximale Anzahl der Umleitungen für OAuth Verbraucher-Anmeldeinformationen Post-Request."
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout für OAuth Verbraucher-Anmeldeinformationen Post-Request innerhalb von X Sekunden."
"Maximum Number of authentication failures to lock out account.","Maximale Anzahl an Authentifizierungsfehlern, um Konto zu sperren."
"Period of time in seconds after which account will be unlocked.","Zeitspanne in Sekunden, nach dem das Konto wieder freigeschaltet wird."
"The integrations created in the config file can't be edited.","Die in der Konfigurationsdatei erstellten Integrationen können nicht bearbeitet werden."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","Ein Verbraucher mit der ID ""%1"" existiert nicht. Überprüfen Sie die ID und versuchen Sie es erneut."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Die Konto-Anmeldung war nicht korrekt oder Ihr Konto ist vorübergehend deaktiviert. Bitte warten Sie und versuchen Sie es später erneut."
"The tokens couldn't be revoked.","Die Token konnten nicht widerrufen werden."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","Beim Versuch, Berechtigungen zu gewähren, ist ein Fehler aufgetreten. Für Details siehe das exceptions Log."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Bitte eingeben und erneut versuchen."
"The integration with name ""%1"" exists.","Die Integration mit dem Namen '%1' existiert schon."
"The integration with ID ""%1"" doesn't exist.","Die Integration mit ID ""%1"" existiert nicht."
"The token length is invalid. Check the length and try again.","Die Token-Länge ist ungültig. Überprüfen Sie die Länge und versuchen Sie es erneut."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","Das oAuth-Consumer-Konto konnte aufgrund eines unerwarteten Fehlers nicht erstellt werden. Bitte versuchen Sie es später erneut."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","Das oAuth-Consumer-Konto konnte aufgrund eines unerwarteten Fehlers nicht geladen werden. Bitte versuchen Sie es später erneut."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","Der Versuch, Daten an den Consumer zu senden, ist wegen eines unerwarteten Fehlers fehlgeschlagen. Bitte versuchen Sie es später erneut."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","Ein Consumer mit der ID ""%1"" existiert nicht. Überprüfen Sie die ID und versuchen Sie es erneut."
"Your account is temporarily disabled. Please try again later.","Ihr Konto ist vorübergehend deaktiviert. Bitte versuchen Sie es später erneut."
"The password entered for the current user is invalid. Verify the password and try again.","Das eingegebene Passwort für den aktuellen Benutzer ist ungültig. Überprüfen Sie das Passwort und versuchen Sie es erneut."
