"Integrations","Intégrations"
"Available APIs","API disponibles"
"Resource Access","Accès aux ressources"
"Custom","Personnalisé"
"All","Tous"
"Resources","Ressources"
"Sorry, something went wrong. Please try again later.","Un problème est survenu. Réessayez plus tard."
"Popup Blocker is enabled! Please add this site to your exception list.","Bloqueur de popup est activé ! Veuillez ajouter ce site à votre liste d’exceptions."
"Allow","Autoriser"
"Done","Fait"
"System Extensions","System Extensions"
"System Integrations","System Integrations"
"Extensions","Extensions"
"OAuth","OAuth"
"Access Token Expiration","Expiration jeton d'accès"
"Customer Token Lifetime (hours)","Durée de vie jeton utilisateur (heures)"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Admin Token Lifetime (hours)","Durée de vie jeton administrateur (heures)"
"Cleanup Settings","Paramètres de nettoyage"
"Cleanup Probability","Probabilité de nettoyage"
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Expiration Period","Période d'expiration"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer Settings","Paramètres d'utilisateur"
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"OAuth consumer credentials HTTP Post maxredirects","maxredirects des informations d’identification HTTP Post d'utilisateur OAuth"
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"OAuth consumer credentials HTTP Post timeout","timeout des informations d’identification HTTP Post d'utilisateur OAuth"
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Authentication Locks","Sécurité d’authentification"
"Maximum Login Failures to Lock Out Account","Nombre maximum de tentatives de connexion avant verrouillage du compte"
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Lockout Time (seconds)","Temps de verrouillage (secondes)"
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"Integrations Configuration","Configuration d’intégrations"
"Integration configuration file","Fichier de configuration de l’intégration"
"Integrations API Configuration","Configuration d’intégrations API"
"Integrations API configuration file","Fichier de configuration d’intégrations API"
"We couldn't find any records.","Nous n'avons trouvé aucun enregistrement."
"Status","Statut"
"Delete","Delete"
