"Integrations","Интеграције"
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Соррy, нешто није у реду грантинг пермиссионс. Yоу цан финд оут море ин тхе еxцептионс лог."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Нешто није у реду wхиле делетинг ролес анд пермиссионс. Yоу цан финд оут море ин тхе еxцептионс лог."
"%fieldName is a required field.","%фиелд назив је обавезно поље."
"This customer has no tokens.","This customer has no tokens."
"Inactive","Неактиван"
"Active","Активан"
"Reset","Ресетовати"
"Integration with name '%1' exists.","Интеграција wитх наме '%1' еxистс."
"Integration with ID '%1' does not exist.","Интеграција wитх ИД '%1' не постоји."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Једна или више <а хреф=""%1"">интеграција</а> је ресетовано због промене у њиховим xмл конфигурацијама."
"Invalid Callback URL","Неисправан Цаллбацк УРЛ"
"Invalid Rejected Callback URL","Неисправан Одбијен Цаллбацк УРЛ"
"Incorrect timestamp value in the oauth_timestamp parameter","Нетачан тиместамп валуе ин тхе оаутх_тиместамп параметер"
"The nonce is already being used by the consumer with ID %1","The nonce is already being used by the consumer with ID %1"
"An error occurred validating the nonce","Дошло је до грешке валидатинг тхе нонце"
"Cannot convert to access token due to token is not request type","Не може цонверт то аццесс токен дуе то токен ис нот реqуест тyпе"
"Consumer key has expired","Consumer key has expired"
"Cannot create request token because consumer token is not a verifier token","Не може цреате реqуест токен бецаусе цонсумер токен ис нот а верифиер токен"
"Request token is not associated with the specified consumer","Захтев токен ис нот ассоциатед wитх тхе специфиед цонсумер"
"Token is already being used","Token is already being used"
"Cannot get access token because consumer token is not a request token","Не може гет аццесс токен бецаусе цонсумер токен ис нот а реqуест токен"
"Token is not associated with the specified consumer","Token is not associated with the specified consumer"
"Token is not an access token","Token is not an access token"
"Access token has been revoked","Аццесс токен је ревокед"
"Consumer key is not the correct length","Consumer key is not the correct length"
"A consumer having the specified key does not exist","А цонсумер хавинг тхе специфиед кеy не постоји"
"Verifier is invalid","Верифиер ис неисправан"
"Verifier is not the correct length","Verifier is not the correct length"
"Token verifier and verifier token do not match","Token verifier and verifier token do not match"
"A consumer with the ID %1 does not exist","А цонсумер wитх тхе ИД %1 не постоји"
"Token is not the correct length","Token is not the correct length"
"Specified token does not exist","Специфиед токен не постоји"
"A token with consumer ID %1 does not exist","А токен wитх цонсумер ИД %1 не постоји"
"Unexpected error. Unable to create oAuth consumer account.","Унеxпецтед еррор. Није могуће цреате оАутх цонсумер аццоунт."
"Unexpected error. Unable to load oAuth consumer account.","Унеxпецтед еррор. Није могуће лоад оАутх цонсумер аццоунт."
"Unable to post data to consumer due to an unexpected error","Није могуће пост дата то цонсумер дуе то ан унеxпецтед еррор"
"Consumer with ID '%1' does not exist.","Цонсумер wитх ИД '%1' не постоји."
"Invalid token to except","Неисправан токен то еxцепт"
"Integration with ID '%1' doesn't exist.","Интеграција wитх ИД '%1' не постоји."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"You have entered an invalid password for current user.","Yоу хаве ентеред ан неисправан пассwорд фор цуррент усер."
"A token with consumer ID 0 does not exist","А токен wитх цонсумер ИД 0 не постоји"
"The integration you selected asks you to approve access to the following:","The integration you selected asks you to approve access to the following:"
"No permissions requested","Нисте тражили дозволе"
"Are you sure ?","Да ли сте сигурни ?"
"Are you sure you want to delete this integration? You can't undo this action.","Да ли сте сигурни желите да делете тхис интегратион? Не можете ундо тхис ацтион."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Please setup or sign in into your 3rd party account to complete setup of this integration."
"Available APIs","Доступни АПИ-ја"
"Resource Access","Приступ ресурсу"
"Custom","Изборно"
"All","Све"
"Resources","Ресурси"
"Sorry, something went wrong. Please try again later.","Извините, дошло је до грешке. Покушајте касније."
"Popup Blocker is enabled! Please add this site to your exception list.","Popup Blocker is enabled! Please add this site to your exception list."
"Allow","Дозволи"
"Done","Готово"
"System Extensions","Екстензије ситема"
"System Integrations","Интеграције Система"
"Extensions","Екстензије"
"OAuth","OAuth"
"Access Token Expiration","Access Token Expiration"
"Customer Token Lifetime (hours)","Купац Токен Лифетиме (хоурс)"
"Admin Token Lifetime (hours)","Admin Token Lifetime (hours)"
"Cleanup Settings","Цлеануп Подешавања"
"Cleanup Probability","Cleanup Probability"
"Expiration Period","Expiration Period"
"Consumer Settings","Цонсумер Подешавања"
"OAuth consumer credentials HTTP Post maxredirects","OAuth consumer credentials HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth consumer credentials HTTP Post timeout"
"Authentication Locks","Authentication Locks"
"Maximum Login Failures to Lock Out Account","Маxимум Пријава Фаилурес то Закључај Оут Налог"
"Lockout Time (seconds)","Лоцкоут Време (сецондс)"
"Integrations Configuration","Интеграције Конфигурација"
"Integration configuration file","Интеграција цонфигуратион филе"
"Integrations API Configuration","Интеграција АПИ конфигурације"
"Integrations API configuration file","Интеграције АПИ цонфигуратион филе"
"We couldn't find any records.","Нисмо пронашли ни један запис."
"Status","Статус"
"Integration configuration file.","Интеграција цонфигуратион филе."
"Integrations API configuration file.","Интеграција АПИ датотеку за конфигурацију."
"No Integrations Found","Не Интеграције Фоунд"
"Are you sure?","Да ли сте сигурни?"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","Потрошач са ""%1"" ИД не постоји. Проверите ИД и покушајте поново."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Улоговали сте се са погрешном шифром или је Ваш налог привремено онемогућен. Молимо сачекајте и покушајте поново касније."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","Дошло је до грешке дуринг тхе аттемпт то грант пермиссионс. Фор детаилс, сее тхе еxцептионс лог."
"""%fieldName"" is required. Enter and try again.","""%имеПоља"" је обавезно. Унесите и пробајте поново."
"The integration with name ""%1"" exists.","Интеграција са називом ""%1"" постоји."
"The integration with ID ""%1"" doesn't exist.","Интеграција са ИД ""%1"" не постоји."
"The token length is invalid. Check the length and try again.","Тхе токен ленгтх ис неисправан. Цхецк тхе ленгтх анд покушајте поново."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","Тхе оАутх цонсумер аццоунт цоулдн'т бе цреатед дуе то ан унеxпецтед еррор. Покушајте поново латер."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","Тхе оАутх цонсумер аццоунт цоулдн'т бе лоадед дуе то ан унеxпецтед еррор. Покушајте поново латер."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","Тхе аттемпт то пост дата то цонсумер фаилед дуе то ан унеxпецтед еррор. Покушајте поново латер."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","Потрошач са ИД ""%1"" не постоји. Проверите ИД и покушајте поново."
"Your account is temporarily disabled. Please try again later.","Yоур аццоунт ис темпорарилy дисаблед. Покушајте поново латер."
"The password entered for the current user is invalid. Verify the password and try again.","Тхе пассwорд ентеред фор тхе цуррент усер ис неисправан. Верифy тхе пассwорд анд покушајте поново."
