"Integrations","Integrações"
"Token is already being used","Token já está sendo usado"
"Cannot get access token because consumer token is not a request token","Não foi possível obter o token de acesso porque o token do consumidor não é um token de pedido"
"Token is not associated with the specified consumer","O token não está associado ao consumidor especificado"
"Token is not an access token","O token não é um token de acesso"
"Access token has been revoked","O token de acesso foi revogado"
"Consumer key is not the correct length","A chave de consumidor não tem o comprimento correto"
"A consumer having the specified key does not exist","Não existe nenhum cliente com a chave especificada"
"Verifier is invalid","O verificador é inválido"
"Verifier is not the correct length","O verificador não tem o comprimento correto"
"Token verifier and verifier token do not match","O verificador de tokens e o token verificador não coincidem"
"A consumer with the ID %1 does not exist","Não existe um consumidor com ID %1"
"Token is not the correct length","Token is not the correct length"
"Specified token does not exist","O token especificado não existe"
"A token with consumer ID %1 does not exist","Não existe um token com ID de consumidor %1"
"Unexpected error. Unable to create oAuth consumer account.","Unexpected error. Unable to create oAuth consumer account."
"Unexpected error. Unable to load oAuth consumer account.","Unexpected error. Unable to load oAuth consumer account."
"Unable to post data to consumer due to an unexpected error","Unable to post data to consumer due to an unexpected error"
"Consumer with ID '%1' does not exist.","Consumer with ID '%1' does not exist."
"Invalid token to except","Token inválido, exceto"
"Integration with ID '%1' doesn't exist.","Integration with ID '%1' doesn't exist."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"A token with consumer ID 0 does not exist","Não existe um token com ID de consumidor 0"
"The integration you selected asks you to approve access to the following:","A integração que selecionou pede-lhe para aprovar o acesso a:"
"No permissions requested","Nenhuma Solicitação de permissão"
"Are you sure ?","Are you sure ?"
"Are you sure you want to delete this integration? You can't undo this action.","Você tem certeza que deseja excluir esta integração? Esta ação não pode ser desfeita."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Por favor, configure ou entrar em sua conta ""3rd party"" para concluir a instalação desta integração."
"Available APIs","APIs disponíveis"
"Resource Access","Acesso a Recursos"
"Custom","Personalizado"
"All","Todos"
"Resources","Recursos"
"Sorry, something went wrong. Please try again later.","Desculpe, alguma coisa deu errado. Por favor tente novamente mais tarde."
"Popup Blocker is enabled! Please add this site to your exception list.","O Bloqueador de Pop-up está ativo! Por favor adicione este site à sua lista de exceções."
"Allow","Permitir"
"Done","Concluído"
"System Extensions","Extensões de arquivo"
"System Integrations","System Integrations"
"Extensions","Extensões"
"OAuth","OAuth"
"Access Token Expiration","Expiração do Token de Acesso"
"Customer Token Lifetime (hours)","Tempo de Vida do Token do Cliente (horas)"
"Admin Token Lifetime (hours)","Tempo de Vida do Token do Admin (horas)"
"Cleanup Settings","Configurações de limpeza"
"Cleanup Probability","Probabilidade de limpeza"
"Expiration Period","Período de validade"
"Consumer Settings","Definições do Consumidor"
"OAuth consumer credentials HTTP Post maxredirects","Maxredirects de pedidos HTTP Post com as credenciais do consumidor OAuth"
"OAuth consumer credentials HTTP Post timeout","Timeout dos pedidos HTTP Post com as credenciais do consumidor OAuth"
"Authentication Locks","Travas de Autenticação"
"Maximum Login Failures to Lock Out Account","Máximo de Falhas de Login em Conta Bloqueada"
"Lockout Time (seconds)","Tempo de Bloqueio (segundos)"
"Integrations Configuration","Configuração de Integrações"
"Integration configuration file","Arquivo de configuração de integração"
"Integrations API Configuration","Configuração de integração de API"
"Integrations API configuration file","Arquivo de configuração da API de integrações"
"We couldn't find any records.","Não encontramos nenhum registro."
"Status","Situação"
"Integration configuration file.","Integration configuration file."
"Integrations API configuration file.","Integrations API configuration file."
"No Integrations Found","No Integrations Found"
"Are you sure?","Você tem certeza?"
"We will disable this feature if the value is empty.","Iremos desabilitar este recurso se o valor estiver vazio."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"The integrations created in the config file can't be edited.","As integrações criadas no arquivo de configuração não podem ser editadas."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","O usuário ""%1"" não existe. Verifique o ID e tente novamente."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","O ‘login’ da conta estava incorreto ou sua conta está desativada temporariamente. Por favor, aguarde e tente novamente mais tarde."
"The tokens couldn't be revoked.","Os tokens não podem ser revogados."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","Ocorreu um erro durante a tentativa de conceder permissões. Para obter detalhes, consulte o log de exceções."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" é obrigatório. Digite e tente novamente."
"The integration with name ""%1"" exists.","A integração com o nome ""%1"" existe."
"The integration with ID ""%1"" doesn't exist.","A integração com ID ""%1"" não existe."
"The token length is invalid. Check the length and try again.","O tamanho de token é inválido. Verifique o tamanho e tente novamente."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","Não foi possível criar a conta o Auth devido a um erro inesperado. Por favor, tente novamente mais tarde."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","Não foi possível carregar a conta o Auth devido a um erro inesperado. Por favor, tente novamente mais tarde."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","Falha na tentativa de enviar dados ao consumidor devido a um erro inesperado. Por favor, tente novamente mais tarde."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","O usuário ""%1"" não existe. Verifique o ID e tente novamente."
"Your account is temporarily disabled. Please try again later.","Sua conta está temporariamente desativada. Por favor, tente novamente mais tarde."
"The password entered for the current user is invalid. Verify the password and try again.","A senha digitada para o usuário atual é inválida. Verifique a senha e tente novamente."
