"Integrations","Ενσωματώσεις"
"Maximum Login Failures to Lock Out Account","Μέγιστες αποτυχίες σύνδεσης για Κλείδωμα Λογαριασμού"
"Lockout Time (seconds)","Χρόνος Κλειδώματος (δευτερόλεπτα)"
"Integrations Configuration","Ρύθμισης Παραμέτρων Ενσωμάτωσης"
"Integration configuration file","Aρχείο ρύθμισης παραμέτρων ενσωμάτωσης"
"Integrations API Configuration","Ρύθμισης Παραμέτρων API Ενσωμάτωσης"
"Integrations API configuration file","Aρχείο ρύθμισης παραμέτρων API ενσωμάτωσης"
"We couldn't find any records.","Δεν βρέθηκαν εγγραφές."
"Status","Κατάσταση"
"Integration configuration file.","Aρχείο ρύθμισης παραμέτρων ενσωμάτωσης."
"Integrations API configuration file.","Aρχείο ρύθμισης παραμέτρων API ενσωμάτωσης."
"No Integrations Found","Καμία ενσωμάτωση δεν βρέθηκε"
"Are you sure?","Είστε σίγουροι;"
"We will disable this feature if the value is empty.","Θα απενεργοποιήσουμε αυτήν τη δυνατότητα, εάν η τιμή είναι κενή."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Ακέραιος αριθμός. Έναρξη εκκαθάρισης αιτήσεων στο X OAuth. 0 (δεν συνιστάται) - για να απενεργοποιήσετε την εκκαθάριση"
"Cleanup entries older than X minutes.","Καταχωρήσεις Εκκαθάρισης μεγαλύτερες από X λεπτά."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Το κλειδί/μυστικό καταναλωτή θα λήξει εάν δεν χρησιμοποιηθούν μέσα σε X δευτερόλεπτα μετά από ανταλλαγή διακριτικού Oauth ξεκινήσει."
"Number of maximum redirects for OAuth consumer credentials Post request.","Αριθμός μέγιστων ανακατευθύνσεων για OAuth αίτηση Post διαπιστευτηρίων καταναλωτή."
"Timeout for OAuth consumer credentials Post request within X seconds.","Χρονικό όριο για OAuth διαπιστευτηρίων καταναλωτή αίτησης Post σε X δευτερόλεπτα."
"Maximum Number of authentication failures to lock out account.","Μέγιστος Αριθμός αποτυχιών ελέγχου ταυτότητας για αποκλεισμό λογαριασμού."
"Period of time in seconds after which account will be unlocked.","Περίοδος χρόνου σε δευτερόλεπτα, μετά την οποία ο λογαριασμός θα ξεκλειδωθεί."
"The integrations created in the config file can't be edited.","Δεν είναι δυνατή η επεξεργασία των ενσωματώσεων που δημιουργήθηκαν στο αρχείο ρυθμίσεων."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","Δεν υπάρχει καταναλωτής με ID ""%1"". Επαληθεύστε το αναγνωριστικό και δοκιμάστε ξανά."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Η σύνδεση στο λογαριασμό ήταν λανθασμένη ή ο λογαριασμός σας απενεργοποιήθηκε προσωρινά. Περιμένετε και δοκιμάστε ξανά αργότερα."
"The tokens couldn't be revoked.","Τα διακριτικά δεν μπορούν να ανακληθούν."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","Παρουσιάστηκε σφάλμα κατά την προσπάθεια χορήγησης αδειών. Για λεπτομέρειες, ανατρέξτε στο αρχείο καταγραφής εξαιρέσεων."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" είναι απαραίτητο. Εισάγετε και προσπαθήστε ξανά."
"The integration with name ""%1"" exists.","Η ενσωμάτωση με όνομα '%1' υπάρχει."
"The integration with ID ""%1"" doesn't exist.","Η ενσωμάτωση με ID ""%1"" δεν υπάρχει."
"The token length is invalid. Check the length and try again.","Το μήκος του διακριτικού δεν είναι έγκυρο. Ελέγξτε το μήκος και προσπαθήστε ξανά."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","Ο λογαριασμός χρήστη oAuth δεν ήταν δυνατό να δημιουργηθεί λόγω μη αναμενόμενου σφάλματος. Παρακαλώ δοκιμάστε ξανά αργότερα."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","Ο λογαριασμός χρήστη oAuth δεν ήταν δυνατό να φορτωθεί λόγω μη αναμενόμενου σφάλματος. Παρακαλώ δοκιμάστε ξανά αργότερα."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","Η προσπάθεια δημοσίευσης δεδομένων στον καταναλωτή απέτυχε λόγω μη αναμενόμενου σφάλματος. Παρακαλώ δοκιμάστε ξανά αργότερα."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","Δεν υπάρχει καταναλωτής με ID ""%1"". Επαληθεύστε το ID και δοκιμάστε ξανά."
"Your account is temporarily disabled. Please try again later.","Ο λογαριασμός σας απενεργοποιήθηκε προσωρινά. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"The password entered for the current user is invalid. Verify the password and try again.","Ο κωδικός που εισάγατε για τον τρέχοντα χρήστη δεν είναι έγκυρος. Επαληθεύστε τον κωδικό πρόσβασης και δοκιμάστε ξανά."
