"Integrations","Integrazioni"
"Are you sure you want to delete this integration? You can't undo this action.","Sei sicuro di che voler eliminare questa integrazione? Non è possibile annullare questa azione."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Installa o accedi al tuo account di terze parti per completare l'installazione di questa integrazione."
"Available APIs","API disponibili"
"Resource Access","Accesso alle risorse"
"Custom","Personalizzato"
"All","Tutti"
"Resources","Risorse"
"Sorry, something went wrong. Please try again later.","Siamo spiacenti, qualcosa è andato storto. Si prega di riprovare più tardi."
"Popup Blocker is enabled! Please add this site to your exception list.","Il blocco popup è attivato! Si prega di aggiungere questo sito all'elenco delle eccezioni."
"Allow","Permetti"
"Done","Fine"
"System Extensions","System Extensions"
"System Integrations","System Integrations"
"Extensions","Estensioni"
"OAuth","OAuth"
"Access Token Expiration","Scadenza Token Accesso"
"Customer Token Lifetime (hours)","Durata del Token cliente (ore)"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Admin Token Lifetime (hours)","Durata del Token Admin (ore)"
"Cleanup Settings","Pulizia Impostazioni"
"Cleanup Probability","Probabilità pulizia"
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Expiration Period","Periodo di scadenza"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer Settings","Impostazioni dei consumatori"
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"OAuth consumer credentials HTTP Post maxredirects","OAuth consumer credentials HTTP Post maxredirects"
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"OAuth consumer credentials HTTP Post timeout","Timeout HTTP Post credenziali OAuth consumer"
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Authentication Locks","Autenticazione Sicura"
"Maximum Login Failures to Lock Out Account","Numero massimo di accessi non riusciti per il blocco dell'account"
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Lockout Time (seconds)","Tempo di blocco (secondi)"
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"Integrations Configuration","Configurazione integrazioni"
"Integration configuration file","File di configurazione integrazione"
"Integrations API Configuration","Configurazione API integrazioni"
"Integrations API configuration file","File di configurazione API integrazioni"
"We couldn't find any records.","Non abbiamo trovato alcun record."
"Status","Stato"
"Delete","Delete"
