"Integrations","Integracje"
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Proszę ustawić lub Zaloguj na konto zewnętrznej usługi aby zakończyć instalację tej integracji."
"Available APIs","Dostępne API"
"Resource Access","Dostęp do zasobów"
"Custom","Niestandardowe"
"All","Wszystko"
"Resources","Zasoby"
"Sorry, something went wrong. Please try again later.","Przepraszamy coś poszło nie tak. Prosimy spróbować ponownie później."
"Popup Blocker is enabled! Please add this site to your exception list.","Blokada wyskakujących okienek jest włączona! Dodaj tę witrynę do listy wyjątków."
"Allow","Zezwól"
"Done","Gotowe"
"System Extensions","Rozszerzenia systemowe"
"System Integrations","Integracje systemów"
"Extensions","Rozszerzenia"
"OAuth","OAuth"
"Access Token Expiration","Wygaśnięcie tokena dostępu"
"Customer Token Lifetime (hours)","Żywotność tokena klienta (godziny)"
"Admin Token Lifetime (hours)","Okres ważności tokenu administratora (godziny)"
"Cleanup Settings","Ustawienia czyszczenia"
"Cleanup Probability","Prawdopodobieństwo czyszczenia"
"Expiration Period","Okres ważności"
"Consumer Settings","Ustawienia konsumentów"
"OAuth consumer credentials HTTP Post maxredirects","OAuth konsumentów poświadczenia HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth konsumentów poświadczenia HTTP Post timeout"
"Authentication Locks","Blokady uwierzytelniające"
"Maximum Login Failures to Lock Out Account","Maksymalna liczba niepowodzeń logowania do zablokowania konta"
"Lockout Time (seconds)","Czas blokady (sekundy)"
"Integrations Configuration","Konfiguracja integracji"
"Integration configuration file","Plik konfiguracyjny integracji"
"Integrations API Configuration","Konfiguracja API integracji"
"Integrations API configuration file","Plik konfiguracyjny integracji API"
"We couldn't find any records.","Nie mogliśmy znaleźć żadnych rekordów."
"Status","Stan"
"Integration configuration file.","Plik konfiguracyjny integracji."
"Integrations API configuration file.","Plik konfiguracyjny interfejsu API integracji."
"No Integrations Found","Nie znaleziono żadnych integracji"
"Are you sure?","Czy na pewno tego chcesz?"
"We will disable this feature if the value is empty.","Wyłączymy tę funkcję, jeśli wartość będzie pusta."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Uruchom czyszczenie w żądaniach X OAuth. 0 (niezalecane) - aby wyłączyć czyszczenie"
"Cleanup entries older than X minutes.","Wyczyść wpisy starsze niż X minut."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Klucz/sekret konsumenta wygaśnie, jeśli nie zostanie użyty w ciągu X sekund od rozpoczęcia wymiany tokena Oauth."
"Number of maximum redirects for OAuth consumer credentials Post request.","Liczba maksymalnych przekierowań dla poświadczeń konsumenta OAuth po żądaniu."
"Timeout for OAuth consumer credentials Post request within X seconds.","Limit czasu dla poświadczeń konsumenta OAuth Żądanie wysłania w ciągu X sekund."
"Maximum Number of authentication failures to lock out account.","Maksymalna liczba niepowodzeń uwierzytelniania do zablokowania konta."
"Period of time in seconds after which account will be unlocked.","Okres czasu w sekundach, po którym konto zostanie odblokowane."
"The integrations created in the config file can't be edited.","Integracje utworzone w pliku konfiguracyjnym nie mogą być edytowane."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","Klient o identyfikatorze ""%1"" nie istnieje. Zweryfikuj ID i spróbuj ponownie."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Logowanie do konta było nieprawidłowe lub konto jest tymczasowo wyłączone. Poczekaj i spróbuj ponownie później."
"The tokens couldn't be revoked.","Tokenów nie można było cofnąć."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","Wystąpił błąd podczas próby przyznania uprawnień. Szczegółowe informacje można znaleźć w dzienniku wyjątków."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" jest wymagane. Wprowadź i spróbuj ponownie."
"The integration with name ""%1"" exists.","Integracja o nazwie ""%1"" istnieje."
"The integration with ID ""%1"" doesn't exist.","Integracja z ID ""%1"" nie istnieje."
"The token length is invalid. Check the length and try again.","Długość tokena jest nieprawidłowa. Sprawdź długość i spróbuj ponownie."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","Nie można utworzyć konta klienta oAuth z powodu nieoczekiwanego błędu. Spróbuj ponownie później."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","Nie można załadować konta klienta oAuth z powodu nieoczekiwanego błędu. Spróbuj ponownie później."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","Próba wysłania danych do konsumenta nie powiodła się z powodu nieoczekiwanego błędu. Spróbuj ponownie później."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","Konsument o identyfikatorze ""%1"" nie istnieje. Zweryfikuj ID i spróbuj ponownie."
"Your account is temporarily disabled. Please try again later.","Twoje konto jest tymczasowo wyłączone. Spróbuj ponownie później."
"The password entered for the current user is invalid. Verify the password and try again.","Hasło wprowadzone dla bieżącego użytkownika jest nieprawidłowe. Zweryfikuj hasło i spróbuj ponownie."
