"Integrations","Integrationen"
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Entschuldigung, beim Löschen der Rollen und Berechtigungen ist ein Fehler aufgetreten. Sie können im Ausnahme-Protokoll mehr erfahren."
"%fieldName is a required field.","%fieldName ist ein Pflichtfeld."
"This customer has no tokens.","Dieser Kunde hat keine Token."
"Inactive","Inaktiv"
"Active","Aktiv"
"Reset","Zurücksetzen"
"Integration with name '%1' exists.","Die Integration mit dem Namen '%1' existiert schon."
"Integration with ID '%1' does not exist.","Integration mit der ID '%1' existiert nicht."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Eine oder mehrere <a href=""%1"">Integrationen</a> wurden aufgrund einer Änderung ihrer xml-Konfigurationen zurückgesetzt."
"Invalid Callback URL","Ungültige Callback-URL zurückgewiesen"
"Invalid Rejected Callback URL","Ungültige Callback-URL zurückgewiesen"
"Incorrect timestamp value in the oauth_timestamp parameter","Falscher Zeitstempelwert im oauth_timestamp-Parameter"
"The nonce is already being used by the consumer with ID %1","Der Einmalwert wird bereits durch den Verbraucher mit der ID %1 verwendet"
"An error occurred validating the nonce","Bei der Validierung des Einmalswerts ist ein Fehler aufgetreten."
"Cannot convert to access token due to token is not request type","Kann nicht zu einem Zugangstoken konvertiert werden, da das Token nicht der angeforderte Typ ist"
"Consumer key has expired","Verbraucherschlüssel abgelaufen"
"Cannot create request token because consumer token is not a verifier token","Angefordertes Token kann nicht erstellt werden, weil Verbraucher-Token kein Prüf-Token ist"
"Request token is not associated with the specified consumer","Angefragtes Token ist dem angegeben Verbraucher nicht zugeordnet"
"Token is already being used","Token wird bereits verwendet"
"Cannot get access token because consumer token is not a request token","Kann Zugriffstoken nicht erhalten, weil Verbraucher-Token kein angefordertes Token ist"
"Token is not associated with the specified consumer","Token ist nicht dem angegebenen Verbraucher zugeordnet"
"Token is not an access token","Token ist kein Zugriffstoken"
"Access token has been revoked","Zugriffstoken wurde widerrufen"
"Consumer key is not the correct length","Benutzerschlüssel hat nicht die korrekte Länge"
"A consumer having the specified key does not exist","Ein Verbraucher mit dem angegebenen Schlüssel ist nicht vorhanden"
"Verifier is invalid","Prüfer ist ungültig"
"Verifier is not the correct length","Prüfer hat nicht die richtige Länge"
"Token verifier and verifier token do not match","Token-Prüfer und Prüf-Token stimmen nicht überein"
"A consumer with the ID %1 does not exist","Ein Verbraucher mit der ID %1 existiert nicht"
"Token is not the correct length","Token hat nicht die korrekte Länge"
"Specified token does not exist","Angegebenes Token existiert nicht"
"A token with consumer ID %1 does not exist","Ein Token mit der Benutzer-ID %1 existiert nicht"
"Unexpected error. Unable to create oAuth consumer account.","Unerwarteter Fehler. Nicht in der Lage, OAuth-Verbraucher-Konto zu erstellen."
"Unexpected error. Unable to load oAuth consumer account.","Unerwarteter Fehler. Nicht in der Lage, OAuth-Verbraucher-Konto zu laden."
"Unable to post data to consumer due to an unexpected error","Aufgrund eines unerwarteten Fehlers nicht in der Lage, Daten an Verbraucher zu schreiben"
"Consumer with ID '%1' does not exist.","Der Benutzer mit der ID '%1' existiert nicht."
"Invalid token to except","Ungültiges Token als Ausnahme"
"Integration with ID '%1' doesn't exist.","Integration mit ID '%1' existiert nicht."
"Your account is temporarily disabled.","Ihr Konto wurde vorübergehend gesperrt."
"You have entered an invalid password for current user.","Sie haben ein ungültiges Kennwort für den aktuellen Benutzer eingegeben."
"A token with consumer ID 0 does not exist","Ein Token mit der Benutzer-ID 0 existiert nicht"
"The integration you selected asks you to approve access to the following:","Die ausgewählte Integration fordert Sie auf, den Zugang zu Folgendem zu genehmigen:"
"No permissions requested","Keine Berechtigungen angefordert"
"Are you sure?","Sind Sie sicher?"
"Are you sure you want to delete this integration? You can't undo this action.","Sind Sie sicher, dass Sie diese Integration löschen wollen? Sie können diese Aktion nicht rückgängig machen."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Bitte melden Sie sich in Ihrem Third-Party-Konto an oder richten es ein, um das Setup dieser Integration abzuschließen."
"Available APIs","Verfügbare APIs"
"Resource Access","Zugriffsrechte"
"Custom","Benutzerdefiniert"
"All","Alle"
"Resources","Ressourcen"
"Sorry, something went wrong. Please try again later.","Entschuldigung, es ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"Popup Blocker is enabled! Please add this site to your exception list.","Ein Popup Blocker ist aktiviert! Bitte fügen sie diese Site der Ausnahmeliste hinzu."
"Allow","Erlauben"
"Done","Fertig"
"Extensions","Erweiterungen"
"OAuth","OAuth"
"Access Token Expiration","Zugriffs-Token-Ablaufdatum"
"Customer Token Lifetime (hours)","Kunden-Token Lebenszeit (Stunden)"
"Admin Token Lifetime (hours)","Admin-Token Lebenszeit (Stunden)"
"Cleanup Settings","Cleanup-Einstellungen"
"Cleanup Probability","Cleanup-Wahrscheinlichkeit"
"Expiration Period","Ablaufzeitraum"
"Consumer Settings","Benutzereinstellungen"
"OAuth consumer credentials HTTP Post maxredirects","OAuth-Kundenanmeldedaten HTTP Post-Maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth-Kundenanmeldedaten HTTP Post-Timeout"
"Authentication Locks","Authentifizierungs-Locks"
"Maximum Login Failures to Lock Out Account","Maximale Anmeldefehler zum Sperren des Kontos"
"Lockout Time (seconds)","Sperrzeit (Sekunden)"
"Integrations Configuration","Integrations-Konfiguration"
"Integration configuration file","Integration-Konfigurationsdatei."
"Integrations API Configuration","Integrationen-API-Konfiguration"
"Integrations API configuration file","Integrations-API-Konfigurationsdatei"
"We couldn't find any records.","Wir konnten keine Einträge finden."
"Status","Status"
