"Integrations","ඒකාබද්ධ කිරීම්"
"Cannot convert to access token due to token is not request type","ටෝකනය ඉල්ලීම් වර්ගය නොවන නිසා ප්‍රවේශ ටෝකනයට පරිවර්තනය කළ නොහැක"
"Consumer key has expired","පාරිභෝගික යතුර කල් ඉකුත් වී ඇත"
"Cannot create request token because consumer token is not a verifier token","පාරිභෝගික ටෝකනය සත්‍යාපන ටෝකනයක් නොවන නිසා ඉල්ලීම් ටෝකනය සෑදිය නොහැක"
"Request token is not associated with the specified consumer","ඉල්ලීම් ටෝකනය නිශ්චිත පාරිභෝගිකයා සමඟ සම්බන්ධ නොවේ"
"Token is already being used","ටෝකනය දැනටමත් භාවිතා වේ"
"Cannot get access token because consumer token is not a request token","පාරිභෝගික ටෝකනය ඉල්ලීම් ටෝකනයක් නොවන නිසා ප්‍රවේශ ටෝකනය ලබා ගත නොහැක"
"Token is not associated with the specified consumer","ටෝකනය නිශ්චිත පාරිභෝගිකයා සමඟ සම්බන්ධ නොවේ"
"Token is not an access token","ටෝකනය ප්‍රවේශ ටෝකනයක් නොවේ"
"Access token has been revoked","ප්‍රවේශ ටෝකනය අවලංගු කර ඇත"
"Consumer key is not the correct length","පාරිභෝගික යතුර නිවැරදි දිග නොවේ"
"A consumer having the specified key does not exist","නිශ්චිත යතුර ඇති පාරිභෝගිකයෙකු නොපවතියි"
"Verifier is invalid","සත්‍යාපනය වලංගු නොවේ"
"Verifier is not the correct length","Verifier යනු නිවැරදි දිග නොවේ"
"Token verifier and verifier token do not match","ටෝකන් verifier සහ verifier ටෝකනය නොගැලපේ"
"A consumer with the ID %1 does not exist","ID %1 සහිත පාරිභෝගිකයෙකු නොපවතී"
"Token is not the correct length","Token is not the correct length"
"Specified token does not exist","නිශ්චිත ටෝකනය නොපවතී"
"A token with consumer ID %1 does not exist","පාරිභෝගික හැඳුනුම්පත %1 සහිත ටෝකනයක් නොපවතී"
"Unexpected error. Unable to create oAuth consumer account.","Unexpected error. Unable to create oAuth consumer account."
"Unexpected error. Unable to load oAuth consumer account.","Unexpected error. Unable to load oAuth consumer account."
"Unable to post data to consumer due to an unexpected error","Unable to post data to consumer due to an unexpected error"
"Consumer with ID '%1' does not exist.","Consumer with ID '%1' does not exist."
"Invalid token to except","හැර සඳහා වලංගු නොවන ටෝකනය"
"Integration with ID '%1' doesn't exist.","Integration with ID '%1' doesn't exist."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"A token with consumer ID 0 does not exist","පාරිභෝගික හැඳුනුම්පත 0 සහිත ටෝකනයක් නොපවතී"
"The integration you selected asks you to approve access to the following:","ඔබ තෝරාගත් අනුකලනය පහත සඳහන් දේ වෙත ප්‍රවේශය අනුමත කිරීමට ඔබෙන් අසයි:"
"No permissions requested","අවසර ඉල්ලා නැත"
"Are you sure ?","Are you sure ?"
"Are you sure you want to delete this integration? You can't undo this action.","ඔබට මෙම ඒකාබද්ධ කිරීම මැකීමට අවශ්‍ය බව විශ්වාසද? ඔබට මෙම ක්‍රියාව පසුගමනය කළ නොහැක."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","මෙම ඒකාබද්ධ කිරීම සම්පූර්ණ කිරීම සඳහා කරුණාකර ඔබගේ තුන්වන පාර්ශ්ව ගිණුමට සකසන්න හෝ පුරනය වන්න."
"Available APIs","පවතින API"
"Resource Access","සම්පත් ප්රවේශය"
"Custom","අභිරුචි"
"All","සියලුම"
"Resources","සම්පත්"
"Sorry, something went wrong. Please try again later.","සමාවෙන්න, කිසියම් වරදක් සිදු වී ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Popup Blocker is enabled! Please add this site to your exception list.","Popup Blocker සබලයි! කරුණාකර මෙම අඩවිය ඔබගේ ව්‍යතිරේක ලැයිස්තුවට එක් කරන්න."
"Allow","ඉඩ දෙන්න"
"Done","කළා"
"System Extensions","පද්ධති දිගු"
"System Integrations","පද්ධති ඒකාබද්ධ කිරීම්"
"Extensions","දිගු"
"OAuth","OAuth"
"Access Token Expiration","ප්‍රවේශ ටෝකන් කල් ඉකුත්වීම"
"Customer Token Lifetime (hours)","පාරිභෝගික ටෝකන් ජීවිත කාලය (පැය)"
"Admin Token Lifetime (hours)","පරිපාලක ටෝකන් ජීවිත කාලය (පැය)"
"Cleanup Settings","පිරිසිදු කිරීමේ සැකසුම්"
"Cleanup Probability","පිරිසිදු කිරීමේ සම්භාවිතාව"
"Expiration Period","කල් ඉකුත් වීමේ කාලය"
"Consumer Settings","පාරිභෝගික සැකසුම්"
"OAuth consumer credentials HTTP Post maxredirects","OAuth පාරිභෝගික අක්තපත්‍ර HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth පාරිභෝගික අක්තපත්‍ර HTTP පෝස්ට් කල් ඉකුත්වීම"
"Authentication Locks","සත්යාපන අගුලු"
"Maximum Login Failures to Lock Out Account","ගිණුම අගුළු දැමීම සඳහා උපරිම ලොගින් අසාර්ථක වීම"
"Lockout Time (seconds)","අගුලු දැමීමේ කාලය (තත්පර)"
"Integrations Configuration","ඒකාබද්ධතා වින්‍යාසය"
"Integration configuration file","ඒකාබද්ධ කිරීමේ වින්‍යාස ගොනුව"
"Integrations API Configuration","Integrations API වින්‍යාසය"
"Integrations API configuration file","Integrations API වින්‍යාස ගොනුව"
"We couldn't find any records.","අපට කිසිදු වාර්තාවක් සොයාගත නොහැකි විය."
"Status","තත්ත්වය"
"Integration configuration file.","Integration configuration file."
"Integrations API configuration file.","Integrations API configuration file."
"No Integrations Found","No Integrations Found"
"Are you sure?","ඔබට විශ්වාසද?"
"We will disable this feature if the value is empty.","අගය හිස් නම් අපි මෙම විශේෂාංගය අක්‍රිය කරන්නෙමු."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","පූර්ණ සංඛ්යාව. X OAuth ඉල්ලීම් තුළ පිරිසිදු කිරීම දියත් කරන්න. 0 (නිර්දේශිත නොවේ) - පිරිසිදු කිරීම අබල කිරීමට"
"Cleanup entries older than X minutes.","මිනිත්තු X ට වඩා පැරණි පිරිසිදු කිරීම් ඇතුළත් කිරීම්."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Oauth ටෝකන් හුවමාරුව ආරම්භ වී තත්පර X ඇතුළත භාවිතා නොකළහොත් පාරිභෝගික යතුර/රහස කල් ඉකුත් වේ."
"Number of maximum redirects for OAuth consumer credentials Post request.","OAuth පාරිභෝගික අක්තපත්‍ර පශ්චාත් ඉල්ලීම සඳහා උපරිම යළි-යොමුවීම් ගණන."
"Timeout for OAuth consumer credentials Post request within X seconds.","OAuth පාරිභෝගික අක්තපත්‍ර සඳහා කල් ඉකුත්වීම තත්පර X ඇතුළත ඉල්ලීම පළ කරන්න."
"Maximum Number of authentication failures to lock out account.","ගිණුම අගුලු දැමීමේ උපරිම සත්‍යාපන අසාර්ථක සංඛ්‍යාව."
"Period of time in seconds after which account will be unlocked.","ගිණුම අගුලු හරිනු ලබන තත්පර කිහිපයක කාලසීමාව."
"The integrations created in the config file can't be edited.","වින්‍යාස ගොනුවේ සාදන ලද අනුකලනය සංස්කරණය කළ නොහැක."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","""%1"" හැඳුනුම්පත සහිත පාරිභෝගිකයෙකු නොපවතී. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","ගිණුමට පුරනය වීම වැරදි හෝ ඔබගේ ගිණුම තාවකාලිකව අබල කර ඇත. කරුණාකර රැඳී සිට පසුව නැවත උත්සාහ කරන්න."
"The tokens couldn't be revoked.","ටෝකන අවලංගු කළ නොහැකි විය."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","අවසර ලබා දීමට උත්සාහ කිරීමේදී දෝෂයක් සිදු විය. විස්තර සඳහා, ව්‍යතිරේක ලොගය බලන්න."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" අවශ්‍යයි. ඇතුල් කර නැවත උත්සාහ කරන්න."
"The integration with name ""%1"" exists.","""%1"" නම සමඟ ඒකාබද්ධ කිරීම පවතී."
"The integration with ID ""%1"" doesn't exist.","ID ""%1"" සමඟ ඒකාබද්ධ කිරීම නොපවතී."
"The token length is invalid. Check the length and try again.","ටෝකන දිග වලංගු නොවේ. දිග පරීක්ෂා කර නැවත උත්සාහ කරන්න."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","අනපේක්ෂිත දෝෂයක් හේතුවෙන් oAuth පාරිභෝගික ගිණුම සෑදිය නොහැක. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","අනපේක්ෂිත දෝෂයක් හේතුවෙන් oAuth පාරිභෝගික ගිණුම පූරණය කළ නොහැකි විය. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","අනපේක්ෂිත දෝෂයක් හේතුවෙන් පාරිභෝගිකයා වෙත දත්ත පළ කිරීමට ගත් උත්සාහය අසාර්ථක විය. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","""%1"" හැඳුනුම්පත සහිත පාරිභෝගිකයෙකු නොපවතී. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"Your account is temporarily disabled. Please try again later.","ඔබගේ ගිණුම තාවකාලිකව අබල කර ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The password entered for the current user is invalid. Verify the password and try again.","වත්මන් පරිශීලකයා සඳහා ඇතුළත් කළ මුරපදය වලංගු නොවේ. මුරපදය තහවුරු කර නැවත උත්සාහ කරන්න."
