"Integrations","Entegrasyonlar"
"Are you sure you want to delete this integration? You can't undo this action.","Bu entegrasyonu silmek istediğinizden emin misiniz? Bu işlemi geri alamazsın."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Lütfen kurulum veya bu entegrasyon Kurulumu tamamlamak için 3 parti hesabınıza oturum açın."
"Available APIs","Kullanılabilir API'ler"
"Resource Access","Kaynak Erişimi"
"Custom","Özel"
"All","Tümü"
"Resources","Kaynaklar"
"Sorry, something went wrong. Please try again later.","Üzgünüz, bir şeyler ters gitti. Lütfen daha sonra tekrar deneyiniz."
"Popup Blocker is enabled! Please add this site to your exception list.","Açılır Pencere Engelleyicisi etkinleştirildi! Lütfen bu siteyi istisna listenize ekleyin."
"Allow","İzin Ver"
"Done","Yapıldı"
"System Extensions","System Extensions"
"System Integrations","System Integrations"
"Extensions","Eklentiler."
"OAuth","OAuth"
"Access Token Expiration","Erişim Kodu Süre Bitimi"
"Customer Token Lifetime (hours)","Müşteri Kodu Ömrü (saat)"
"Admin Token Lifetime (hours)","Yönetici Kodu Ömrü (saat)"
"Cleanup Settings","Temizlik Ayarlar"
"Cleanup Probability","Temizlik Olasılığı"
"Expiration Period","Bitiş"
"Consumer Settings","Tüketici Ayarları"
"OAuth consumer credentials HTTP Post maxredirects","OAuth tüketici kimlik bilgileri HTTP Post maksimum yönlendirmeleri"
"OAuth consumer credentials HTTP Post timeout","OAuth tüketici kimlik bilgileri HTTP Post zaman aşımı"
"Authentication Locks","Yetkilendirme kilitleri"
"Maximum Login Failures to Lock Out Account","Hesabı Kapatmak için Maksimum Oturum Açma Hataları"
"Lockout Time (seconds)","Kilitleme Süresi (saniye)"
"Integrations Configuration","Entegrasyonların Yapılandırması"
"Integration configuration file","Entegrasyon yapılandırma dosyası"
"Integrations API Configuration","Entegrasyonların API Yapılandırması"
"Integrations API configuration file","Entegrasyonların API yapılandırma dosyası"
"We couldn't find any records.","Biz herhangi bir kayıt bulamadık."
"Status","Durum"
"Integration configuration file.","Integration configuration file."
"Integrations API configuration file.","Integrations API configuration file."
"No Integrations Found","No Integrations Found"
"Are you sure?","Emin misiniz?"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","An error occurred during the attempt to grant permissions. For details, see the exceptions log."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The integration with name ""%1"" exists.","The integration with name ""%1"" exists."
"The integration with ID ""%1"" doesn't exist.","The integration with ID ""%1"" doesn't exist."
"The token length is invalid. Check the length and try again.","The token length is invalid. Check the length and try again."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be created due to an unexpected error. Please try again later."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","The attempt to post data to consumer failed due to an unexpected error. Please try again later."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","A consumer with ID ""%1"" doesn't exist. Verify the ID and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
