"Integrations","Интеграции"
"Unexpected error. Unable to create oAuth consumer account.","Неочаквана грешка. Не може да създаден oAuth профил."
"Unexpected error. Unable to load oAuth consumer account.","Неочаквана грешка. Не може да зареди oAuth акаунт."
"Unable to post data to consumer due to an unexpected error","Не може да публикувате данни за потребителите поради неочаквана грешка"
"Consumer with ID '%1' does not exist.","Потребител с ИД '%1' не съществува."
"Invalid token to except","Невалиден токен с изключение"
"Integration with ID '%1' doesn't exist.","Интеграция с ИД '%1' не съществува."
"Your account is temporarily disabled.","Вашият профил е временно забранен."
"You have entered an invalid password for current user.","Въвели сте невалидна парола за текущия потребител."
"A token with consumer ID 0 does not exist","Токен с потребителски Идентификатор 0 не съществува"
"The integration you selected asks you to approve access to the following:","Интеграцията избрана от вас иска да одобри достъп до следното:"
"No permissions requested","Няма поискани резрешения"
"Are you sure ?","Сигурни ли сте?"
"Are you sure you want to delete this integration? You can't undo this action.","Наистина ли искате да изтриете тази интеграция? Не можете да отмените това действие."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Задайте настройки или Влезте в профила си в 3-та страна да завършите инсталирането на тази интеграция."
"Available APIs","Налични APIs"
"Resource Access","Достъп до ресурси"
"Custom","По избор"
"All","Всички"
"Resources","Средства"
"Sorry, something went wrong. Please try again later.","Опс, нещо не е наред, моля опитайте отново по-късно."
"Popup Blocker is enabled! Please add this site to your exception list.","Блокирането на Изскачащи прозорци е включено! Моля, добавете този сайт към списъка с изключения."
"Allow","Разреши"
"Done","Готово"
"System Extensions","Системни Разширения"
"System Integrations","Интеграции в системата"
"Extensions","Разширения"
"OAuth","OAuth"
"Access Token Expiration","Срок за Токен за достъп"
"Customer Token Lifetime (hours)","Време за живот на Клиентски токен (часове)"
"Admin Token Lifetime (hours)","Време за живот на Админ. токен (часове)"
"Cleanup Settings","Настройки за почистване"
"Cleanup Probability","Вероятност за почистване"
"Expiration Period","Период на валидност"
"Consumer Settings","Потребителски настройки"
"OAuth consumer credentials HTTP Post maxredirects","OAuth потребителските идентификационни данни HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth потребителските идентификационни данни HTTP Post timeout"
"Authentication Locks","Заключени Удостоверявания"
"Maximum Login Failures to Lock Out Account","Максимален брой пропадания за да се заключи профила"
"Lockout Time (seconds)","Време за заключване (секунди)"
"Integrations Configuration","Конфигурации за интеграции"
"Integration configuration file","Конфигурационен файл за интеграция"
"Integrations API Configuration","API конфигурация за интеграции"
"Integrations API configuration file","Конфигурационен файл за API интеграции"
"We couldn't find any records.","Не открихме никакви записи."
"Status","Статус"
"Integration configuration file.","Конфигурационен файл за интеграция."
"Integrations API configuration file.","Интеграции API конфигурационен файл."
"No Integrations Found","Няма намерени интеграции"
"Are you sure?","Сигурни ли сте?"
"We will disable this feature if the value is empty.","Ние ще забраним тази функция, ако стойността е празна."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Цяло число. Стартиране на почистване в X OAuth заявки. 0 (не се препоръчва) - да забраните почистване"
"Cleanup entries older than X minutes.","Почистване на вътрешности стар отколкото X минути."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Потребителски ключ/тайна ще изтече, ако не се използва в рамките на X секунди след Oauth символичен бюро започва."
"Number of maximum redirects for OAuth consumer credentials Post request.","Брой максимални пренасочвания за OAuth потребителски идентификационни данни, Post заявка."
"Timeout for OAuth consumer credentials Post request within X seconds.","Изчакване за OAuth потребителски идентификационни данни, Post заявка в Х секунди."
"Maximum Number of authentication failures to lock out account.","Максимален брой пропаднали опити за вход за заключване на профила."
"Period of time in seconds after which account will be unlocked.","Период от време в секунди, след което профилът ще бъде отключен."
"The integrations created in the config file can't be edited.","Интеграциите създадени в конфиг. файл не могат да бъдат променяни."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","Не съществува клиент с ID ""%1"". Проверете ID и опитайте пак."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Входните данни за акаунта са неправилни или профилът е блокиран временно. Изчакайте и опитайте отново по-късно."
"The tokens couldn't be revoked.","Токените не могат да бъдат отменени."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","Възникна грешка повреме на опита за задавена на права. За детайли, разгледайте журнала на изключенията."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" е задължително. Въведете и опитайте пак."
"The integration with name ""%1"" exists.","Интеграция с име ""%1"" съществува."
"The integration with ID ""%1"" doesn't exist.","Интеграция с ID ""%1"" не съществува."
"The token length is invalid. Check the length and try again.","Дължината на токена е невалидна. Проверете дължината и опитайте пак."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","Клиентският профил в oAuth не може да се създаде поради неочаквана грешка. Опитайте по-късно пак."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","Клиентският профил в oAuth не може да се зареди поради неочаквана грешка. Опитайте по-късно пак."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","Опитът за изпращане на данни към клиента пропадна поради неочаквана грешка. След малко опитайте пак."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","Не съществува клиент с ID ""%1"". Проверете ID и опитайте пак."
"Your account is temporarily disabled. Please try again later.","Профилът ви е временно е деактивиран. Моля, опитайте отново по-късно."
"The password entered for the current user is invalid. Verify the password and try again.","Паролата въведена за текущия потребител е невалидна. Проверете паролата и опитайте пак."
