"Integrations","Intégrations"
"Done","Fait"
"System Extensions","Extensions système"
"System Integrations","Intégrations système"
"Extensions","Extensions"
"OAuth","OAuth"
"Access Token Expiration","Expiration jeton d'accès"
"Customer Token Lifetime (hours)","Durée de vie jeton utilisateur (heures)"
"Admin Token Lifetime (hours)","Durée de vie jeton administrateur (heures)"
"Cleanup Settings","Paramètres de nettoyage"
"Cleanup Probability","Probabilité de nettoyage"
"Expiration Period","Période d'expiration"
"Consumer Settings","Paramètres d'utilisateur"
"OAuth consumer credentials HTTP Post maxredirects","maxredirects des informations d’identification HTTP Post d'utilisateur OAuth"
"OAuth consumer credentials HTTP Post timeout","timeout des informations d’identification HTTP Post d'utilisateur OAuth"
"Authentication Locks","Sécurité d’authentification"
"Maximum Login Failures to Lock Out Account","Nombre maximum de tentatives de connexion avant verrouillage du compte"
"Lockout Time (seconds)","Temps de verrouillage (secondes)"
"Integrations Configuration","Configuration d’intégrations"
"Integration configuration file","Fichier de configuration de l’intégration"
"Integrations API Configuration","Configuration d’intégrations API"
"Integrations API configuration file","Fichier de configuration d’intégrations API"
"We couldn't find any records.","Nous n'avons trouvé aucun enregistrement."
"Status","Statut"
"Integration configuration file.","Integration configuration file."
"Integrations API configuration file.","Integrations API configuration file."
"No Integrations Found","No Integrations Found"
"Are you sure?","Êtes-vous sûr(e) ?"
"We will disable this feature if the value is empty.","Nous désactiverons cette fonctionnalité si la valeur est vide."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Entier. Lancez le nettoyage dans X demandes OAuth. 0 (non recommandé) - pour désactiver le nettoyage"
"Cleanup entries older than X minutes.","Nettoyer les entrées de plus de X minutes."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","La clé client/secret expirera si elle n'est pas utilisée dans les X secondes après le début de l'échange de jetons Oauth."
"Number of maximum redirects for OAuth consumer credentials Post request.","Nombre maximum de redirections pour la demande d'autorisation de poste de l'utilisateur OAuth."
"Timeout for OAuth consumer credentials Post request within X seconds.","Délai d'attente pour la demande de Poste des identifiants utilisateur OAuth dans les X secondes."
"Maximum Number of authentication failures to lock out account.","Nombre maximum d'échecs d'authentification pour verrouiller le compte."
"Period of time in seconds after which account will be unlocked.","Période de temps en secondes après laquelle le compte sera déverrouillé."
"The integrations created in the config file can't be edited.","Les intégrations créées dans le fichier de configuration ne peuvent être modifiées."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","Aucun utilisateur avec l'ID ""%1"" n'existe. Vérifiez l'ID et réessayez."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","La connexion au compte est incorrecte ou votre compte est temporairement désactivé. Veuillez patienter et réessayer plus tard."
"The tokens couldn't be revoked.","Les tokens n'ont pas pu être révoqués."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","Une erreur s'est produite lors de la tentative d'accord de permissions. Pour plus de détails, voir le journal des exceptions."
"""%fieldName"" is required. Enter and try again.","«%fieldName» est requis. Entrez et réessayez."
"The integration with name ""%1"" exists.","L'intégration avec le nom ""%1"" existe."
"The integration with ID ""%1"" doesn't exist.","L'intégration avec l'ID ""%1"" n'existe pas."
"The token length is invalid. Check the length and try again.","La longueur du token est invalide. Vérifiez la longueur et réessayez."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","Le compte client oAuth n'a pas pu être créé en raison d'une erreur inattendue. Veuillez réessayer plus tard."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","Le compte client oAuth n'a pas pu être chargé en raison d'une erreur inattendue. Veuillez réessayer plus tard."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","La tentative d'envoi de données au consommateur a échoué en raison d'une erreur inattendue. Veuillez réessayer plus tard."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","Un utilisateur avec l'ID ""%1"" n'existe pas. Vérifiez l'ID et réessayez."
"Your account is temporarily disabled. Please try again later.","Votre compte est temporairement désactivé. Veuillez réessayer plus tard."
"The password entered for the current user is invalid. Verify the password and try again.","Le mot de passe saisi pour l'utilisateur actuel n'est pas valide. Vérifiez le mot de passe et réessayez."
