"Integrations","インテグレーション"
"Integration '%1' has been sent for activation.","インテグレーション '%1' アクティベーションに送られました"
"A consumer with ID %1 does not exist","ID %1の顧客は存在しません"
"title","タイトル"
"You did not sign in correctly or your account is temporarily disabled.","正しくサインインしなかったかあなたのアカウントは一時的に無効です"
"This user has no tokens.","このユーザーにトークンはありません"
"The tokens could not be revoked.","トークンは破棄することができませんでした"
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","申し訳ありません、許可を受諾中に問題が発生しました。例外ログにて詳細を確認できます。"
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","ロールと権限を削除中に問題が発生しました。例外ログにて詳細が確認できます。"
"%fieldName is a required field.","%fieldNameは必須フィールドです。"
"This customer has no tokens.","この顧客にはトークンがありません"
"Inactive","未アクティブ"
"Active","アクティブ"
"Reset","リセット"
"Integration with name '%1' exists.","'%1'という名のインテグレーションが存在します ""Integration with ID '%1' does not exist."""
"Integration with ID '%1' does not exist.","ID'%1'のインテグレーションは存在しません。"
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","1つまたは複数の<a href=""%1"">統合</a>が、xml構成の変更によりリセットされました。"
"Invalid Callback URL","不正なコールバックURL"
"Invalid Rejected Callback URL","不正な除外されたコールバックURL"
"Incorrect timestamp value in the oauth_timestamp parameter","oauth_timestampパラメーターに誤ったタイムスタンプの値"
"The nonce is already being used by the consumer with ID %1","ID%1の顧客にnonceは既に使われています"
"An error occurred validating the nonce","nonce認証中にエラーが発生しました"
"Cannot convert to access token due to token is not request type","トークンのリクエストタイプではないのでアクセストークンは変換できません。"
"Consumer key has expired","コンシューマーキーは期限が切れました"
"Cannot create request token because consumer token is not a verifier token","コンシューマートークンは認証トークンではないため要求トークンを作成できません"
"Request token is not associated with the specified consumer","要求トークンは指定された顧客と関連付けされていません"
"Token is already being used","トークンはすでに使われている"
"Cannot get access token because consumer token is not a request token","顧客トークンはリクエストトークンではないのでトークンにアクセスできません"
"Token is not associated with the specified consumer","トークンは特定の顧客と関連がありません"
"Token is not an access token","トークンはアクセストークンではありません"
"Access token has been revoked","アクセストークンは破棄されました"
"Consumer key is not the correct length","顧客キーは正しい長さではありません"
"A consumer having the specified key does not exist","指定されたキーを持つ顧客は存在しません"
"Verifier is invalid","認証が無効です"
"Verifier is not the correct length","認証が正しい長さではありません"
"Token verifier and verifier token do not match","トークン認証と認証トークンがマッチしません"
"A consumer with the ID %1 does not exist","ID %1の顧客は存在しません"
"Token is not the correct length","トークンは正しい長さではありません"
"Specified token does not exist","指定のトークンは存在しません"
"A token with consumer ID %1 does not exist","顧客ID %1 のトークンは存在しません"
"Unexpected error. Unable to create oAuth consumer account.","不明なエラー。oAuth顧客アカウントを作製できません"
"Unexpected error. Unable to load oAuth consumer account.","不明なエラー。oAuth顧客アカウントをロードできません"
"Unable to post data to consumer due to an unexpected error","不明なエラーのためデータを顧客にPOSTできません"
"Consumer with ID '%1' does not exist.","ID '%1'の顧客は存在しません"
"Invalid token to except","予期された不正なトークン"
"Integration with ID '%1' doesn't exist.","ID '%1'のインテグレーションは存在しません"
"Your account is temporarily disabled.","あなたのアカウントは一時的に無効になっています。"
"You have entered an invalid password for current user.","現在のユーザーに無効なパスワードが入力されました。"
"A token with consumer ID 0 does not exist","顧客ID 0のトークンは存在しません"
"The integration you selected asks you to approve access to the following:","選んだインテグレーションは以下のものにアクセスを求めています:"
"No permissions requested","許可がリクエストされていません"
"Are you sure ?","本当によろしいですか？"
"Are you sure you want to delete this integration? You can't undo this action.","本当にこのインテグレーションを削除しますか？この操作はやり直しができません"
"Please setup or sign in into your 3rd party account to complete setup of this integration.","このインテグレーションのセットアップを完了するためにサードパーティのアカウントを設定するかサインインしてください"
"Available APIs","有効な APIs"
"Resource Access","リソースアクセス"
"Custom","カスタム"
"All","全て"
"Resources","リソース"
"Sorry, something went wrong. Please try again later.","申し訳ありません、問題が発生しました。後で再度お試しください。"
"Popup Blocker is enabled! Please add this site to your exception list.","ポップアップブロッカーが有効になっています！ このサイトを例外リストに追加してください。"
"Allow","許可"
"Done","完了"
"System Extensions","システムのエクステンション"
"System Integrations","システムの統合"
"Extensions","エクステンション"
"OAuth","OAuth"
"Access Token Expiration","アクセストークンの有効期限"
"Customer Token Lifetime (hours)","顧客のトークンの有効期限 (時間)"
"Admin Token Lifetime (hours)","管理者トークンの有効期限 (時間)"
"Cleanup Settings","クリーンアップ設定"
"Cleanup Probability","クリーンアップ頻度"
"Expiration Period","有効期限"
"Consumer Settings","顧客設定"
"OAuth consumer credentials HTTP Post maxredirects","OAuth顧客証明HTTP Post最大リダイレクト"
"OAuth consumer credentials HTTP Post timeout","OAuth顧客証明HTTP Postタイムアウト"
"Authentication Locks","認証ロック"
"Maximum Login Failures to Lock Out Account","アカウントロックをするログイン失敗回数"
"Lockout Time (seconds)","ロックアウト時間 (秒)"
"Integrations Configuration","外部連携設定"
"Integration configuration file","統合構成ファイル"
"Integrations API Configuration","外部API連携設定"
"Integrations API configuration file","インテグレーションAPI設定ファイル"
"We couldn't find any records.","レコードが見つかりませんでした"
"Status","ステータス"
"Integration configuration file.","連携設定ファイル。"
"Integrations API configuration file.","API連携設定ファイル。"
"No Integrations Found","連携サービスなし"
"Are you sure?","よろしいですか？"
"We will disable this feature if the value is empty.","もし値が空ならばこの機能を無効にします。"
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Cleanup entries older than X minutes.","X 分より古いエントリをクリーンアップ。"
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","コンシューマー キー/シークレット は Oauthトークンの交換が開始されてから X秒以内に使用されない場合、失効します。"
"Number of maximum redirects for OAuth consumer credentials Post request.","OAuth コンシューマー認証情報のリクエストに対する最大リダイレクト回数。"
"Timeout for OAuth consumer credentials Post request within X seconds.","OAuth コンシューマー認証情報のリクエストに対する X秒以内のタイムアウト。"
"Maximum Number of authentication failures to lock out account.","アカウントをロックするまでの認証失敗最大回数"
"Period of time in seconds after which account will be unlocked.","指定秒数が経過すると、アカウントのロックは解除されます。"
"The integrations created in the config file can't be edited.","設定ファイルで作成された統合は編集できません。"
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","ID ""%1"" の顧客が見つかりません。IDを確認して再度お試し下さい。"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","ログイン情報が正しくないか、あなたのアカウントは一時的に無効になっています。しばらく待ってやり直してください。"
"The tokens couldn't be revoked.","トークンは破棄することができませんでした。"
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","許可を受諾中にエラーが発生しました。詳細については、例外ログを参照して下さい。"
"""%fieldName"" is required. Enter and try again.","""%fieldName"" は必須です。入力して再度お試し下さい。"
"The integration with name ""%1"" exists.","""%1""という名のインテグレーションが存在します。"
"The integration with ID ""%1"" doesn't exist.","ID ""%1"" のインテグレーションは存在しません。"
"The token length is invalid. Check the length and try again.","トークンの長さが無効です。長さを確認して再度お試し下さい。"
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","OAuth顧客アカウントが不明なエラーのため作成できませんでした。後で再度お試し下さい。"
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","OAuth顧客アカウントが不明なエラーのため読み込めませんでした。後で再度お試し下さい。"
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","不明なエラーのため、顧客へのデータ送信中に失敗しました。 後で再度お試しください。"
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","ID ""%1"" の顧客が見つかりません。IDを確認して再度お試し下さい。"
"Your account is temporarily disabled. Please try again later.","あなたのアカウントは一時的にご利用できません。後で再度お試し下さい。"
"The password entered for the current user is invalid. Verify the password and try again.","現在のユーザに対して入力されたパスワードは無効です。パスワードを確認して再度お試し下さい。"
