"Back","Indietro"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Attenzione! \r\nQuesta azione rimuoverà questi utenti dalle regole assegnate\r\nSei sicuro?"
"Password Reset Confirmation for %name","Conferma il ripristino della password per %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","C'è stata recentemente una richiesta per modificare la password per il tuo account."
"If you requested this change, reset your password here:","Se hai richiesto questa modifica, reimposta la password qui:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Se non hai fatto questa richiesta, è possibile ignorare questa email e la tua password rimarrà immutata."
"Thank you,","Grazie,"
"New %changes for %user_name","Nuovo %changes per %user_name"
"Hello,","Ciao,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Abbiamo ricevuto una richiesta per modificare le informazioni seguenti associate al tuo account presso %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","Se non hai autorizzato questa azione, contattaci immediatamente al %store_email"
"or call us at %store_phone","o chiamaci al %store_phone"
"Thanks,","Grazie,"
"All Users","Tutti gli utenti"
"User Roles","Ruoli utente"
"User Notification Template","Template notifica utente"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Il template email scelto basato su fallback del tema quando è selezionata l'opzione ""Predefinito""."
"Maximum Login Failures to Lockout Account","Numero massimo di accessi non riusciti per il blocco dell'account"
"We will disable this feature if the value is empty.","Verrà disattivata questa funzione se il valore è vuoto."
"Lockout Time (minutes)","Tempo di blocco (minuti)"
"Password Lifetime (days)","Durata password (giorni)"
"Password Change","Modifica della password"
"Unlock","Sblocca"
"ID","ID"
"Username","Nome Utente"
"Last login","Ultimo Accesso"
"Failures","Falliti"
"Unlocked","Sbloccato"
"The password for your account has been successfully changed.","La password per il tuo account è stata modificata con successo."
"If you did not request this change, please contact us.","Se non hai richiesto questa modifica, ti preghiamo di contattarci."
"Reset Password Template","Template reset password"
"Administrator","Amministratore"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","L'accesso all'account non è corretto o il tuo account è temporaneamente disabilitato. Attendere e riprovare più tardi."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
