"Back","ආපසු"
"Please enter an email address.","කරුණාකර විද්‍යුත් තැපැල් ලිපිනයක් ඇතුළු කරන්න."
"You updated your password.","ඔබ ඔබගේ මුරපදය යාවත්කාලීන කර ඇත."
"Locked Users","අගුලු දැමූ පරිශීලකයින්"
"Unlocked %1 user(s).","පරිශීලක(න්) %1 ක් අගුලු හරින ලදී."
"System","පද්ධතිය"
"Permissions","අවසර"
"You cannot delete your own account.","ඔබට ඔබේම ගිණුම මකා දැමිය නොහැක."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","ඔබ පරිශීලකයා මකා ඇත."
"We can't find a user to delete.","අපට මැකීමට පරිශීලකයෙකු සොයාගත නොහැක."
"This user no longer exists.","මෙම පරිශීලකයා තවදුරටත් නොපවතියි."
"Edit User","පරිශීලක සංස්කරණය කරන්න"
"You have revoked the user's tokens.","ඔබ පරිශීලකයාගේ ටෝකන අවලංගු කර ඇත."
"We can't find a user to revoke.","අපට අවලංගු කිරීමට පරිශීලකයෙකු සොයාගත නොහැක."
"You cannot delete self-assigned roles.","ඔබට ස්වයං-පවරන ලද භූමිකාවන් මකා දැමිය නොහැක."
"You deleted the role.","ඔබ භූමිකාව මකා දැමුවා."
"An error occurred while deleting this role.","මෙම භූමිකාව මකා දැමීමේදී දෝෂයක් ඇති විය."
"Edit Role","භූමිකාව සංස්කරණය කරන්න"
"New Role","නව භූමිකාව"
"This role no longer exists.","මෙම භූමිකාව තවදුරටත් නොපවතී."
"You saved the role.","ඔබ භූමිකාව සුරැකුවා."
"An error occurred while saving this role.","මෙම භූමිකාව සුරැකීමේදී දෝෂයක් සිදු විය."
"You saved the user.","ඔබ පරිශීලකයා සුරකින ලදී."
"A user with the same user name or email already exists.","එකම පරිශීලක නාමය හෝ ඊමේල් සහිත පරිශීලකයෙකු දැනටමත් පවතී."
"Recommended","නිර්දේශ කර ඇත"
"Forced","බලෙන්"
"Sorry, but this password has already been used. Please create another.","සමාවන්න, නමුත් මෙම මුරපදය දැනටමත් භාවිතා කර ඇත. කරුණාකර තවත් එකක් සාදන්න."
"email","විද්යුත් තැපෑල"
"password","මුරපදය"
"username","පරිශීලක නාමය"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","කරුණාකර වලංගු විද්‍යුත් තැපෑලක් ඇතුළු කරන්න."
"Password is required field.","මුරපදය අවශ්‍ය ක්ෂේත්‍රය."
"Your password must be at least %1 characters.","ඔබගේ මුරපදය අවම වශයෙන් අක්ෂර %1 ක් විය යුතුය."
"Your password must include both numeric and alphabetic characters.","ඔබගේ මුරපදයට සංඛ්‍යාත්මක සහ අකාරාදී අක්ෂර දෙකම ඇතුළත් විය යුතුය."
"Your password confirmation must match your password.","ඔබගේ මුරපදය තහවුරු කිරීම ඔබගේ මුරපදයට ගැළපිය යුතුය."
"It's time to change your password.","ඔබගේ මුරපදය වෙනස් කිරීමට කාලයයි."
"It's time to <a href=""%1"">change your password</a>.","<a href=""%1"">ඔබගේ මුරපදය වෙනස් කිරීමට කාලයයි</a>."
"Your password has expired; please contact your administrator.","ඔබගේ මුරපදය කල් ඉකුත් වී ඇත; කරුණාකර ඔබේ පරිපාලක අමතන්න."
"Password Help","මුරපද උදවු"
"Enter your email address.  You will receive an email with a link to reset your password.","ඔබගේ ඊමේල් ලිපිනය ඇතුලත් කරන්න. ඔබගේ මුරපදය යළි පිහිටුවීම සඳහා සබැඳියක් සහිත විද්‍යුත් තැපෑලක් ඔබට ලැබෙනු ඇත."
"Email address","විද්යුත් තැපැල් ලිපිනය"
"Retrieve Password","මුරපදය ලබා ගන්න"
"Back to Sign in","නැවත පුරනය වීමට"
"Forgot your password?","මුරපදය අමතක වුනාද?"
"Reset a Password","මුරපදයක් නැවත සකසන්න"
"Confirm New Password","නව මුරපදය තහවුරු කරන්න"
"Reset Password","මුරපදය නැවත සකසන්න"
"Roles Resources","භූමිකාවන් සම්පත්"
"Resource Access","සම්පත් ප්රවේශය"
"Custom","අභිරුචි"
"All","සියලුම"
"Resources","සම්පත්"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","%nam සඳහා මුරපදය යළි පිහිටුවීම තහවුරු කිරීම"
"%name,","%nam,"
"There was recently a request to change the password for your account.","ඔබගේ ගිණුම සඳහා මුරපදය වෙනස් කිරීමට මෑතකදී ඉල්ලීමක් විය."
"If you requested this change, reset your password here:","ඔබ මෙම වෙනස ඉල්ලා සිටියේ නම්, ඔබගේ මුරපදය මෙතැනින් යළි පිහිටුවන්න:"
"If you did not make this request, you can ignore this email and your password will remain the same.","ඔබ මෙම ඉල්ලීම නොකළේ නම්, ඔබට මෙම විද්‍යුත් තැපෑල නොසලකා හැරිය හැකි අතර ඔබගේ මුරපදය එලෙසම පවතිනු ඇත."
"Thank you,","ඔබට ස්තුතියි,"
"New %changes for %user_name","%user_name සඳහා නව %cඑල්ලී ඇත"
"Hello,","ආයුබෝවන්,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","%store_name: %changes හි ඔබගේ ගිණුම හා සම්බන්ධ පහත තොරතුරු වෙනස් කිරීමට අපට ඉල්ලීමක් ලැබී ඇත."
"If you have not authorized this action, please contact us immediately at %store_email","ඔබ මෙම ක්‍රියාව අනුමත කර නොමැති නම්, කරුණාකර %store_email හිදී වහාම අප හා සම්බන්ධ වන්න"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","ස්තුතියි,"
"All Users","සියලුම පරිශීලකයින්"
"User Roles","පරිශීලක භූමිකාවන්"
"User Notification Template","පරිශීලක දැනුම්දීම් අච්චුව"
"Email template chosen based on theme fallback when ""Default"" option is selected.","""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව ඊමේල් අච්චුව තෝරා ඇත."
"Maximum Login Failures to Lockout Account","Lockout ගිණුමට උපරිම ලොගින් අසාර්ථක වීම"
"We will disable this feature if the value is empty.","අගය හිස් නම් අපි මෙම විශේෂාංගය අක්‍රිය කරන්නෙමු."
"Lockout Time (minutes)","අගුලු දැමීමේ කාලය (මිනිත්තු)"
"Password Lifetime (days)","මුරපද ජීවිත කාලය (දින)"
"Password Change","මුරපදය වෙනස් කිරීම"
"Unlock","අගුළු හරින්න"
"ID","හැඳුනුම්පත"
"Username","පරිශීලක නාමය"
"Last login","අවසන් පිවිසුම"
"Failures","අසාර්ථකවීම්"
"Unlocked","අගුලු හරින ලදී"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","පරිපාලක"
"New admin user '%user_name' created","නව පරිපාලක පරිශීලක '%user_name' සාදන ලදී"
"A new admin account was created for %first_name, %last_name using %email.","%first_name, %last_name සඳහා තැපැල් %eක් භාවිතයෙන් නව පරිපාලක ගිණුමක් සාදන ලදී."
"The password entered for the current user is invalid. Verify the password and try again.","වත්මන් පරිශීලකයා සඳහා ඇතුළත් කළ මුරපදය වලංගු නොවේ. මුරපදය තහවුරු කර නැවත උත්සාහ කරන්න."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","ගිණුමට පුරනය වීම වැරදි හෝ ඔබගේ ගිණුම තාවකාලිකව අබල කර ඇත. කරුණාකර රැඳී සිට පසුව නැවත උත්සාහ කරන්න."
"More permissions are needed to access this.","මෙයට ප්‍රවේශ වීමට තවත් අවසර අවශ්‍ය වේ."
"The password reset token is incorrect. Verify the token and try again.","මුරපද යළි පිහිටුවීමේ ටෝකනය වැරදියි. ටෝකනය තහවුරු කර නැවත උත්සාහ කරන්න."
"Your account is temporarily disabled. Please try again later.","ඔබගේ ගිණුම තාවකාලිකව අබල කර ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"""User Name"" is required. Enter and try again.","""පරිශීලක නාමය"" අවශ්ය වේ. ඇතුල් කර නැවත උත්සාහ කරන්න."
"""First Name"" is required. Enter and try again.","""මුල් නම"" අවශ්‍යයි. ඇතුල් කර නැවත උත්සාහ කරන්න."
"""Last Name"" is required. Enter and try again.","""අවසාන නම"" අවශ්ය වේ. ඇතුල් කර නැවත උත්සාහ කරන්න."
