"Back","Назад"
"Reset a Password","Ресетуј а Лозинка"
"Confirm New Password","Потврди нову лозинку"
"Reset Password","Ресетовање Лозинке"
"Roles Resources","Ресурси улога"
"Resource Access","Приступ ресурсу"
"Custom","Изборно"
"All","Све"
"Resources","Ресурси"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Упозорење!\р\нОва радња ће уклонити овог корисника из већ додељене улоге\р\нДа ли сте сигурни?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Упозорење!\р\нОва радња ће уклонити те кориснике из већ додељених улога\р\нДа ли сте сигурни?"
"Password Reset Confirmation for %name","Лозинка Ресетуј Цонфирматион фор %наме"
"%name,","%назив,"
"There was recently a request to change the password for your account.","Недавно смо примили захтев за промену шифре за ваш налог."
"If you requested this change, reset your password here:","If you requested this change, reset your password here:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Ако ви нисте тражили, можете игнорисати овај мејл и шифра ће остати иста."
"Thank you,","Хвала,"
"New %changes for %user_name","Ново %цхангес фор %усер_наме"
"Hello,","Здраво,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","We have received a request to change the following information associated with your account at %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","If you have not authorized this action, please contact us immediately at %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Хвала,"
"All Users","Све Усерс"
"User Roles","Улоге корисника"
"User Notification Template","Шаблон обавештења корисника"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон мејла се бира на основу теме када је изабрана опција ""Подразумевано""."
"Maximum Login Failures to Lockout Account","Максимални Број Неуспешних Пријава до Закључавања Налога"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Lockout Time (minutes)","Време Закључавања (у минутама)"
"Password Lifetime (days)","Трајање лозинке (дани)"
"Password Change","Промена лозинке"
"Unlock","Откључај"
"ID","ИД"
"Username","Корисничко име"
"Last login","Последњи логин"
"Failures","Failures"
"Unlocked","Откључано"
"The password for your account has been successfully changed.","Тхе пассwорд фор yоур аццоунт је успешно цхангед."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Шаблон за Ресетовање Пассwорд-а"
"Administrator","Administrator"
"New admin user '%user_name' created","Ново админ усер '%усер_наме' цреатед"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","Тхе пассwорд ентеред фор тхе цуррент усер ис неисправан. Верифy тхе пассwорд анд покушајте поново."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Улоговали сте се са погрешном шифром или је Ваш налог привремено онемогућен. Молимо сачекајте и покушајте поново касније."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","Тхе пассwорд ресет токен ис нетачан. Верифy тхе токен анд покушајте поново."
"Your account is temporarily disabled. Please try again later.","Yоур аццоунт ис темпорарилy дисаблед. Покушајте поново латер."
"""User Name"" is required. Enter and try again.","""Корисничко име"" је обавезно. Унесите и покушајте поново."
"""First Name"" is required. Enter and try again.","""Име"" је обавезно. Унесите и покушајте поново."
"""Last Name"" is required. Enter and try again.","""Презиме"" је обавезно. Унесите и покушајте поново."
