"Back","Voltar"
"An error occurred while deleting this role.","Ocorreu um erro ao apagar esta permissão."
"Edit Role","Editar Função"
"New Role","Nova Permissão"
"This role no longer exists.","Esta permissão não existe mais."
"You saved the role.","Você salvou a permissão."
"An error occurred while saving this role.","Ocorreu um erro ao salvar a permissão."
"You saved the user.","Você salvou o usuário."
"A user with the same user name or email already exists.","Um usuário com o mesmo nome de usuário ou email já existe."
"Recommended","Recomendado"
"Forced","Forçado"
"Sorry, but this password has already been used. Please create another.","Desculpe-nos, mas essa senha já está em uso. Por favor crie outra."
"email","e-mail"
"password","senha"
"username","nome de usuário"
"You did not sign in correctly or your account is temporarily disabled.","Você não digitou os dados corretamente ou a sua conta está temporariamente desativada."
"You need more permissions to access this.","Você precisa mais permissões para acessar isso."
"Your account is temporarily disabled.","Sua conta está temporariamente desativada."
"User Name is a required field.","Nome de usuário é um campo obrigatório."
"First Name is a required field.","Nome é um campo obrigatório."
"Last Name is a required field.","Sobrenome é um campo obrigatório."
"Please enter a valid email.","Por favor insira um email válido."
"Password is required field.","Senha é um campo obrigatório."
"Your password must be at least %1 characters.","Sua senha deve ter pelo menos %1 caracteres."
"Your password must include both numeric and alphabetic characters.","Sua senha deve incluir caracteres numéricos e alfabéticos."
"Your password confirmation must match your password.","Sua confirmação de senha deve coincidir com a sua senha."
"It's time to change your password.","É hora de mudar sua senha."
"It's time to <a href=""%1"">change your password</a>.","É hora de <a href=""%1"">mudar sua senha</a>."
"Your password has expired; please contact your administrator.","Sua senha expirou; por favor, contate o administrador."
"Password Help","Lembrete de Senha"
"Enter your email address.  You will receive an email with a link to reset your password.","Digite seu endereço de e-mail.  Você receberá um e-mail com um link para redefinir sua senha."
"Email address","Endereço de e-mail"
"Retrieve Password","Recuperar senha"
"Back to Sign in","Voltar ao Login"
"Forgot your password?","Esqueceu a sua senha?"
"Reset a Password","Redefinir uma senha"
"Confirm New Password","Confirmar nova senha"
"Reset Password","Redefinir Senha"
"Roles Resources","Permissões a Recursos"
"Resource Access","Acesso a Recursos"
"Custom","Personalizado"
"All","Todos"
"Resources","Recursos"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Aviso! \r\nEsta ação irá remover permissões já atribuídas a este usuário.\r\nTem certeza?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Aviso! \r\nEsta ação irá remover permissões já atribuídas a estes usuários.\r\nTem certeza?"
"Password Reset Confirmation for %name","Confirmação de redefinição de senha para %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","Recentemente houve uma solicitação para alterar a senha da sua conta."
"If you requested this change, reset your password here:","Se você solicitou esta mudança, redefina sua senha aqui:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Se você não fez esta solicitação, você pode ignorar este e-mail e sua senha permanecerá a mesma."
"Thank you,","Obrigado,"
"New %changes for %user_name","Novas %changes para %user_name"
"Hello,","Olá,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Recebemos um pedido para alterar a seguinte informação associada a sua conta na %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","Se você não autorizou essa ação, por favor entre em contato conosco imediatamente em %store_email"
"or call us at %store_phone","ou ligue para %store_phone"
"Thanks,","Obrigado,"
"All Users","Todos os usuários"
"User Roles","Papeis do Usuário"
"User Notification Template","Modelo de Notificação de Usuário"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada."
"Maximum Login Failures to Lockout Account","Máximo de Tentativas de Login para Bloquear Conta"
"We will disable this feature if the value is empty.","Iremos desabilitar esse recurso se o valor estiver vazio."
"Lockout Time (minutes)","Tempo de Bloqueio (minutos)"
"Password Lifetime (days)","Tempo de Vida de Senha (dias)"
"Password Change","Alteração de Senha"
"Unlock","Desbloquear"
"ID","Id."
"Username","Nome de Usuário"
"Last login","Último Login"
"Failures","Falhas"
"Unlocked","Desbloqueado"
"The password for your account has been successfully changed.","A senha para sua conta foi alterada com sucesso."
"If you did not request this change, please contact us.","Se você não solicitou essa mudança, entre em contato conosco."
"Reset Password Template","Modelo de Redefinição de Senha"
"Administrator","Administrador"
"New admin user '%user_name' created","Novo usuário admin '%user_name' criado"
"A new admin account was created for %first_name, %last_name using %email.","Uma nova conta de administrador foi criada para %first_name, %last_name usando %email."
"The password entered for the current user is invalid. Verify the password and try again.","A senha digitada para o usuário atual é inválida. Verifique a senha e tente novamente."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","O login da conta estava incorreto ou sua conta está desativada temporariamente. Por favor, espere e tente novamente mais tarde."
"More permissions are needed to access this.","Mais permissões são necessárias para acessar isto."
"The password reset token is incorrect. Verify the token and try again.","O token de redefinição de senha está incorreto. Verifique o token e tente novamente."
"Your account is temporarily disabled. Please try again later.","Sua conta está temporariamente desativada. Por favor, tente novamente mais tarde."
"""User Name"" is required. Enter and try again.","O ""Nome de usuário"" é necessário. Digite e tente novamente."
"""First Name"" is required. Enter and try again.","O ""Primeiro Nome"" é obrigatório. Digite e tente novamente."
"""Last Name"" is required. Enter and try again.","O ""Último Nome"" é obrigatório. Digite e tente novamente."
