"Back","Обратно"
"You have revoked the user's tokens.","Анулирахте точките на потребителя"
"We can't find a user to revoke.","Не може да намери даден потребител да отмени."
"You cannot delete self-assigned roles.","Не можете да изтриете самостоятелно присвоени роли."
"You deleted the role.","Изтрихте тази роля."
"An error occurred while deleting this role.","Възникна грешка при изтриването на тази роля."
"Edit Role","Редактиране на роля"
"New Role","Нова роля"
"This role no longer exists.","Тази роля вече не съществува."
"You saved the role.","Записали сте ролята."
"An error occurred while saving this role.","Възникна грешка при записване на тази роля."
"You saved the user.","Запазихте потребителя."
"A user with the same user name or email already exists.","Вече съществува потребител със същото потребителско име или електронна поща."
"Recommended","Препоръчано"
"Forced","Принудени"
"Sorry, but this password has already been used. Please create another.","Съжаляваме, но тази парола вече е билa използванa. Моля, създайте друга."
"email","имейл"
"password","парола"
"username","потребителско име"
"You did not sign in correctly or your account is temporarily disabled.","Не сте влезли правилно или вашия акаунт е временно забранен."
"You need more permissions to access this.","Трябва разрешение за достъп до това."
"Your account is temporarily disabled.","Вашият профил е временно забранен."
"User Name is a required field.","Потребителско име е задължително поле."
"First Name is a required field.","Първото име е задължително поле."
"Last Name is a required field.","Фамилно име е задължително поле."
"Please enter a valid email.","Моля, въведете валиден имейл."
"Password is required field.","Парола е задължително поле."
"Your password must be at least %1 characters.","Вашата парола трябва да бъде поне %1 знаци."
"Your password must include both numeric and alphabetic characters.","Вашата парола трябва да включва цифрови и буквени знаци."
"Your password confirmation must match your password.","Паролата и потвърждение на паролата трябва да съвпадат."
"It's time to change your password.","Това е време да промените паролата си."
"It's time to <a href=""%1"">change your password</a>.","Това е време да <a href=\"%1\"> промените паролата си</a>."
"Your password has expired; please contact your administrator.","Вашата парола е изтекла; Обърнете се към вашия администратор."
"Password Help","Парола помощ"
"Enter your email address.  You will receive an email with a link to reset your password.","Въведете вашия имейл адрес.  Вие ще получите имейл с връзка към вашата парола."
"Email address","Имейл адрес"
"Retrieve Password","Извличане на парола"
"Back to Sign in","Обратно към вход"
"Forgot your password?","Забравили сте паролата си?"
"Reset a Password","Възстановяване на парола"
"Confirm New Password","Потвърдете новата парола"
"Reset Password","Нулирай парола"
"Roles Resources","Роли ресурси"
"Resource Access","Достъп до ресурси"
"Custom","По избор"
"All","Всички"
"Resources","Средства"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Предупреждение! \r\nThis действие ще премахне този потребител от вече определям role\r\nAre сигурни ли сте?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Предупреждение! \r\nThis действие ще премахне този потребител от вече определям role\r\nAre сигурни ли сте?"
"Password Reset Confirmation for %name","Потвърждението за нулиране на паролата за %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","Наскоро имаше искане за промяна на паролата за вашия акаунт."
"If you requested this change, reset your password here:","Ако сте поискали тази промяна, смените паролата си тук:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Ако не сте направили това запитване, можете да игнорирате това съобщение и вашата парола ще остане същата."
"Thank you,","Благодарим Ви,"
"New %changes for %user_name","Нова %changes за %user_name"
"Hello,","Здравейте,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Получихме искане за промяна на следната информация, свързана с вашия акаунт в %store_name: имейл."
"If you have not authorized this action, please contact us immediately at %store_email","Ако не сте разрешили това действие, моля свържете се с нас веднага в %store_email"
"or call us at %store_phone","или ни се обадете на %store_phone"
"Thanks,","Благодаря,"
"All Users","Всички потребители"
"User Roles","Потребителски роли"
"User Notification Template","Потребителски шаблон за уведомяване"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Имейл шаблон, избран въз основа на тема връщане, когато ""По подразбиране"" опция е избрана."
"Maximum Login Failures to Lockout Account","Максимален вход неуспехи блокировка сметка"
"We will disable this feature if the value is empty.","Ние ще забраним тази функция, ако стойността е празна."
"Lockout Time (minutes)","Блокировка време (минути)"
"Password Lifetime (days)","Парола живот (дни)"
"Password Change","Промяна на парола"
"Unlock","Отключи"
"ID","ИД"
"Username","Потребителско име"
"Last login","Последен вход"
"Failures","Неуспехи"
"Unlocked","Отключен"
"The password for your account has been successfully changed.","Паролата за вашия акаунт е променена успешно."
"If you did not request this change, please contact us.","Ако не поискате тази промяна, моля свържете се с нас."
"Reset Password Template","Шаблон за нулиране на паролата"
"Administrator","Администратор"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
