"Back","ಹಿಂದೆ"
"Sorry, but this password has already been used. Please create another.","ಕ್ಷಮಿಸಿ, ಆದರೆ ಈ ಗುಪ್ತಪದವನ್ನು ಈಗಾಗಲೇ ಬಳಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಇನ್ನೊಂದನ್ನು ರಚಿಸಿ."
"email","ಮಿಂಚೆ"
"password","ಗುಪ್ತಪದ"
"username","ಬಳಕೆದಾರ ಹೆಸರು"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"Password is required field.","ಗುಪ್ತಪದ ಅಗತ್ಯವಿರುವ ವಲಯ."
"Your password must be at least %1 characters.","ನಿಮ್ಮ ಗುಪ್ತಪದ ಕನಿಷ್ಟ %1 ಅಕ್ಷರಗಳನ್ನು ಹೊಂದಿರಬೇಕು."
"Your password must include both numeric and alphabetic characters.","ನಿಮ್ಮ ಗುಪ್ತಪದವು ಅಂಕೆ ಮತ್ತು ಅಕ್ಷರಗಳು ಎರಡನ್ನೂ ಹೊಂದಿರಲೇ ಬೇಕು."
"Your password confirmation must match your password.","ನಿಮ್ಮ ಗುಪ್ತಪದದ ದೃಢೀಕರಣವು ನಿಮ್ಮ್ ಗುಪ್ತಪದಕ್ಕೆ ಹೊಂದಿಕೆಯಾಗಲೇಬೇಕು."
"It's time to change your password.","ಇದು ನಿಮ್ಮ ಗುಪ್ತಪದ ಬದಲಾವಣೆ ಸಮಯ."
"It's time to <a href=""%1"">change your password</a>.","ಇದು <a href=""%1"">ನಿಮ್ಮ ಗುಪ್ತಪದ ಬದಲಾವಣೆ</a> ಸಮಯ."
"Your password has expired; please contact your administrator.","ನಿಮ್ಮ ಗುಪ್ತಪದದ ಅವಧಿ ಅಂತ್ಯವಾಗಿದೆ; ದಯವಿಟ್ಟು ನಿಮ್ಮ ನಿರ್ವಾಹಕರನ್ನು ಸಂಪರ್ಕಿಸಿ."
"Password Help","ಗುಪ್ತಪದ ಸಹಾಯ"
"Enter your email address.  You will receive an email with a link to reset your password.","ನಿಮ್ಮ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ. ನೀವು ನಿಮ್ಮ ಗುಪ್ತಪದ ಮರುಹೊಂದಿಕೆ ಕೊಂಡಿಯನ್ನು ಹೊಂದಿರುವ ಮಿಂಚೆಯನ್ನು ಪಡೆಯುವಿರಿ."
"Email address","ಮಿಂಚೆ ವಿಳಾಸ"
"Retrieve Password","ಗುಪ್ತಪದವನ್ನು ಮರುಪಡೆಯಿರಿ"
"Back to Sign in","ಸೈನ್ ಇನ್ ಗೆ ಹಿಂದಿರುಗಿ"
"Forgot your password?","ಗುಪ್ತಪದ ಮರೆತಿರುವಿರಾ?"
"Reset a Password","ಗುಪ್ತಪದವನ್ನು ಮರುಹೊಂದಿಸಿ"
"Confirm New Password","ಹೊಸ ಗುಪ್ತಪದವನ್ನು ಖಚಿತಪಡಿಸಿ"
"Reset Password","ಗುಪ್ತಪದವನ್ನು ಮರುಹೊಂದಿಸಿ"
"Roles Resources","ಹುದ್ದೆ ಸಂಪನ್ಮೂಲಗಳು"
"Resource Access","Resource Access"
"Custom","ಒಗ್ಗಿಸಿದ"
"All","ಎಲ್ಲಾ"
"Resources","ಸಂಪನ್ಮೂಲಗಳು"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","%name ಅವರ ಗುಪ್ತಪದ ಬದಲಿಸಲು ದೃಢೀಕರಣ"
"%name,","%name,"
"There was recently a request to change the password for your account.","ನಿಮ್ಮ ಖಾತೆಯ ಗುಪ್ತಪದವನ್ನು ಬದಲಿಸಲು ಇತ್ತೀಚೆಗೆ ವಿನಂತಿಸಲಾಗಿದೆ."
"If you requested this change, reset your password here:","ನೀವು ಈ ಬದಲಾವಣೆಯನ್ನು ವಿನಂತಿಸಿದ್ದಲ್ಲಿ, ಹೊಸ ಗುಪ್ತಪದವನ್ನು ಇಲ್ಲಿ ಬದಲಿಸಿ:"
"If you did not make this request, you can ignore this email and your password will remain the same.","ನೀವು ಈ ವಿನಂತಿಯನ್ನು ಮಾಡಿಲ್ಲದೇ ಇದ್ದಲ್ಲಿ, ನೀವು ಈ ಮಿಂಚೆಯನ್ನು ನಿರ್ಲಕ್ಷಿಸಿ ಮತ್ತು ನಿಮ್ಮ ಗುಪ್ತಪದದಲ್ಲಿ ಯಾವುದೇ ಬದಲಾವಣೆ ಇರುವುದಿಲ್ಲ."
"Thank you,","ಧನ್ಯವಾದಗಳು"
"New %changes for %user_name","%user_name ಗಾಗಿ ಹೊಸ %changes"
"Hello,","ನಮಸ್ತೆ,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","%store_name ನಲ್ಲಿ ನಿಮ್ಮ ಖಾತೆಗೆ ಸಂಬಂಧಿಸಿದ ಈ ಕೆಳಗಿನ ಮಾಹಿತಿಯನ್ನು ಬದಲಿಸುವುದಕ್ಕಾಗಿ ನಮಗೆ ವಿನಂತಿ ಬಂದಿದೆ: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","ಈ ಕ್ರಿಯೆಯನ್ನು ನೀವು ಅನುಮೋದಿಸಿಲ್ಲದಿದ್ದಲ್ಲಿ, ದಯವಿಟ್ಟು ಈ ಕೂಡಲೇ %store_email ನಲ್ಲಿ ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿ"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","ಧನ್ಯವಾದಗಳು,"
"All Users","ಎಲ್ಲಾ ಬಳಕೆದಾರರು"
"User Roles","ಬಳಕೆದಾರರ ಹುದ್ದೆಗಳು"
"User Notification Template","ಬಳಕೆದಾರರ ಅಧಿಸೂಚನೆ ಮಾದರಿ"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Maximum Login Failures to Lockout Account","ಖಾತೆಯನ್ನು ಲಾಕೌಟ್ ಮಾಡಲು ಗರಿಷ್ಟ ಲಾಗಿನ್ ವಿಫಲತೆಗಳು"
"We will disable this feature if the value is empty.","ನಮೂದು ಖಾಲಿಯಿದ್ದಲ್ಲಿ ನಾವು ಈ ವೈಶಿಷ್ಟ್ಯವನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸುತ್ತೇವೆ."
"Lockout Time (minutes)","ನಿರ್ಬಂಧದ ಸಮಯ (ನಿಮಿಷಗಳು)"
"Password Lifetime (days)","ಆಜೀವಪರ್ಯಂತ ಗುಪ್ತಪದ (days)"
"Password Change","ಗುಪ್ತಪದ ಬದಲಾವಣೆ"
"Unlock","ಅನಿರ್ಬಂಧಿಸಿ"
"ID","ID"
"Username","ಬಳಕೆದಾರ ಹೆಸರು"
"Last login","ಕೊನೆಯದಾಗಿ ಲಾಗಿನ್ ಆಗಿದ್ದು"
"Failures","ವಿಫಲತೆಗಳು"
"Unlocked","ಅನಿರ್ಬಂಧಿತ"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","ನಿರ್ವಾಹಕ"
"New admin user '%user_name' created","ಹೊಸ ಅಡ್ಮಿನ್ ಬಳಕೆದಾರ '%user_name' ರನ್ನು ರಚಿಸಲಾಗಿದೆ"
"A new admin account was created for %first_name, %last_name using %email.","%email ಅನ್ನು ಬಳಸಿ %first_name, %last_name ಅವರಿಗೆ ಹೊಸ ಅಡ್ಮಿನ್ ಖಾತೆಯೊಂದನ್ನು ರಚಿಸಲಾಗಿದೆ."
"The password entered for the current user is invalid. Verify the password and try again.","ಪ್ರಸ್ತುತ ಬಳಕೆದಾರರಿಗೆ ನಮೂದಿಸಿದ ಗುಪ್ತಪದ ಅಸಿಂಧುವಾಗಿದೆ. ಗುಪ್ತಪದವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","ಖಾತೆ ಸೈನ್-ಇನ್ ತಪ್ಪಾಗಿದೆ ಅಥವಾ ನಿಮ್ಮ ಖಾತೆಯನ್ನು ತಾತ್ಕಾಲಿಕವಾಗಿ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಕಾಯಿರಿ ಮತ್ತು ಮತ್ತೆ ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"More permissions are needed to access this.","ಇದನ್ನು ಪ್ರವೇಶಿಸಲು ಹೆಚ್ಚಿನ ಅನುಮತಿಗಳ ಅಗತ್ಯವಿದೆ."
"The password reset token is incorrect. Verify the token and try again.","ಗುಪ್ತಪದದ ಬದಲಿಕೆ ಟೋಕನ್ ತಪ್ಪಾಗಿದೆ. ಟೋಕನ್ ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"Your account is temporarily disabled. Please try again later.","ನಿಮ್ಮ ಖಾತೆಯನ್ನು ತಾತ್ಕಾಲಿಕವಾಗಿ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"""User Name"" is required. Enter and try again.","""ಬಳಕೆದಾರರ ಹೆಸರು"" ಅಗತ್ಯವಿದೆ. ನಮೂದಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"""First Name"" is required. Enter and try again.","""ಮೊದಲ ಹೆಸರು"" ಅಗತ್ಯವಿದೆ. ನಮೂದಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"""Last Name"" is required. Enter and try again.","""ಕೊನೆ ಹೆಸರು"" ಅಗತ್ಯವಿದೆ. ನಮೂದಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
