"Back","પાછળ"
"You have entered an invalid password for current user.","તમે વર્તમાન વપરાશકર્તા માટે અમાન્ય પાસવર્ડ દાખલ કર્યો છે."
"You deleted the user.","તમે વપરાશકર્તાને કાઢી નાખ્યો."
"We can't find a user to delete.","કાઢી નાખવા માટે અમે કોઈ વપરાશકર્તા શોધી શક્યા નથી."
"This user no longer exists.","આ વપરાશકર્તા હવે અસ્તિત્વમાં નથી."
"Edit User","વપરાશકર્તાને સંપાદિત કરો"
"You have revoked the user's tokens.","તમે વપરાશકર્તાના ટોકન્સ રદ કર્યા છે."
"We can't find a user to revoke.","રદબાતલ કરવા માટે અમે કોઈ વપરાશકર્તા શોધી શક્યા નથી."
"You cannot delete self-assigned roles.","તમે સ્વ-સોંપેલ ભૂમિકાઓ કાઢી શકતા નથી."
"You deleted the role.","તમે ભૂમિકા કાઢી નાખી."
"An error occurred while deleting this role.","આ ભૂમિકાને કાtingતી વખતે ભૂલ આવી."
"Edit Role","ભૂમિકા સંપાદિત કરો"
"New Role","નવી ભૂમિકા"
"This role no longer exists.","આ ભૂમિકા હવે અસ્તિત્વમાં નથી."
"You saved the role.","તમે ભૂમિકા બચાવી છે."
"An error occurred while saving this role.","આ ભૂમિકા સાચવતી વખતે ભૂલ આવી."
"You saved the user.","તમે વપરાશકર્તાને સાચવ્યો."
"A user with the same user name or email already exists.","સમાન વપરાશકર્તા નામ અથવા ઇમેઇલ સાથેનો વપરાશકર્તા પહેલેથી જ અસ્તિત્વમાં છે."
"Recommended","ભલામણ કરેલ"
"Forced","બળજબરીથી"
"Sorry, but this password has already been used. Please create another.","માફ કરશો, પરંતુ આ પાસવર્ડનો ઉપયોગ થઈ ચૂક્યો છે. કૃપા કરીને બીજું બનાવો."
"email","ઇમેઇલ"
"password","પાસવર્ડ"
"username","વપરાશકર્તા નામ"
"You did not sign in correctly or your account is temporarily disabled.","તમે સાઇન ઇન કર્યું નથી અથવા તમારું એકાઉન્ટ અસ્થાયી રૂપે અક્ષમ છે."
"You need more permissions to access this.","આને toક્સેસ કરવા માટે તમારે વધુ પરવાનગીની જરૂર છે."
"Your account is temporarily disabled.","તમારું એકાઉન્ટ અસ્થાયી રૂપે અક્ષમ છે."
"User Name is a required field.","વપરાશકર્તા નામ આવશ્યક ક્ષેત્ર છે."
"First Name is a required field.","પ્રથમ નામ આવશ્યક ક્ષેત્ર છે."
"Last Name is a required field.","છેલ્લું નામ આવશ્યક ક્ષેત્ર છે."
"Please enter a valid email.","કૃપા કરીને માન્ય ઇમેઇલ દાખલ કરો."
"Password is required field.","પાસવર્ડ આવશ્યક ક્ષેત્ર છે."
"Your password must be at least %1 characters.","તમારો પાસવર્ડ ઓછામાં ઓછો %1 અક્ષરોનો હોવો જોઈએ"
"Your password must include both numeric and alphabetic characters.","તમારા પાસવર્ડમાં બંને આંકડાકીય અને આલ્ફાબેટીક અક્ષરો હોવા જોઈએ."
"Your password confirmation must match your password.","તમારી પાસવર્ડ પુષ્ટિ તમારા પાસવર્ડ સાથે મેળ ખાતી હોવી જોઈએ."
"It's time to change your password.","તમારો પાસવર્ડ બદલવાનો આ સમય છે."
"It's time to <a href=""%1"">change your password</a>.","<a href=""%1""> તમારો પાસવર્ડ બદલવા </a> નો સમય છે."
"Your password has expired; please contact your administrator.","તમારો પાસવર્ડ સમાપ્ત થઈ ગયો છે; કૃપા કરીને તમારા વ્યવસ્થાપકનો સંપર્ક કરો."
"Password Help","પાસવર્ડ મદદ"
"Enter your email address.  You will receive an email with a link to reset your password.","તમારુ ઇમેઇલ એડ્રેસ દાખલ કરો. તમે તમારો પાસવર્ડ ફરીથી સેટ કરવા માટે એક લિંક સાથે એક ઇમેઇલ પ્રાપ્ત કરશો."
"Email address","ઈ - મેઈલ સરનામું"
"Retrieve Password","પાસવર્ડ પુન .પ્રાપ્ત કરો"
"Back to Sign in","સાઇન ઇન પર પાછા જાઓ"
"Forgot your password?","તમારો પાસવર્ડ ભૂલી ગયા છો?"
"Reset a Password","પાસવર્ડ ફરીથી સેટ કરો"
"Confirm New Password","નવાપાસવર્ડની પુષ્ટી કરો"
"Reset Password","પાસવર્ડ ફરીથી સેટ કરો"
"Roles Resources","ભૂમિકા સંસાધનો"
"Resource Access","રિસોર્સ એક્સેસ"
"Custom","કસ્ટમ"
"All","બધા"
"Resources","સંસાધનો"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","%name માટે પાસવર્ડ ફરીથી સેટ કરવાની પુષ્ટિ"
"%name,","%name,"
"There was recently a request to change the password for your account.","તાજેતરમાં તમારા એકાઉન્ટ માટે પાસવર્ડ બદલવાની વિનંતી કરવામાં આવી હતી."
"If you requested this change, reset your password here:","જો તમે આ ફેરફારની વિનંતી કરો છો, તો તમારો પાસવર્ડ અહીં ફરીથી સેટ કરો:"
"If you did not make this request, you can ignore this email and your password will remain the same.","જો તમે આ વિનંતી કરી નથી, તો તમે આ ઇમેઇલને અવગણી શકો છો અને તમારો પાસવર્ડ તે જ રહેશે."
"Thank you,","આભાર,"
"New %changes for %user_name","%user_name માટે નવા %changes"
"Hello,","નમસ્તે,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","અમને તમારા એકાઉન્ટ સાથે સંકળાયેલી નીચેની માહિતીને %store_name: %changes બદલવાની વિનંતી મળી છે."
"If you have not authorized this action, please contact us immediately at %store_email","જો તમે આ ક્રિયા માટે અધિકૃત નથી, તો કૃપા કરીને %store_email પર તરત જ અમારો સંપર્ક કરો"
"or call us at %store_phone","અથવા %store_phone પર અમને ક .લ કરો"
"Thanks,","આભાર,"
"All Users","બધા વપરાશકર્તાઓ"
"User Roles","વપરાશકર્તા ભૂમિકાઓ"
"User Notification Template","વપરાશકર્તા સૂચના Templateાંચો"
"Email template chosen based on theme fallback when ""Default"" option is selected.","જ્યારે ""ડિફaultલ્ટ"" વિકલ્પ પસંદ કરવામાં આવે ત્યારે થીમ ફ fallલબેકના આધારે ઇમેઇલ નમૂના પસંદ કરવામાં આવે છે."
"Maximum Login Failures to Lockout Account","લoutકઆઉટ એકાઉન્ટમાં મહત્તમ લ Loginગિન નિષ્ફળતાઓ"
"We will disable this feature if the value is empty.","જો કિંમત ખાલી હોય તો અમે આ સુવિધાને અક્ષમ કરીશું."
"Lockout Time (minutes)","લockકઆઉટ સમય (મિનિટ)"
"Password Lifetime (days)","પાસવર્ડ લાઇફટાઇમ (દિવસ)"
"Password Change","પાસવર્ડ બદલો"
"Unlock","અનલlockક કરો"
"ID","આઈ.ડી."
"Username","વપરાશકર્તા નામ"
"Last login","છેલ્લું લ .ગિન"
"Failures","નિષ્ફળતા"
"Unlocked","અનલockedક કર્યું"
"The password for your account has been successfully changed.","તમારા એકાઉન્ટ માટેનો પાસવર્ડ સફળતાપૂર્વક બદલાઈ ગયો છે."
"If you did not request this change, please contact us.","જો તમે આ ફેરફારની વિનંતી ન કરી હોય, તો કૃપા કરીને અમારો સંપર્ક કરો."
"Reset Password Template","પાસવર્ડ ટેમ્પલેટ ફરીથી સેટ કરો"
"Administrator","સંચાલક"
"New admin user '%user_name' created","નવો એડમિન વપરાશકર્તા '%user_name' બનાવ્યો"
"A new admin account was created for %first_name, %last_name using %email.","નવું એડમિન એકાઉન્ટ %first_name, %last_name %email નો ઉપયોગ કરીને બનાવવામાં આવ્યું હતું."
"The password entered for the current user is invalid. Verify the password and try again.","વર્તમાન વપરાશકર્તા માટે દાખલ કરેલો પાસવર્ડ અમાન્ય છે. પાસવર્ડ ચકાસો અને ફરીથી પ્રયાસ કરો."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","એકાઉન્ટ સાઇન-ઇન ખોટું હતું અથવા તમારું એકાઉન્ટ અસ્થાયી રૂપે અક્ષમ થયેલ છે. કૃપા કરીને રાહ જુઓ અને પછીથી ફરી પ્રયાસ કરો."
"More permissions are needed to access this.","આને toક્સેસ કરવા માટે વધુ પરવાનગીની જરૂર છે."
"The password reset token is incorrect. Verify the token and try again.","પાસવર્ડ રીસેટ ટોકન ખોટો છે. ટોકન ચકાસો અને ફરીથી પ્રયાસ કરો."
"Your account is temporarily disabled. Please try again later.","તમારું એકાઉન્ટ અસ્થાયી રૂપે અક્ષમ છે. પછીથી ફરી પ્રયત્ન કરો."
"""User Name"" is required. Enter and try again.","""વપરાશકર્તા નામ"" આવશ્યક છે. દાખલ કરો અને ફરીથી પ્રયાસ કરો."
"""First Name"" is required. Enter and try again.","""પ્રથમ નામ"" આવશ્યક છે. દાખલ કરો અને ફરીથી પ્રયાસ કરો."
"""Last Name"" is required. Enter and try again.","""છેલ્લું નામ"" આવશ્યક છે. દાખલ કરો અને ફરીથી પ્રયાસ કરો."
