"Back","返回"
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","请输入有效的邮箱地址"
"Password is required field.","密码是必填的字段。"
"Your password must be at least %1 characters.","您的密码必须至少 %1 字符。"
"Your password must include both numeric and alphabetic characters.","您的密码必须包含数字和字母的字符。"
"Your password confirmation must match your password.","您的密码确认必须与您的密码相匹配。"
"It's time to change your password.","是时候改变你的密码了。"
"It's time to <a href=""%1"">change your password</a>.","现在是时候<a href=""%1"">更改您的密码</a>。"
"Your password has expired; please contact your administrator.","您的密码已过期;请联系您的管理员联系。"
"Password Help","密码帮助"
"Enter your email address.  You will receive an email with a link to reset your password.","请输入您的电子邮件地址。 您将收到一封电子邮件的链接重置您的密码。"
"Email address","电子邮件地址"
"Retrieve Password","取回密码"
"Back to Sign in","回去签到"
"Forgot your password?","您忘记密码了吗?"
"Reset a Password","重置密码"
"Confirm New Password","确认新密码"
"Reset Password","重置密码"
"Roles Resources","角色资源"
"Resource Access","资源"
"Custom","自定义"
"All","全部"
"Resources","资源"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","%name 的密码重置确认"
"%name,","%名称，"
"There was recently a request to change the password for your account.","最近有一个请求要更改您的帐户密码。"
"If you requested this change, reset your password here:","如果您请求更改，请在此处重新设置密码:"
"If you did not make this request, you can ignore this email and your password will remain the same.","如果你并没有提出这一请求，您可以忽略这封电子邮件，您的密码将保持不变。"
"Thank you,","谢谢"
"New %changes for %user_name","新的% user_name %的变化"
"Hello,","您好"
"We have received a request to change the following information associated with your account at %store_name: %changes.","我们已经收到一个请求，可以更改与您的帐户有关的以下信息% store_name:%变更。"
"If you have not authorized this action, please contact us immediately at %store_email","如果您没有授权此操作，请立即与我们联系% store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","感谢"
"All Users","全部用户"
"User Roles","用户角色"
"User Notification Template","用户通知模板"
"Email template chosen based on theme fallback when ""Default"" option is selected.","电子邮件模板选择基于主题的回退时，选择“默认”选项。"
"Maximum Login Failures to Lockout Account","最大登录失败到锁定帐户"
"We will disable this feature if the value is empty.","如果的值为空，我们将禁用此功能。"
"Lockout Time (minutes)","锁定时间 (分钟)"
"Password Lifetime (days)","密码生存期 (天)"
"Password Change","密码已更改"
"Unlock","解锁​​​​"
"ID","编号ID"
"Username","用户名"
"Last login","上一次登陆："
"Failures","失败"
"Unlocked","已解锁"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
