"Back","Trở lại"
"Your password has expired; please contact your administrator.","Mật khẩu của bạn đã hết hạn; Xin vui lòng liên hệ với người quản trị."
"Password Help","Trợ giúp mật khẩu"
"Enter your email address.  You will receive an email with a link to reset your password.","Nhập địa chỉ email của bạn.  Bạn sẽ nhận được một email với một liên kết để đặt lại mật khẩu của bạn."
"Email address","Địa chỉ email"
"Retrieve Password","Lấy lại mật khẩu"
"Back to Sign in","Quay lại đăng nhập"
"Forgot your password?","Bạn quên mật khẩu?"
"Reset a Password","Đặt lại mật khẩu"
"Confirm New Password","Xác nhận Mật khẩu Mới"
"Reset Password","Đặt lại mật khẩu"
"Roles Resources","Tài nguyên vai trò"
"Resource Access","Truy cập tài nguyên"
"Custom","Tùy chỉnh"
"All","Tất Cả"
"Resources","Tài nguyên"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","Xác nhận đặt lại mật khẩu cho %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","Có một yêu cầu thay đổi mật khẩu cho tài khoản của bạn gần đây."
"If you requested this change, reset your password here:","Nếu bạn yêu cầu thay đổi này, đặt lại mật khẩu của bạn ở đây:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Nếu bạn đã không thực hiện yêu cầu này, bạn có thể bỏ qua, email và mật khẩu của bạn sẽ vẫn như cũ."
"Thank you,","Cảm ơn bạn,"
"New %changes for %user_name","Mới %changes cho %user_name"
"Hello,","Xin chào,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Chúng tôi đã nhận được một yêu cầu để thay đổi các thông tin liên kết với tài khoản của bạn tại %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","Nếu bạn không có quyền thực hiện hành động này, xin vui lòng liên hệ với chúng tôi ngay lập tức tại %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Xin cảm ơn,"
"All Users","Tất Cả Người Dùng"
"User Roles","Vai trò người dùng"
"User Notification Template","Mẫu thông báo người dùng"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
"Maximum Login Failures to Lockout Account","Tối đa đăng nhập thất bại để khóa tài khoản"
"We will disable this feature if the value is empty.","Chúng tôi sẽ vô hiệu hóa tính năng này nếu giá trị là trống rỗng."
"Lockout Time (minutes)","Khóa thời gian (phút)"
"Password Lifetime (days)","Mật khẩu trọn đời (ngày)"
"Password Change","Thay đổi mật khẩu"
"Unlock","Mở khoá"
"ID","ID"
"Username","Tên đăng nhập"
"Last login","Lần đăng nhập trước"
"Failures","Thất bại"
"Unlocked","Mở khóa"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
