"Back","Zurück"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" gewählt ist."
"Maximum Login Failures to Lockout Account","Maximale Anmeldefehler bis zur Sperrung des Kontos"
"We will disable this feature if the value is empty.","Diese Funktion wird deaktiviert, wenn der Wert leer ist."
"Lockout Time (minutes)","Sperrzeit (Minuten)"
"Password Lifetime (days)","Passwort-Gültigkeitsdauer (in Tagen)"
"Password Change","Passwort ändern"
"Unlock","Entsperren"
"ID","Id"
"Username","Benutzername"
"Last login","Letzte Anmeldung"
"Failures","Fehler"
"Unlocked","Entsperrt"
"The password for your account has been successfully changed.","Das Kennwort für Ihr Konto wurde erfolgreich geändert."
"If you did not request this change, please contact us.","Sollten Sie diese Änderung nicht angefordert haben, kontaktieren Sie uns bitte."
"Reset Password Template","Vorlage für das Zurücksetzen des Passworts"
"Administrator","Administrator"
"New admin user '%user_name' created","Neuer Admin-Benutzer '%user_name' erstellt"
"A new admin account was created for %first_name, %last_name using %email.","Ein neues Admin-Konto wurde für %first_name, %last_name mit %eMail erstellt."
"The password entered for the current user is invalid. Verify the password and try again.","Das eingegebene Passwort für den aktuellen Benutzer ist ungültig. Überprüfen Sie das Passwort und versuchen Sie es erneut."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Die Konto-Anmeldung war nicht korrekt oder Ihr Konto ist vorübergehend deaktiviert. Bitte warten Sie und versuchen Sie es später erneut."
"More permissions are needed to access this.","Weitere Berechtigungen sind erforderlich, um hierauf zuzugreifen."
"The password reset token is incorrect. Verify the token and try again.","Der Passwort-Reset-Token ist falsch. Überprüfen Sie den Token und versuchen Sie es erneut."
"Your account is temporarily disabled. Please try again later.","Ihr Konto ist vorübergehend deaktiviert. Bitte versuchen Sie es später erneut."
"""User Name"" is required. Enter and try again.","""Benutzername"" ist erforderlich. Geben Sie ein und versuchen Sie es erneut."
"""First Name"" is required. Enter and try again.","""Vorname"" ist erforderlich. Bitte eingeben und erneut versuchen."
"""Last Name"" is required. Enter and try again.","""Nachname"" ist erforderlich. Bitte eingeben und erneut versuchen."
