"Back","Tilbake"
"Sorry, but this password has already been used. Please create another.","Beklager, men passordet er allerede brukt. Opprett et nytt."
"email","e-post"
"password","passord"
"username","brukernavn"
"You did not sign in correctly or your account is temporarily disabled.","Du har ikke oppgitt riktig påloggingsinformasjon eller kontoen er midlertidig stengt."
"You need more permissions to access this.","Du trenger flere tillatelser for å få tilgang til dette."
"Your account is temporarily disabled.","Kontoen er midlertidig stengt."
"User Name is a required field.","Brukernavnet er et obligatorisk felt."
"First Name is a required field.","Fornavn er et obligatorisk felt."
"Last Name is a required field.","Etternavn er et obligatorisk felt."
"Please enter a valid email.","Vennligst skriv inn en gyldig e-post-adresse."
"Password is required field.","Passord er nødvendig."
"Your password must be at least %1 characters.","Passordet må være minst %1 tegn."
"Your password must include both numeric and alphabetic characters.","Passordet må inneholde både numeriske og alfabetiske tegn."
"Your password confirmation must match your password.","Passordbekreftelsen må samsvare med passordet."
"It's time to change your password.","Det er på tide å endre passordet."
"It's time to <a href=""%1"">change your password</a>.","Det er på tide å <a href=""%1""> endre passordet</a>."
"Your password has expired; please contact your administrator.","Passordet er utløpt; Kontakt systemansvarlig."
"Password Help","Passord hjelp"
"Enter your email address.  You will receive an email with a link to reset your password.","Angi e-postadressen.  Du vil motta en epost med en link for å tilbakestille passordet."
"Email address","Epost adresse"
"Retrieve Password","Hente passord"
"Back to Sign in","Tilbake til å pålogging"
"Forgot your password?","Har du glemt passordet?"
"Reset a Password","Tilbakestille et passord"
"Confirm New Password","Bekreft nytt passord"
"Reset Password","Tilbakestill passord"
"Roles Resources","Ressurser for Roller"
"Resource Access","Ressurstilgang"
"Custom","Egendefinert"
"All","Alle"
"Resources","Ressurser"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Advarsel! \r\n Denne handlingen vil fjerne brukeren fra allerede tildelte rolle\r\n Er du sikker?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Advarsel! \r\n Denne handlingen vil fjerne brukerene fra allerede tildelte rolle\r\n Er du sikker?"
"Password Reset Confirmation for %name","Bekreftelse på tilbakestilling av passord for %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","Det var nylig en forespørsel om å endre passordet for din konto."
"If you requested this change, reset your password here:","Hvis du forespurte denne endringen, tilbakestill passordet her:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Hvis du ikke har sendt denne forespørselen, kan du ignorere denne e-posten og passordet vil forbli det samme som før."
"Thank you,","Tusen takk"
"New %changes for %user_name","Nye %changes for %user_name"
"Hello,","Hei,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Vi har mottatt en forespørsel om å endre følgende informasjon knyttet til kontoen din hos %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","Hvis du ikke har autorisert denne handlingen, vennligst kontakt oss umiddelbart på %store_email"
"or call us at %store_phone","eller ring oss på %store_phone"
"Thanks,","Takk,"
"All Users","Alle brukere"
"User Roles","Brukerroller"
"User Notification Template","Bruk angitt mal"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmal valgt basert på tema fallback når ""Default"" alternativet er valgt."
"Maximum Login Failures to Lockout Account","Maksimum antall innloggingsfeil for å låse konto"
"We will disable this feature if the value is empty.","Vi deaktiverer denne funksjonen hvis verdien er tom."
"Lockout Time (minutes)","Utlåsningstid (minutter)"
"Password Lifetime (days)","Levetid for passord (dager)"
"Password Change","Endre passord"
"Unlock","Lås opp"
"ID","ID"
"Username","Brukernavn"
"Last login","Siste pålogging"
"Failures","Fiaskoer"
"Unlocked","Ulåst"
"The password for your account has been successfully changed.","Passordet for kontoen er endret."
"If you did not request this change, please contact us.","Hvis du ikke ba om denne endringen, vennligst kontakt oss."
"Reset Password Template","Tilbakestill passord mal"
"Administrator","Administrator"
"New admin user '%user_name' created","Ny administratorbruker '%user_navn' opprettet"
"A new admin account was created for %first_name, %last_name using %email.","En ny adminkonto ble opprettet for %first_name, %last_name med %email."
"The password entered for the current user is invalid. Verify the password and try again.","Passordet for gjeldende bruker er ugyldig. Kontroller passordet og prøv igjen."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Kontoinnlogging var feil, eller kontoen din er midlertidig deaktivert. Vent og prøv på nytt senere."
"More permissions are needed to access this.","Flere tillatelser kreves for å få tilgang til denne."
"The password reset token is incorrect. Verify the token and try again.","Token for nullstilling av passordet er ugyldig. Kontroller at token-et er riktig og prøv igjen."
"Your account is temporarily disabled. Please try again later.","Kontoen er midlertidig deaktivert. Vennligst prøv igjen senere."
"""User Name"" is required. Enter and try again.","""Brukernavn"" må fylles ut. Skriv inn og prøv på nytt."
"""First Name"" is required. Enter and try again.","""Fornavn"" må fylles ut. Skriv inn og prøv på nytt."
"""Last Name"" is required. Enter and try again.","""Etternavn"" er nødvendig. Angi og prøv igjen."
